iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-01-28,161057.0,53.0,220.143,7403.0,0.0,1.857,4043.059,1.33,5.526,185.84,0.0,0.047,1.68,,,,,,,,,,,,,,,,,,5074196.0,4511372.0,3866279.0,,,10021.0,12.74,11.33,9.71,,252.0,8737.0,0.022,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2022-01-28,10776279.0,27708.0,29724.143,237990.0,328.0,342.0,7845.93,20.173,21.641,173.274,0.239,0.249,,,,,,,,,,,,,,,,,,,348102275.0,216605575.0,144537633.0,2553140.0,181824.0,1484095.0,25.34,15.77,10.52,0.19,1081.0,620774.0,0.045,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2022-01-28,254126.0,1549.0,1420.571,3329.0,6.0,5.286,88455.217,539.17,494.467,1158.746,2.088,1.84,0.99,,,,,,,,,5662.0,1556250.0,541.694,1.971,2585.0,0.9,0.612,1.6,tests performed,,,,,,,,,,,,,,61.11,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2022-01-28,247568.0,1870.0,2177.571,6545.0,6.0,11.0,5548.784,41.913,48.806,146.694,0.134,0.247,1.97,42.0,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2022-01-28,35556.0,528.0,361.571,145.0,0.0,0.143,459653.024,6825.762,4674.243,1874.499,0.0,1.847,1.04,,,,,,,,,,295208.0,3816.325,,1040.0,13.445,0.431,2.3,people tested,135421.0,57643.0,53046.0,24732.0,,865.0,175.07,74.52,68.58,31.97,11182.0,27.0,0.035,44.44,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2022-01-28,98029.0,128.0,336.143,1893.0,0.0,1.286,2888.847,3.772,9.906,55.785,0.0,0.038,0.86,,,,,,,,,13038.0,1364783.0,40.219,0.384,3862.0,0.114,0.099,10.1,tests performed,13944656.0,9287396.0,4540048.0,,,139392.0,41.09,27.37,13.38,,4108.0,109908.0,0.324,77.78,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2022-01-28,2324.0,54.0,19.571,8.0,1.0,0.143,153652.893,3570.248,1293.979,528.926,66.116,9.445,,,,,,,,,,,,,,,,,,,21256.0,10182.0,9318.0,1756.0,,30.0,140.54,67.32,61.61,11.61,1983.0,4.0,0.026,,15125.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2022-01-28,6558.0,34.0,106.143,127.0,0.0,0.714,66424.925,344.381,1075.104,1286.363,0.0,7.235,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2022-01-28,8271636.0,63884.0,82447.143,120657.0,305.0,241.143,181372.366,1400.786,1807.821,2645.649,6.688,5.288,1.03,2836.0,62.185,,,,,,,75469.0,32228310.0,706.671,1.655,96038.0,2.106,0.636,1.6,tests performed,86151950.0,39494515.0,34497467.0,11911737.0,141084.0,276040.0,188.91,86.6,75.64,26.12,6053.0,37827.0,0.083,34.26,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2022-01-28,361754.0,3536.0,1685.286,8035.0,0.0,1.286,121879.515,1191.323,567.794,2707.093,0.0,0.433,2.1,,,,,,,,,8707.0,2709073.0,912.721,2.933,6442.0,2.17,0.222,4.5,tests performed,1825382.0,999891.0,819841.0,5650.0,,10318.0,61.5,33.69,27.62,0.19,3476.0,4084.0,0.138,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
