Country,Year,num_sequences,variant_dominant,num_sequences_per_1M,num_sequences_cumulative,num_sequences_cumulative_per_1M
Angola,167,3,0,0.09,3,0.09
Angola,223,1,0,0.03,4,0.12
Angola,251,10,0,0.29,14,0.41
Angola,265,29,0,0.85,43,1.26
Angola,279,7,0,0.21,50,1.47
Angola,321,6,0,0.18,56,1.65
Angola,335,93,Beta,2.74,149,4.39
Angola,349,21,0,0.62,170,5.01
Angola,370,52,Others,1.53,222,6.54
Angola,384,42,Others,1.24,264,7.78
Angola,398,39,Others,1.15,303,8.93
Angola,412,113,Beta,3.33,416,12.26
Angola,426,121,Beta,3.57,537,15.83
Angola,440,137,Beta,4.04,674,19.87
Angola,454,83,Beta,2.45,757,22.32
Angola,468,34,Beta,1.0,791,23.32
Angola,482,5,0,0.15,796,23.47
Angola,496,7,0,0.21,803,23.68
Angola,510,22,0,0.65,825,24.33
Angola,524,59,Alpha,1.74,884,26.07
Angola,538,46,Delta,1.36,930,27.43
Angola,552,10,0,0.29,940,27.72
Angola,566,4,0,0.12,944,27.84
Angola,580,2,0,0.06,946,27.9
Angola,594,22,0,0.65,968,28.55
Angola,608,77,Delta,2.27,1045,30.82
Angola,622,91,Delta,2.68,1136,33.5
Angola,636,15,0,0.44,1151,33.94
Angola,650,12,0,0.35,1163,34.29
Angola,664,1,0,0.03,1164,34.32
Angola,678,2,0,0.06,1166,34.38
Antigua and Barbuda,293,2,0,20.26,2,20.26
Antigua and Barbuda,384,1,0,10.13,3,30.39
Antigua and Barbuda,398,3,0,30.39,6,60.78
Antigua and Barbuda,412,3,0,30.39,9,91.17
Antigua and Barbuda,426,2,0,20.26,11,111.43
Antigua and Barbuda,440,1,0,10.13,12,121.56
Antigua and Barbuda,454,3,0,30.39,15,151.95
Antigua and Barbuda,468,3,0,30.39,18,182.34
Antigua and Barbuda,482,8,0,81.03,26,263.37
Antigua and Barbuda,496,1,0,10.13,27,273.5
Antigua and Barbuda,538,1,0,10.13,28,283.63
Antigua and Barbuda,552,14,0,141.8,42,425.43
Antigua and Barbuda,566,26,0,263.35,68,688.78
Antigua and Barbuda,580,43,Delta,435.54,111,1124.32
Antigua and Barbuda,594,1,0,10.13,112,1134.45
Antigua and Barbuda,608,1,0,10.13,113,1144.58
Antigua and Barbuda,636,22,0,222.83,135,1367.41
Antigua and Barbuda,678,3,0,30.39,138,1397.8
Antigua and Barbuda,692,8,0,81.03,146,1478.83
Antigua and Barbuda,706,21,0,212.71,167,1691.54
Antigua and Barbuda,734,14,0,141.8,181,1833.34
Argentina,111,151,Others,3.31,151,3.31
Argentina,125,167,Others,3.66,318,6.97
Argentina,139,67,Others,1.47,385,8.44
Argentina,153,79,Others,1.73,464,10.17
Argentina,167,63,Others,1.38,527,11.55
Argentina,181,113,Others,2.48,640,14.03
Argentina,195,103,Others,2.26,743,16.29
Argentina,209,113,Others,2.48,856,18.77
Argentina,223,138,Others,3.03,994,21.8
Argentina,237,50,Others,1.1,1044,22.9
Argentina,251,56,Others,1.23,1100,24.13
Argentina,265,39,Others,0.86,1139,24.99
Argentina,279,102,Others,2.24,1241,27.23
Argentina,293,58,Others,1.27,1299,28.5
Argentina,307,63,Others,1.38,1362,29.88
Argentina,321,49,Others,1.07,1411,30.95
Argentina,335,71,Others,1.56,1482,32.51
Argentina,349,82,Others,1.8,1564,34.31
Argentina,370,62,Others,1.36,1626,35.67
Argentina,384,69,Others,1.51,1695,37.18
Argentina,398,57,Others,1.25,1752,38.43
Argentina,412,65,Others,1.43,1817,39.86
Argentina,426,177,Others,3.88,1994,43.74
Argentina,440,199,Others,4.36,2193,48.1
Argentina,454,298,Others,6.53,2491,54.63
Argentina,468,337,Gamma,7.39,2828,62.02
Argentina,482,339,Gamma,7.43,3167,69.45
Argentina,496,301,Gamma,6.6,3468,76.05
Argentina,510,407,Gamma,8.92,3875,84.97
Argentina,524,380,Gamma,8.33,4255,93.3
Argentina,538,357,Gamma,7.83,4612,101.13
Argentina,552,337,Gamma,7.39,4949,108.52
Argentina,566,480,Gamma,10.52,5429,119.04
Argentina,580,447,Gamma,9.8,5876,128.84
Argentina,594,447,Gamma,9.8,6323,138.64
Argentina,608,313,Delta,6.86,6636,145.5
Argentina,622,241,Delta,5.28,6877,150.78
Argentina,636,372,Delta,8.16,7249,158.94
Argentina,650,659,Delta,14.45,7908,173.39
Argentina,664,708,Delta,15.52,8616,188.91
Argentina,678,696,Delta,15.26,9312,204.17
Argentina,692,620,Delta,13.59,9932,217.76
Argentina,706,890,Delta,19.52,10822,237.28
Argentina,720,535,Omicron,11.73,11357,249.01
Argentina,734,367,Omicron,8.05,11724,257.06
Argentina,748,245,Omicron,5.37,11969,262.43
Armenia,195,11,0,3.71,11,3.71
Armenia,209,8,0,2.7,19,6.41
Armenia,223,14,0,4.72,33,11.13
Armenia,237,12,0,4.04,45,15.17
Armenia,370,12,0,4.04,57,19.21
Armenia,384,12,0,4.04,69,23.25
Armenia,426,12,0,4.04,81,27.29
Armenia,468,3,0,1.01,84,28.3
Armenia,482,1,0,0.34,85,28.64
Armenia,524,8,0,2.7,93,31.34
Armenia,538,11,0,3.71,104,35.05
Armenia,552,3,0,1.01,107,36.06
Armenia,566,32,Delta,10.78,139,46.84
Armenia,622,11,0,3.71,150,50.55
Armenia,650,1,0,0.34,151,50.89
Armenia,664,10,0,3.37,161,54.26
Armenia,720,12,0,4.04,173,58.3
Armenia,734,17,0,5.73,190,64.03
Aruba,209,4,0,37.32,4,37.32
Aruba,223,1,0,9.33,5,46.65
Aruba,370,26,0,242.55,31,289.2
Aruba,384,114,Others,1063.48,145,1352.68
Aruba,398,154,Others,1436.63,299,2789.31
Aruba,412,125,Alpha,1166.1,424,3955.41
Aruba,426,99,Alpha,923.55,523,4878.96
Aruba,440,92,Alpha,858.25,615,5737.21
Aruba,454,145,Alpha,1352.68,760,7089.89
Aruba,468,140,Alpha,1306.03,900,8395.92
Aruba,482,101,Alpha,942.21,1001,9338.13
Aruba,496,107,Alpha,998.18,1108,10336.31
Aruba,510,89,Gamma,830.26,1197,11166.57
Aruba,524,24,0,223.89,1221,11390.46
Aruba,538,29,0,270.54,1250,11661.0
Aruba,552,97,Delta,904.89,1347,12565.89
Aruba,566,341,Delta,3181.12,1688,15747.01
Aruba,580,525,Delta,4897.62,2213,20644.63
Aruba,594,261,Delta,2434.82,2474,23079.45
Aruba,608,140,Delta,1306.03,2614,24385.48
Aruba,622,177,Delta,1651.2,2791,26036.68
Aruba,636,37,Delta,345.17,2828,26381.85
Aruba,664,73,Delta,681.0,2901,27062.85
Aruba,678,43,Delta,401.14,2944,27463.99
Aruba,692,101,Delta,942.21,3045,28406.2
Aruba,706,71,Delta,662.34,3116,29068.54
Aruba,720,28,0,261.21,3144,29329.75
Australia,111,149,Others,5.78,149,5.78
Australia,125,104,Others,4.03,253,9.81
Australia,139,96,Others,3.72,349,13.53
Australia,153,176,Others,6.82,525,20.35
Australia,167,815,Others,31.6,1340,51.95
Australia,181,2738,Others,106.17,4078,158.12
Australia,195,4183,Others,162.21,8261,320.33
Australia,209,3021,Others,117.15,11282,437.48
Australia,223,1988,Others,77.09,13270,514.57
Australia,237,771,Others,29.9,14041,544.47
Australia,251,324,Others,12.56,14365,557.03
