date,indicator,value,entity
2020-04-01,Daily hospital occupancy,1071,Austria
2020-04-02,Daily hospital occupancy,1042,Austria
2020-04-03,Daily hospital occupancy,1074,Austria
2020-04-04,Daily hospital occupancy,1071,Austria
2020-04-05,Daily hospital occupancy,956,Austria
2020-04-06,Daily hospital occupancy,1074,Austria
2020-04-07,Daily hospital occupancy,1100,Austria
2020-04-08,Daily hospital occupancy,1096,Austria
2020-04-09,Daily hospital occupancy,1086,Austria
2020-04-10,Daily hospital occupancy,1032,Austria
2020-04-11,Daily hospital occupancy,1035,Austria
2020-04-12,Daily hospital occupancy,1035,Austria
2020-04-13,Daily hospital occupancy,981,Austria
2020-04-14,Daily hospital occupancy,1002,Austria
2020-04-15,Daily hospital occupancy,1001,Austria
2020-04-16,Daily hospital occupancy,967,Austria
2020-04-17,Daily hospital occupancy,909,Austria
2020-04-18,Daily hospital occupancy,855,Austria
2020-04-19,Daily hospital occupancy,817,Austria
2020-04-20,Daily hospital occupancy,805,Austria
2020-04-21,Daily hospital occupancy,756,Austria
2020-04-22,Daily hospital occupancy,700,Austria
2020-04-23,Daily hospital occupancy,677,Austria
2020-04-24,Daily hospital occupancy,651,Austria
2020-04-25,Daily hospital occupancy,608,Austria
2020-04-26,Daily hospital occupancy,594,Austria
2020-04-27,Daily hospital occupancy,579,Austria
2020-04-28,Daily hospital occupancy,561,Austria
2020-04-29,Daily hospital occupancy,517,Austria
2020-04-30,Daily hospital occupancy,500,Austria
2020-05-01,Daily hospital occupancy,472,Austria
2020-05-02,Daily hospital occupancy,428,Austria
2020-05-03,Daily hospital occupancy,422,Austria
2020-05-04,Daily hospital occupancy,420,Austria
2020-05-05,Daily hospital occupancy,418,Austria
2020-05-06,Daily hospital occupancy,418,Austria
2020-05-07,Daily hospital occupancy,360,Austria
2020-05-08,Daily hospital occupancy,339,Austria
2020-05-09,Daily hospital occupancy,309,Austria
2020-05-10,Daily hospital occupancy,291,Austria
2020-05-11,Daily hospital occupancy,279,Austria
2020-05-12,Daily hospital occupancy,264,Austria
2020-05-13,Daily hospital occupancy,243,Austria
2020-05-14,Daily hospital occupancy,234,Austria
2020-05-15,Daily hospital occupancy,212,Austria
2020-05-16,Daily hospital occupancy,208,Austria
2020-05-17,Daily hospital occupancy,197,Austria
2020-05-18,Daily hospital occupancy,196,Austria
2020-05-19,Daily hospital occupancy,182,Austria
2020-05-20,Daily hospital occupancy,174,Austria
2020-05-21,Daily hospital occupancy,188,Austria
2020-05-22,Daily hospital occupancy,159,Austria
2020-05-23,Daily hospital occupancy,144,Austria
2020-05-24,Daily hospital occupancy,137,Austria
2020-05-25,Daily hospital occupancy,139,Austria
2020-05-26,Daily hospital occupancy,127,Austria
2020-05-27,Daily hospital occupancy,116,Austria
2020-05-28,Daily hospital occupancy,107,Austria
2020-05-29,Daily hospital occupancy,103,Austria
2020-05-30,Daily hospital occupancy,98,Austria
2020-05-31,Daily hospital occupancy,97,Austria
2020-06-01,Daily hospital occupancy,97,Austria
2020-06-02,Daily hospital occupancy,88,Austria
2020-06-03,Daily hospital occupancy,87,Austria
2020-06-04,Daily hospital occupancy,87,Austria
2020-06-05,Daily hospital occupancy,75,Austria
2020-06-06,Daily hospital occupancy,72,Austria
2020-06-07,Daily hospital occupancy,69,Austria
2020-06-08,Daily hospital occupancy,82,Austria
