date,value,indicator,entity
2021-05-08,902,Daily hospital occupancy,Bolivia
2021-05-09,1083,Daily hospital occupancy,Bolivia
2021-05-10,1315,Daily hospital occupancy,Bolivia
2021-05-11,1414,Daily hospital occupancy,Bolivia
2021-05-12,1337,Daily hospital occupancy,Bolivia
2021-05-13,1476,Daily hospital occupancy,Bolivia
2021-05-14,1521,Daily hospital occupancy,Bolivia
2021-05-15,1711,Daily hospital occupancy,Bolivia
2021-05-16,1728,Daily hospital occupancy,Bolivia
2021-05-17,1746,Daily hospital occupancy,Bolivia
2021-05-18,1767,Daily hospital occupancy,Bolivia
2021-05-19,1788,Daily hospital occupancy,Bolivia
2021-05-20,1808,Daily hospital occupancy,Bolivia
2021-05-21,1859,Daily hospital occupancy,Bolivia
2021-05-22,1866,Daily hospital occupancy,Bolivia
2021-05-23,1885,Daily hospital occupancy,Bolivia
2021-05-24,2032,Daily hospital occupancy,Bolivia
2021-05-25,2272,Daily hospital occupancy,Bolivia
2021-05-26,2353,Daily hospital occupancy,Bolivia
2021-05-27,2373,Daily hospital occupancy,Bolivia
2021-05-28,2361,Daily hospital occupancy,Bolivia
2021-05-29,2370,Daily hospital occupancy,Bolivia
2021-05-30,2410,Daily hospital occupancy,Bolivia
2021-05-31,2433,Daily hospital occupancy,Bolivia
2021-06-01,2425,Daily hospital occupancy,Bolivia
2021-06-02,2420,Daily hospital occupancy,Bolivia
2021-06-03,2402,Daily hospital occupancy,Bolivia
2021-06-04,2381,Daily hospital occupancy,Bolivia
2021-06-05,2398,Daily hospital occupancy,Bolivia
2021-06-06,2419,Daily hospital occupancy,Bolivia
2021-06-07,2308,Daily hospital occupancy,Bolivia
2021-06-08,2214,Daily hospital occupancy,Bolivia
2021-06-09,2203,Daily hospital occupancy,Bolivia
2021-06-10,2207,Daily hospital occupancy,Bolivia
2021-06-11,2195,Daily hospital occupancy,Bolivia
2021-06-12,2253,Daily hospital occupancy,Bolivia
2021-06-13,2256,Daily hospital occupancy,Bolivia
2021-06-14,2232,Daily hospital occupancy,Bolivia
2021-06-15,2198,Daily hospital occupancy,Bolivia
2021-06-16,2170,Daily hospital occupancy,Bolivia
2021-06-17,2140,Daily hospital occupancy,Bolivia
2021-06-18,2128,Daily hospital occupancy,Bolivia
2021-06-19,2096,Daily hospital occupancy,Bolivia
