date,indicator,value,entity
2020-03-01,Weekly new hospital admissions,24.0,Germany
2020-03-02,Weekly new hospital admissions,29.0,Germany
2020-03-03,Weekly new hospital admissions,46.0,Germany
2020-03-04,Weekly new hospital admissions,64.0,Germany
2020-03-05,Weekly new hospital admissions,76.0,Germany
2020-03-06,Weekly new hospital admissions,91.0,Germany
2020-03-07,Weekly new hospital admissions,133.0,Germany
2020-03-08,Weekly new hospital admissions,149.0,Germany
2020-03-09,Weekly new hospital admissions,160.0,Germany
2020-03-10,Weekly new hospital admissions,183.0,Germany
2020-03-11,Weekly new hospital admissions,221.0,Germany
2020-03-12,Weekly new hospital admissions,263.0,Germany
2020-03-13,Weekly new hospital admissions,322.0,Germany
2020-03-14,Weekly new hospital admissions,394.0,Germany
2020-03-15,Weekly new hospital admissions,450.0,Germany
2020-03-16,Weekly new hospital admissions,524.0,Germany
2020-03-17,Weekly new hospital admissions,685.0,Germany
2020-03-18,Weekly new hospital admissions,858.0,Germany
2020-03-19,Weekly new hospital admissions,1127.0,Germany
2020-03-20,Weekly new hospital admissions,1401.0,Germany
2020-03-21,Weekly new hospital admissions,1687.0,Germany
2020-03-22,Weekly new hospital admissions,2014.0,Germany
2020-03-23,Weekly new hospital admissions,2229.0,Germany
2020-03-24,Weekly new hospital admissions,2528.0,Germany
2020-03-25,Weekly new hospital admissions,2992.0,Germany
2020-03-26,Weekly new hospital admissions,3482.0,Germany
2020-03-27,Weekly new hospital admissions,3971.0,Germany
2020-03-28,Weekly new hospital admissions,4458.0,Germany
2020-03-29,Weekly new hospital admissions,4862.0,Germany
2020-03-30,Weekly new hospital admissions,5145.0,Germany
2020-03-31,Weekly new hospital admissions,5476.0,Germany
2020-04-01,Weekly new hospital admissions,5906.0,Germany
2020-04-02,Weekly new hospital admissions,6130.0,Germany
2020-04-03,Weekly new hospital admissions,6263.0,Germany
2020-04-04,Weekly new hospital admissions,6355.0,Germany
2020-04-05,Weekly new hospital admissions,6238.0,Germany
2020-04-06,Weekly new hospital admissions,6105.0,Germany
2020-04-07,Weekly new hospital admissions,6039.0,Germany
2020-04-08,Weekly new hospital admissions,5785.0,Germany
2020-04-09,Weekly new hospital admissions,5621.0,Germany
2020-04-10,Weekly new hospital admissions,5437.0,Germany
2020-04-11,Weekly new hospital admissions,4972.0,Germany
2020-04-12,Weekly new hospital admissions,4795.0,Germany
2020-04-13,Weekly new hospital admissions,4733.0,Germany
2020-04-14,Weekly new hospital admissions,4355.0,Germany
2020-04-15,Weekly new hospital admissions,4060.0,Germany
2020-04-16,Weekly new hospital admissions,3860.0,Germany
2020-04-17,Weekly new hospital admissions,3649.0,Germany
2020-04-18,Weekly new hospital admissions,3642.0,Germany
2020-04-19,Weekly new hospital admissions,3502.0,Germany
2020-04-20,Weekly new hospital admissions,3380.0,Germany
2020-04-21,Weekly new hospital admissions,3413.0,Germany
2020-04-22,Weekly new hospital admissions,3241.0,Germany
2020-04-23,Weekly new hospital admissions,2995.0,Germany
2020-04-24,Weekly new hospital admissions,2729.0,Germany
2020-04-25,Weekly new hospital admissions,2525.0,Germany
2020-04-26,Weekly new hospital admissions,2386.0,Germany
2020-04-27,Weekly new hospital admissions,2236.0,Germany
2020-04-28,Weekly new hospital admissions,2054.0,Germany
2020-04-29,Weekly new hospital admissions,1964.0,Germany
2020-04-30,Weekly new hospital admissions,1768.0,Germany
2020-05-01,Weekly new hospital admissions,1710.0,Germany
2020-05-02,Weekly new hospital admissions,1539.0,Germany
2020-05-03,Weekly new hospital admissions,1411.0,Germany
2020-05-04,Weekly new hospital admissions,1363.0,Germany
2020-05-05,Weekly new hospital admissions,1290.0,Germany
2020-05-06,Weekly new hospital admissions,1189.0,Germany
2020-05-07,Weekly new hospital admissions,1162.0,Germany
2020-05-08,Weekly new hospital admissions,1101.0,Germany
2020-05-09,Weekly new hospital admissions,1109.0,Germany
2020-05-10,Weekly new hospital admissions,1092.0,Germany
2020-05-11,Weekly new hospital admissions,1081.0,Germany
2020-05-12,Weekly new hospital admissions,1064.0,Germany
2020-05-13,Weekly new hospital admissions,1001.0,Germany
2020-05-14,Weekly new hospital admissions,917.0,Germany
2020-05-15,Weekly new hospital admissions,838.0,Germany
2020-05-16,Weekly new hospital admissions,806.0,Germany
2020-05-17,Weekly new hospital admissions,776.0,Germany
2020-05-18,Weekly new hospital admissions,758.0,Germany
2020-05-19,Weekly new hospital admissions,682.0,Germany
2020-05-20,Weekly new hospital admissions,647.0,Germany
2020-05-21,Weekly new hospital admissions,621.0,Germany
2020-05-22,Weekly new hospital admissions,556.0,Germany
2020-05-23,Weekly new hospital admissions,526.0,Germany
2020-05-24,Weekly new hospital admissions,517.0,Germany
2020-05-25,Weekly new hospital admissions,512.0,Germany
2020-05-26,Weekly new hospital admissions,521.0,Germany
2020-05-27,Weekly new hospital admissions,489.0,Germany
2020-05-28,Weekly new hospital admissions,457.0,Germany
2020-05-29,Weekly new hospital admissions,480.0,Germany
2020-05-30,Weekly new hospital admissions,446.0,Germany
2020-05-31,Weekly new hospital admissions,437.0,Germany
2020-06-01,Weekly new hospital admissions,421.0,Germany
2020-06-02,Weekly new hospital admissions,367.0,Germany
2020-06-03,Weekly new hospital admissions,338.0,Germany
2020-06-04,Weekly new hospital admissions,342.0,Germany
2020-06-05,Weekly new hospital admissions,319.0,Germany
2020-06-06,Weekly new hospital admissions,310.0,Germany
2020-06-07,Weekly new hospital admissions,308.0,Germany
2020-06-08,Weekly new hospital admissions,307.0,Germany
2020-06-09,Weekly new hospital admissions,312.0,Germany
2020-06-10,Weekly new hospital admissions,301.0,Germany
2020-06-11,Weekly new hospital admissions,284.0,Germany
2020-06-12,Weekly new hospital admissions,266.0,Germany
2020-06-13,Weekly new hospital admissions,281.0,Germany
2020-06-14,Weekly new hospital admissions,275.0,Germany
2020-06-15,Weekly new hospital admissions,290.0,Germany
2020-06-16,Weekly new hospital admissions,295.0,Germany
2020-06-17,Weekly new hospital admissions,316.0,Germany
2020-06-18,Weekly new hospital admissions,307.0,Germany
2020-06-19,Weekly new hospital admissions,324.0,Germany
2020-06-20,Weekly new hospital admissions,327.0,Germany
2020-06-21,Weekly new hospital admissions,333.0,Germany
2020-06-22,Weekly new hospital admissions,324.0,Germany
2020-06-23,Weekly new hospital admissions,328.0,Germany
2020-06-24,Weekly new hospital admissions,321.0,Germany
2020-06-25,Weekly new hospital admissions,323.0,Germany
2020-06-26,Weekly new hospital admissions,327.0,Germany
2020-06-27,Weekly new hospital admissions,322.0,Germany
