date,indicator,value,entity
2020-03-02,Daily hospital occupancy,10,Israel
2020-03-03,Daily hospital occupancy,11,Israel
2020-03-04,Daily hospital occupancy,12,Israel
2020-03-05,Daily hospital occupancy,13,Israel
2020-03-06,Daily hospital occupancy,16,Israel
2020-03-07,Daily hospital occupancy,19,Israel
2020-03-08,Daily hospital occupancy,27,Israel
2020-03-08,Weekly new hospital admissions,22.0,Israel
2020-03-09,Daily hospital occupancy,43,Israel
2020-03-09,Weekly new ICU admissions,4.0,Israel
2020-03-09,Weekly new hospital admissions,35.0,Israel
2020-03-10,Daily hospital occupancy,63,Israel
2020-03-10,Weekly new ICU admissions,5.0,Israel
2020-03-10,Weekly new hospital admissions,54.0,Israel
2020-03-11,Daily hospital occupancy,87,Israel
2020-03-11,Weekly new ICU admissions,6.0,Israel
2020-03-11,Weekly new hospital admissions,76.0,Israel
2020-03-12,Daily hospital occupancy,110,Israel
2020-03-12,Weekly new ICU admissions,6.0,Israel
2020-03-12,Weekly new hospital admissions,97.0,Israel
2020-03-13,Daily hospital occupancy,129,Israel
2020-03-13,Weekly new ICU admissions,5.0,Israel
2020-03-13,Weekly new hospital admissions,117.0,Israel
2020-03-14,Daily hospital occupancy,169,Israel
2020-03-14,Weekly new ICU admissions,4.0,Israel
2020-03-14,Weekly new hospital admissions,154.0,Israel
2020-03-15,Daily hospital occupancy,208,Israel
2020-03-15,Weekly new ICU admissions,4.0,Israel
2020-03-15,Weekly new hospital admissions,187.0,Israel
2020-03-16,Daily hospital occupancy,230,Israel
2020-03-16,Weekly new ICU admissions,5.0,Israel
2020-03-16,Weekly new hospital admissions,195.0,Israel
2020-03-17,Daily hospital occupancy,272,Israel
2020-03-17,Weekly new ICU admissions,4.0,Israel
2020-03-17,Weekly new hospital admissions,224.0,Israel
2020-03-18,Daily hospital occupancy,324,Israel
2020-03-18,Weekly new ICU admissions,3.0,Israel
2020-03-18,Weekly new hospital admissions,253.0,Israel
2020-03-19,Daily hospital occupancy,313,Israel
2020-03-19,Weekly new ICU admissions,8.0,Israel
2020-03-19,Weekly new hospital admissions,260.0,Israel
2020-03-20,Daily hospital occupancy,307,Israel
2020-03-20,Weekly new ICU admissions,8.0,Israel
2020-03-20,Weekly new hospital admissions,267.0,Israel
2020-03-21,Daily hospital occupancy,298,Israel
2020-03-21,Weekly new ICU admissions,11.0,Israel
2020-03-21,Weekly new hospital admissions,261.0,Israel
2020-03-22,Daily hospital occupancy,344,Israel
2020-03-22,Weekly new ICU admissions,16.0,Israel
2020-03-22,Weekly new hospital admissions,274.0,Israel
2020-03-23,Daily hospital occupancy,380,Israel
2020-03-23,Weekly new ICU admissions,19.0,Israel
2020-03-23,Weekly new hospital admissions,308.0,Israel
2020-03-24,Daily hospital occupancy,424,Israel
2020-03-24,Weekly new ICU admissions,21.0,Israel
2020-03-24,Weekly new hospital admissions,341.0,Israel
2020-03-25,Daily hospital occupancy,443,Israel
2020-03-25,Weekly new ICU admissions,24.0,Israel
2020-03-25,Weekly new hospital admissions,368.0,Israel
2020-03-26,Daily hospital occupancy,501,Israel
2020-03-26,Weekly new ICU admissions,25.0,Israel
2020-03-26,Weekly new hospital admissions,419.0,Israel
2020-03-27,Daily hospital occupancy,546,Israel
2020-03-27,Weekly new ICU admissions,32.0,Israel
2020-03-27,Weekly new hospital admissions,499.0,Israel
2020-03-28,Daily hospital occupancy,542,Israel
2020-03-28,Weekly new ICU admissions,34.0,Israel
2020-03-28,Weekly new hospital admissions,517.0,Israel
2020-03-29,Daily hospital occupancy,575,Israel
2020-03-29,Weekly new ICU admissions,38.0,Israel
2020-03-29,Weekly new hospital admissions,532.0,Israel
2020-03-30,Daily hospital occupancy,657,Israel
2020-03-30,Weekly new ICU admissions,42.0,Israel
2020-03-30,Weekly new hospital admissions,596.0,Israel
2020-03-31,Daily hospital occupancy,706,Israel
2020-03-31,Weekly new ICU admissions,51.0,Israel
2020-03-31,Weekly new hospital admissions,624.0,Israel
2020-04-01,Daily hospital occupancy,800,Israel
2020-04-01,Weekly new ICU admissions,62.0,Israel
2020-04-01,Weekly new hospital admissions,691.0,Israel
2020-04-02,Daily hospital occupancy,854,Israel
2020-04-02,Weekly new ICU admissions,67.0,Israel
2020-04-02,Weekly new hospital admissions,725.0,Israel
2020-04-03,Daily hospital occupancy,837,Israel
2020-04-03,Weekly new ICU admissions,80.0,Israel
2020-04-03,Weekly new hospital admissions,713.0,Israel
