location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Australia,2021-05-10,16,19,0.45,
Australia,2021-05-10,20,29,3.66,
Australia,2021-05-10,30,39,4.41,
Australia,2021-05-10,5,11,,
Australia,2021-05-10,50,59,9.35,
Australia,2021-05-10,60,69,13.62,
Australia,2021-05-10,70,79,37.34,
Australia,2021-05-10,80,89,40.63,
Australia,2021-05-10,90,,44.15,
Australia,2021-05-11,40,49,5.37,
Australia,2021-05-11,50,59,9.7,
Australia,2021-05-11,70,79,38.14,
Australia,2021-05-11,80,89,41.39,
Australia,2021-05-11,90,,44.75,
Australia,2021-05-12,20,29,3.74,
Australia,2021-05-12,30,39,4.51,
Australia,2021-05-12,40,49,5.44,
Australia,2021-05-12,50,59,10.1,
Australia,2021-05-12,60,69,14.96,
Australia,2021-05-12,70,79,38.98,
Australia,2021-05-12,80,89,42.21,
Australia,2021-05-12,90,,45.27,
Australia,2021-05-13,20,29,3.79,
Australia,2021-05-13,30,39,4.61,
Australia,2021-05-13,40,49,5.54,
Australia,2021-05-13,50,59,10.5,
Australia,2021-05-13,60,69,15.67,
Australia,2021-05-13,70,79,39.95,
Australia,2021-05-13,80,89,43.18,
Australia,2021-05-13,90,,46.18,
Australia,2021-05-14,16,19,0.5,
Australia,2021-05-14,20,29,3.86,
Australia,2021-05-14,30,39,4.68,
Australia,2021-05-14,40,49,5.69,
Australia,2021-05-14,50,59,10.95,
Australia,2021-05-14,60,69,16.47,
Australia,2021-05-14,70,79,40.96,
Australia,2021-05-14,80,89,44.38,
Australia,2021-05-14,90,,47.92,
Australia,2021-05-16,16,19,0.55,
Australia,2021-05-16,20,29,3.96,
Australia,2021-05-16,30,39,4.81,
Australia,2021-05-16,40,49,5.87,
Australia,2021-05-16,50,59,11.62,
Australia,2021-05-16,60,69,17.53,
Australia,2021-05-16,70,79,42.1,
Australia,2021-05-16,80,89,45.53,
Australia,2021-05-16,90,,48.91,
Australia,2021-05-18,20,29,4.04,
Australia,2021-05-18,30,39,4.88,
Australia,2021-05-18,40,49,5.95,
Australia,2021-05-18,50,59,12.0,
Australia,2021-05-18,60,69,18.27,
Australia,2021-05-18,70,79,42.87,
Australia,2021-05-18,80,89,46.17,
Australia,2021-05-18,90,,49.42,
Australia,2021-05-19,20,29,4.11,
Australia,2021-05-19,40,49,6.22,
Australia,2021-05-19,50,59,12.62,
Australia,2021-05-19,60,69,19.27,
Australia,2021-05-19,70,79,43.76,
Australia,2021-05-19,80,89,47.23,
Australia,2021-05-19,90,,50.93,
Australia,2021-05-20,16,19,0.65,
Australia,2021-05-20,20,29,4.26,
Australia,2021-05-20,30,39,5.21,
Australia,2021-05-20,40,49,6.57,
Australia,2021-05-20,50,59,13.22,
Australia,2021-05-20,60,69,20.23,
Australia,2021-05-20,70,79,44.68,
Australia,2021-05-20,80,89,48.17,
Australia,2021-05-20,90,,51.86,
Australia,2021-05-21,20,29,4.36,
