location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Czechia,2021-01-01,18,24,0.01,0.0,0.0
Czechia,2021-01-01,25,49,0.02,0.0,0.0
Czechia,2021-01-01,50,59,0.02,0.0,0.0
Czechia,2021-01-01,60,69,0.01,0.0,0.0
Czechia,2021-01-01,70,79,0.01,0.0,0.0
Czechia,2021-01-01,80,,0.01,0.0,0.0
Czechia,2021-01-08,15,17,0.0,0.0,0.0
Czechia,2021-01-08,18,24,0.2,0.0,0.0
Czechia,2021-01-08,25,49,0.66,0.0,0.0
Czechia,2021-01-08,50,59,0.83,0.0,0.0
Czechia,2021-01-08,60,69,0.51,0.0,0.0
Czechia,2021-01-08,70,79,0.26,0.0,0.0
Czechia,2021-01-08,80,,0.57,0.0,0.0
Czechia,2021-01-15,15,17,0.01,0.0,0.0
Czechia,2021-01-15,18,24,0.47,0.0,0.0
Czechia,2021-01-15,25,49,1.39,0.01,0.0
Czechia,2021-01-15,50,59,1.89,0.01,0.0
Czechia,2021-01-15,60,69,1.23,0.01,0.0
Czechia,2021-01-15,70,79,0.84,0.0,0.0
Czechia,2021-01-15,80,,3.33,0.0,0.0
Czechia,2021-01-22,10,14,0.0,0.0,0.0
Czechia,2021-01-22,15,17,0.01,0.0,0.0
Czechia,2021-01-22,18,24,0.61,0.05,0.0
Czechia,2021-01-22,25,49,1.77,0.17,0.0
Czechia,2021-01-22,50,59,2.57,0.2,0.0
Czechia,2021-01-22,60,69,1.73,0.13,0.0
Czechia,2021-01-22,70,79,1.32,0.06,0.0
Czechia,2021-01-22,80,,12.07,0.15,0.0
Czechia,2021-01-29,15,17,0.02,0.0,0.0
Czechia,2021-01-29,18,24,0.7,0.14,0.0
Czechia,2021-01-29,25,49,1.94,0.54,0.0
Czechia,2021-01-29,50,59,2.86,0.69,0.0
Czechia,2021-01-29,60,69,1.95,0.42,0.0
Czechia,2021-01-29,70,79,1.53,0.19,0.0
Czechia,2021-01-29,80,,18.32,0.37,0.0
Czechia,2021-02-05,15,17,0.02,0.01,0.0
Czechia,2021-02-05,18,24,0.75,0.36,0.0
Czechia,2021-02-05,25,49,2.04,1.16,0.0
Czechia,2021-02-05,50,59,3.0,1.59,0.0
Czechia,2021-02-05,60,69,2.07,1.0,0.0
Czechia,2021-02-05,70,79,1.66,0.6,0.0
Czechia,2021-02-05,80,,21.92,2.14,0.0
Czechia,2021-02-12,15,17,0.03,0.01,0.0
Czechia,2021-02-12,18,24,0.81,0.52,0.0
Czechia,2021-02-12,25,49,2.17,1.59,0.0
Czechia,2021-02-12,50,59,3.22,2.29,0.0
Czechia,2021-02-12,60,69,2.23,1.53,0.0
Czechia,2021-02-12,70,79,1.87,1.08,0.0
Czechia,2021-02-12,80,,25.93,9.57,0.0
Czechia,2021-02-19,10,14,0.0,0.0,0.0
Czechia,2021-02-19,15,17,0.03,0.02,0.0
Czechia,2021-02-19,18,24,0.91,0.62,0.0
Czechia,2021-02-19,25,49,2.38,1.8,0.0
Czechia,2021-02-19,50,59,3.54,2.64,0.0
Czechia,2021-02-19,60,69,2.49,1.8,0.0
Czechia,2021-02-19,70,79,2.2,1.36,0.0
Czechia,2021-02-19,80,,33.25,15.2,0.0
Czechia,2021-02-26,15,17,0.05,0.02,0.0
Czechia,2021-02-26,18,24,1.07,0.69,0.0
Czechia,2021-02-26,25,49,2.73,1.92,0.0
Czechia,2021-02-26,50,59,4.07,2.85,0.0
Czechia,2021-02-26,60,69,2.91,1.96,0.0
Czechia,2021-02-26,70,79,2.76,1.52,0.0
Czechia,2021-02-26,80,,43.06,19.54,0.0
Czechia,2021-03-05,15,17,0.05,0.02,0.0
Czechia,2021-03-05,18,24,1.3,0.73,0.0
Czechia,2021-03-05,25,49,3.46,2.02,0.0
Czechia,2021-03-05,50,59,5.69,2.99,0.0
Czechia,2021-03-05,60,69,4.43,2.07,0.0
Czechia,2021-03-05,70,79,7.32,1.66,0.0
Czechia,2021-03-05,80,,53.36,22.78,0.0
Czechia,2021-03-12,10,14,0.0,0.0,0.0
Czechia,2021-03-12,15,17,0.07,0.03,0.0
Czechia,2021-03-12,18,24,1.67,0.81,0.0
Czechia,2021-03-12,25,49,4.26,2.19,0.0
Czechia,2021-03-12,50,59,7.3,3.27,0.0
Czechia,2021-03-12,60,69,5.68,2.29,0.0
Czechia,2021-03-12,70,79,18.4,1.9,0.0
Czechia,2021-03-12,80,,61.61,27.63,0.0
Czechia,2021-03-19,15,17,0.09,0.04,0.0
Czechia,2021-03-19,18,24,2.04,0.94,0.0
Czechia,2021-03-19,25,49,4.96,2.44,0.0
Czechia,2021-03-19,50,59,8.72,3.63,0.0
Czechia,2021-03-19,60,69,6.72,2.58,0.0
Czechia,2021-03-19,70,79,29.86,2.27,0.0
Czechia,2021-03-19,80,,66.45,35.86,0.0
Czechia,2021-03-26,15,17,0.1,0.05,0.0
Czechia,2021-03-26,18,24,2.32,1.07,0.0
Czechia,2021-03-26,25,49,5.51,2.81,0.0
Czechia,2021-03-26,50,59,9.66,4.4,0.0
Czechia,2021-03-26,60,69,7.71,3.29,0.0
Czechia,2021-03-26,70,79,37.73,3.9,0.0
Czechia,2021-03-26,80,,69.73,43.68,0.0
Czechia,2021-04-02,15,17,0.11,0.06,0.0
Czechia,2021-04-02,18,24,2.52,1.33,0.0
Czechia,2021-04-02,25,49,5.94,3.38,0.0
Czechia,2021-04-02,50,59,10.42,5.49,0.0
Czechia,2021-04-02,60,69,8.77,4.17,0.0
Czechia,2021-04-02,70,79,42.9,9.55,0.0
Czechia,2021-04-02,80,,72.26,49.86,0.0
Czechia,2021-04-09,15,17,0.13,0.08,0.0
