location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
France,2021-01-08,0,17,0.0,0.0,0.0
France,2021-01-08,18,24,0.02,0.0,0.0
France,2021-01-08,25,49,0.08,0.0,0.0
France,2021-01-08,50,59,0.45,0.0,0.0
France,2021-01-08,60,69,0.29,0.0,0.0
France,2021-01-08,70,79,0.17,0.0,0.0
France,2021-01-08,80,,0.42,0.0,0.0
France,2021-01-15,0,17,0.0,0.0,0.0
France,2021-01-15,18,24,0.07,0.0,0.0
France,2021-01-15,25,49,0.38,0.0,0.0
France,2021-01-15,50,59,1.76,0.0,0.0
France,2021-01-15,60,69,1.05,0.0,0.0
France,2021-01-15,70,79,0.86,0.0,0.0
France,2021-01-15,80,,2.1,0.0,0.0
France,2021-01-22,0,17,0.0,0.0,0.0
France,2021-01-22,18,24,0.14,0.0,0.0
France,2021-01-22,25,49,0.69,0.0,0.0
France,2021-01-22,50,59,2.74,0.0,0.0
France,2021-01-22,60,69,1.76,0.0,0.0
France,2021-01-22,70,79,4.11,0.0,0.0
France,2021-01-22,80,,8.97,0.01,0.0
France,2021-01-29,0,17,0.0,0.0,0.0
France,2021-01-29,18,24,0.19,0.0,0.0
France,2021-01-29,25,49,0.88,0.03,0.0
France,2021-01-29,50,59,3.25,0.2,0.0
France,2021-01-29,60,69,2.25,0.12,0.0
France,2021-01-29,70,79,6.99,0.08,0.0
France,2021-01-29,80,,14.91,0.24,0.0
France,2021-02-05,0,17,0.01,0.0,0.0
France,2021-02-05,18,24,0.23,0.03,0.0
France,2021-02-05,25,49,1.0,0.18,0.0
France,2021-02-05,50,59,3.54,0.99,0.0
France,2021-02-05,60,69,2.57,0.57,0.0
France,2021-02-05,70,79,9.16,0.43,0.0
France,2021-02-05,80,,19.06,1.3,0.0
France,2021-02-12,0,17,0.01,0.0,0.0
France,2021-02-12,18,24,0.34,0.07,0.0
France,2021-02-12,25,49,1.3,0.45,0.0
France,2021-02-12,50,59,3.89,1.94,0.0
France,2021-02-12,60,69,2.94,1.18,0.0
France,2021-02-12,70,79,11.06,1.6,0.0
France,2021-02-12,80,,22.43,4.62,0.0
France,2021-02-19,0,17,0.01,0.0,0.0
France,2021-02-19,18,24,0.5,0.12,0.0
France,2021-02-19,25,49,1.64,0.67,0.0
France,2021-02-19,50,59,4.22,2.66,0.0
France,2021-02-19,60,69,3.27,1.73,0.0
France,2021-02-19,70,79,12.3,4.27,0.0
France,2021-02-19,80,,24.63,9.85,0.0
France,2021-02-26,0,17,0.01,0.0,0.0
France,2021-02-26,18,24,0.68,0.15,0.0
France,2021-02-26,25,49,1.97,0.81,0.0
France,2021-02-26,50,59,5.17,3.06,0.0
France,2021-02-26,60,69,4.25,2.11,0.0
France,2021-02-26,70,79,13.75,6.76,0.0
France,2021-02-26,80,,27.0,14.4,0.0
France,2021-03-05,0,17,0.01,0.0,0.0
France,2021-03-05,18,24,0.94,0.18,0.0
France,2021-03-05,25,49,2.47,0.92,0.0
France,2021-03-05,50,59,7.14,3.33,0.0
France,2021-03-05,60,69,6.91,2.43,0.0
France,2021-03-05,70,79,18.21,8.81,0.0
France,2021-03-05,80,,32.27,17.98,0.0
France,2021-03-12,0,17,0.02,0.0,0.0
France,2021-03-12,18,24,1.25,0.21,0.0
France,2021-03-12,25,49,3.12,1.02,0.0
France,2021-03-12,50,59,9.23,3.56,0.0
France,2021-03-12,60,69,10.64,2.72,0.0
France,2021-03-12,70,79,25.01,10.62,0.0
France,2021-03-12,80,,38.73,21.11,0.0
France,2021-03-19,0,17,0.02,0.0,0.0
France,2021-03-19,18,24,1.43,0.23,0.0
France,2021-03-19,25,49,3.53,1.11,0.0
France,2021-03-19,50,59,10.31,3.73,0.0
France,2021-03-19,60,69,13.02,2.97,0.0
France,2021-03-19,70,79,31.61,11.8,0.0
France,2021-03-19,80,,46.16,23.18,0.0
France,2021-03-26,0,17,0.02,0.0,0.0
France,2021-03-26,18,24,1.71,0.26,0.0
France,2021-03-26,25,49,4.17,1.19,0.0
France,2021-03-26,50,59,12.44,3.89,0.0
France,2021-03-26,60,69,18.22,3.22,0.0
France,2021-03-26,70,79,41.56,13.2,0.0
France,2021-03-26,80,,53.69,25.47,0.0
France,2021-04-02,0,17,0.03,0.0,0.0
France,2021-04-02,18,24,2.16,0.29,0.0
France,2021-04-02,25,49,5.08,1.3,0.0
France,2021-04-02,50,59,14.63,4.13,0.0
France,2021-04-02,60,69,22.84,3.73,0.0
France,2021-04-02,70,79,51.04,16.3,0.0
France,2021-04-02,80,,58.98,30.16,0.0
France,2021-04-09,0,17,0.03,0.0,0.0
France,2021-04-09,18,24,2.67,0.33,0.0
France,2021-04-09,25,49,6.05,1.46,0.0
France,2021-04-09,50,59,17.16,4.51,0.0
France,2021-04-09,60,69,27.93,4.56,0.0
France,2021-04-09,70,79,60.15,20.26,0.0
France,2021-04-09,80,,63.23,35.66,0.0
France,2021-04-16,0,17,0.04,0.01,0.0
France,2021-04-16,18,24,3.19,0.44,0.0
France,2021-04-16,25,49,7.07,1.74,0.0
France,2021-04-16,50,59,20.75,5.12,0.0
France,2021-04-16,60,69,35.52,5.92,0.0
France,2021-04-16,70,79,67.83,25.65,0.0
France,2021-04-16,80,,67.0,42.48,0.0
France,2021-04-23,0,17,0.04,0.01,0.0
France,2021-04-23,18,24,3.63,0.67,0.0
France,2021-04-23,25,49,8.0,2.3,0.0
France,2021-04-23,50,59,24.34,6.14,0.0
France,2021-04-23,60,69,43.71,7.82,0.0
France,2021-04-23,70,79,72.51,32.04,0.0
France,2021-04-23,80,,69.47,48.88,0.0
France,2021-04-30,0,17,0.05,0.01,0.0
France,2021-04-30,18,24,4.22,0.99,0.0
France,2021-04-30,25,49,9.4,3.0,0.0
France,2021-04-30,50,59,28.94,7.43,0.0
France,2021-04-30,60,69,52.67,10.0,0.0
France,2021-04-30,70,79,76.86,38.68,0.0
France,2021-04-30,80,,71.84,52.95,0.0
France,2021-05-07,0,17,0.07,0.01,0.0
France,2021-05-07,18,24,5.46,1.47,0.0
France,2021-05-07,25,49,12.51,3.98,0.0
France,2021-05-07,50,59,34.68,9.44,0.0
France,2021-05-07,60,69,59.58,13.17,0.0
France,2021-05-07,70,79,80.11,46.13,0.0
France,2021-05-07,80,,73.72,56.38,0.0
France,2021-05-14,0,17,0.1,0.01,0.0
France,2021-05-14,18,24,8.64,1.81,0.0
France,2021-05-14,25,49,17.5,4.71,0.0
France,2021-05-14,50,59,43.14,11.3,0.0
France,2021-05-14,60,69,64.31,17.09,0.0
France,2021-05-14,70,79,82.4,51.59,0.0
France,2021-05-14,80,,75.06,58.77,0.0
France,2021-05-21,0,17,0.16,0.01,0.0
France,2021-05-21,18,24,13.75,2.13,0.0
France,2021-05-21,25,49,23.93,5.37,0.0
France,2021-05-21,50,59,51.18,13.19,0.0
France,2021-05-21,60,69,68.28,20.79,0.0
France,2021-05-21,70,79,84.37,55.01,0.0
France,2021-05-21,80,,76.3,60.3,0.0
France,2021-05-28,0,17,0.22,0.02,0.0
France,2021-05-28,18,24,19.21,2.5,0.0
France,2021-05-28,25,49,29.91,6.14,0.0
France,2021-05-28,50,59,56.69,15.58,0.0
France,2021-05-28,60,69,70.95,25.64,0.0
France,2021-05-28,70,79,85.74,58.93,0.0
France,2021-05-28,80,,77.2,61.92,0.0
France,2021-06-04,0,17,0.33,0.02,0.0
France,2021-06-04,18,24,26.57,3.01,0.0
France,2021-06-04,25,49,36.89,7.23,0.0
France,2021-06-04,50,59,61.23,18.78,0.0
France,2021-06-04,60,69,73.33,33.22,0.0
France,2021-06-04,70,79,87.08,63.57,0.0
France,2021-06-04,80,,78.16,63.83,0.0
France,2021-06-11,0,17,0.53,0.02,0.0
France,2021-06-11,18,24,33.78,3.79,0.0
France,2021-06-11,25,49,43.18,8.94,0.0
France,2021-06-11,50,59,64.81,22.86,0.0
France,2021-06-11,60,69,75.28,41.53,0.0
France,2021-06-11,70,79,88.21,68.06,0.0
France,2021-06-11,80,,78.98,65.84,0.0
France,2021-06-18,0,17,2.41,0.04,0.0
France,2021-06-18,18,24,38.74,5.34,0.0
France,2021-06-18,25,49,47.32,12.33,0.0
France,2021-06-18,50,59,67.19,28.82,0.0
France,2021-06-18,60,69,76.67,49.41,0.0
France,2021-06-18,70,79,89.07,72.64,0.0
France,2021-06-18,80,,79.6,67.86,0.0
France,2021-06-25,0,17,4.08,0.08,0.0
France,2021-06-25,18,24,42.59,8.99,0.0
France,2021-06-25,25,49,50.14,17.62,0.0
France,2021-06-25,50,59,68.91,37.18,0.0
France,2021-06-25,60,69,77.7,55.35,0.0
France,2021-06-25,70,79,89.73,75.94,0.0
France,2021-06-25,80,,80.09,69.46,0.0
France,2021-07-02,0,17,5.67,0.17,0.0
France,2021-07-02,18,24,45.97,14.41,0.0
France,2021-07-02,25,49,52.58,23.98,0.0
France,2021-07-02,50,59,70.5,45.04,0.0
France,2021-07-02,60,69,78.69,60.42,0.0
France,2021-07-02,70,79,90.35,78.56,0.0
France,2021-07-02,80,,80.55,70.85,0.0
France,2021-07-09,0,17,7.15,0.56,0.0
France,2021-07-09,18,24,49.33,20.44,0.0
France,2021-07-09,25,49,55.2,30.28,0.0
France,2021-07-09,50,59,72.26,51.24,0.0
France,2021-07-09,60,69,79.78,64.4,0.0
France,2021-07-09,70,79,91.02,80.53,0.0
France,2021-07-09,80,,81.04,72.0,0.0
France,2021-07-16,0,17,8.97,1.44,0.0
France,2021-07-16,18,24,54.55,27.84,0.0
France,2021-07-16,25,49,59.1,36.82,0.0
France,2021-07-16,50,59,74.57,55.72,0.0
France,2021-07-16,60,69,81.08,66.99,0.0
France,2021-07-16,70,79,91.76,81.87,0.0
France,2021-07-16,80,,81.55,72.86,0.0
France,2021-07-23,0,17,11.24,3.06,0.0
France,2021-07-23,18,24,61.83,34.73,0.0
France,2021-07-23,25,49,64.48,42.67,0.0
France,2021-07-23,50,59,77.72,59.53,0.0
France,2021-07-23,60,69,82.8,69.25,0.0
France,2021-07-23,70,79,92.72,83.12,0.0
France,2021-07-23,80,,82.21,73.75,0.0
France,2021-07-30,0,17,14.01,4.89,0.0
France,2021-07-30,18,24,69.77,39.47,0.0
France,2021-07-30,25,49,70.39,46.47,0.0
France,2021-07-30,50,59,81.23,62.09,0.0
France,2021-07-30,60,69,84.69,70.83,0.0
France,2021-07-30,70,79,93.81,84.06,0.0
France,2021-07-30,80,,83.0,74.47,0.0
France,2021-08-06,0,17,16.7,6.48,0.0
France,2021-08-06,18,24,75.67,43.58,0.0
France,2021-08-06,25,49,74.98,49.65,0.0
France,2021-08-06,50,59,84.1,63.99,0.0
France,2021-08-06,60,69,86.29,71.93,0.0
France,2021-08-06,70,79,94.8,84.74,0.0
France,2021-08-06,80,,83.74,75.0,0.0
France,2021-08-13,0,17,18.59,8.09,0.0
France,2021-08-13,18,24,79.75,48.62,0.0
France,2021-08-13,25,49,78.33,53.35,0.0
France,2021-08-13,50,59,86.21,66.0,0.0
France,2021-08-13,60,69,87.51,73.02,0.0
France,2021-08-13,70,79,95.6,85.42,0.0
France,2021-08-13,80,,84.39,75.55,0.0
France,2021-08-20,0,17,20.13,10.22,0.0
France,2021-08-20,18,24,82.52,54.86,0.0
France,2021-08-20,25,49,80.65,57.96,0.0
France,2021-08-20,50,59,87.67,68.52,0.0
France,2021-08-20,60,69,88.37,74.29,0.0
France,2021-08-20,70,79,96.18,86.18,0.0
France,2021-08-20,80,,84.93,76.15,0.0
France,2021-08-27,0,17,21.6,13.13,0.0
France,2021-08-27,18,24,84.56,60.98,0.0
France,2021-08-27,25,49,82.34,62.65,0.0
France,2021-08-27,50,59,88.72,71.21,0.0
France,2021-08-27,60,69,89.0,75.62,0.0
France,2021-08-27,70,79,96.62,87.01,0.0
France,2021-08-27,80,,85.37,76.8,0.0
France,2021-09-03,0,17,22.88,15.58,0.0
France,2021-09-03,18,24,86.29,65.55,0.01
France,2021-09-03,25,49,83.73,66.4,0.02
France,2021-09-03,50,59,89.54,73.46,0.07
France,2021-09-03,60,69,89.5,76.81,0.18
France,2021-09-03,70,79,96.98,87.8,0.88
France,2021-09-03,80,,85.73,77.45,1.1
France,2021-09-10,0,17,23.65,17.02,0.0
France,2021-09-10,18,24,87.52,68.37,0.02
France,2021-09-10,25,49,84.72,68.85,0.05
France,2021-09-10,50,59,90.11,74.98,0.18
France,2021-09-10,60,69,89.86,77.7,0.44
France,2021-09-10,70,79,97.25,88.41,2.23
France,2021-09-10,80,,86.02,78.02,3.09
France,2021-09-17,0,17,24.4,18.38,0.0
France,2021-09-17,18,24,88.47,70.28,0.04
France,2021-09-17,25,49,85.51,70.52,0.07
France,2021-09-17,50,59,90.55,76.09,0.33
France,2021-09-17,60,69,90.13,78.42,0.8
France,2021-09-17,70,79,97.45,88.94,3.8
France,2021-09-17,80,,86.28,78.6,6.93
France,2021-09-24,0,17,24.99,19.61,0.0
France,2021-09-24,18,24,89.09,71.74,0.05
France,2021-09-24,25,49,85.99,71.75,0.09
France,2021-09-24,50,59,90.82,76.93,0.49
France,2021-09-24,60,69,90.32,79.03,1.19
France,2021-09-24,70,79,97.6,89.42,5.37
France,2021-09-24,80,,86.5,79.16,11.05
France,2021-10-01,0,17,25.48,20.45,0.01
France,2021-10-01,18,24,89.71,72.81,0.06
France,2021-10-01,25,49,86.5,72.65,0.12
France,2021-10-01,50,59,91.09,77.57,0.65
France,2021-10-01,60,69,90.5,79.54,1.62
France,2021-10-01,70,79,97.74,89.83,7.13
France,2021-10-01,80,,86.67,79.65,14.72
France,2021-10-08,0,17,25.84,21.14,0.01
France,2021-10-08,18,24,90.3,73.66,0.08
France,2021-10-08,25,49,86.99,73.37,0.16
France,2021-10-08,50,59,91.34,78.1,0.88
France,2021-10-08,60,69,90.67,80.0,2.18
France,2021-10-08,70,79,97.86,90.21,9.54
France,2021-10-08,80,,86.82,80.09,18.72
France,2021-10-15,0,17,26.13,21.71,0.01
France,2021-10-15,18,24,90.89,74.31,0.11
France,2021-10-15,25,49,87.45,73.91,0.25
France,2021-10-15,50,59,91.58,78.54,1.22
France,2021-10-15,60,69,90.84,80.43,2.9
France,2021-10-15,70,79,97.99,90.58,12.36
France,2021-10-15,80,,86.94,80.49,22.83
France,2021-10-22,0,17,26.36,22.19,0.01
France,2021-10-22,18,24,91.4,74.86,0.15
France,2021-10-22,25,49,87.85,74.36,0.36
France,2021-10-22,50,59,91.79,78.89,1.66
France,2021-10-22,60,69,90.98,80.79,3.79
France,2021-10-22,70,79,98.09,90.92,15.8
France,2021-10-22,80,,87.05,80.82,27.06
France,2021-10-29,0,17,26.59,22.48,0.01
France,2021-10-29,18,24,91.83,75.34,0.2
France,2021-10-29,25,49,88.18,74.76,0.5
France,2021-10-29,50,59,91.97,79.21,2.15
France,2021-10-29,60,69,91.1,81.13,4.89
France,2021-10-29,70,79,98.18,91.24,19.94
France,2021-10-29,80,,87.14,81.12,31.16
France,2021-11-05,0,17,26.79,22.72,0.02
France,2021-11-05,18,24,92.21,75.79,0.26
France,2021-11-05,25,49,88.48,75.13,0.66
France,2021-11-05,50,59,92.12,79.51,2.68
France,2021-11-05,60,69,91.2,81.48,6.15
France,2021-11-05,70,79,98.26,91.57,24.15
France,2021-11-05,80,,87.22,81.38,34.66
France,2021-11-12,0,17,26.95,22.94,0.02
France,2021-11-12,18,24,92.52,76.23,0.37
France,2021-11-12,25,49,88.76,75.51,0.95
France,2021-11-12,50,59,92.27,79.85,3.47
