location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Israel,2022-01-25,12,15,65.3,53.6,13.3
Israel,2022-01-25,16,19,89.2,77.8,44.8
Israel,2022-01-25,20,29,85.5,76.6,53.8
Israel,2022-01-25,30,39,88.9,81.6,58.9
Israel,2022-01-25,40,49,90.4,84.3,66.3
Israel,2022-01-25,5,11,24.6,15.0,0.0
Israel,2022-01-25,50,59,91.0,86.0,72.5
Israel,2022-01-25,60,69,92.7,89.6,79.9
Israel,2022-01-25,70,79,90.8,89.2,85.6
Israel,2022-01-25,80,89,90.8,88.9,83.0
Israel,2022-01-25,90,99,84.3,81.5,75.4
Israel,2022-01-26,12,15,65.3,53.6,13.3
Israel,2022-01-26,16,19,89.2,77.8,44.8
Israel,2022-01-26,20,29,85.5,76.6,53.8
Israel,2022-01-26,30,39,88.9,81.6,59.0
Israel,2022-01-26,40,49,90.4,84.3,66.3
Israel,2022-01-26,5,11,24.6,15.2,0.0
Israel,2022-01-26,50,59,91.0,86.0,72.5
Israel,2022-01-26,60,69,92.7,89.6,79.9
Israel,2022-01-26,70,79,90.8,89.2,85.6
Israel,2022-01-26,80,89,90.8,88.9,83.0
Israel,2022-01-26,90,99,84.3,81.5,75.5
Israel,2022-01-27,12,15,65.3,53.7,13.5
Israel,2022-01-27,16,19,89.2,77.8,44.9
Israel,2022-01-27,20,29,85.5,76.6,53.9
Israel,2022-01-27,30,39,88.9,81.6,59.0
Israel,2022-01-27,40,49,90.5,84.3,66.3
Israel,2022-01-27,5,11,24.7,15.6,0.0
Israel,2022-01-27,50,59,91.0,86.1,72.5
Israel,2022-01-27,60,69,92.7,89.6,79.9
Israel,2022-01-27,70,79,90.8,89.2,85.6
Israel,2022-01-27,80,89,90.8,88.9,83.1
Israel,2022-01-27,90,99,84.3,81.5,75.5
