location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Liechtenstein,2021-02-12,18,24,0.07,0.23,0.0
Liechtenstein,2021-02-12,25,49,0.05,0.38,0.0
Liechtenstein,2021-02-12,50,59,0.03,0.89,0.0
Liechtenstein,2021-02-12,60,69,0.06,0.83,0.0
Liechtenstein,2021-02-12,70,79,0.15,1.6,0.0
Liechtenstein,2021-02-12,80,,0.13,7.2,0.0
Liechtenstein,2021-02-19,18,24,0.1,0.4,0.0
Liechtenstein,2021-02-19,25,49,0.08,0.62,0.0
Liechtenstein,2021-02-19,50,59,0.17,1.31,0.0
Liechtenstein,2021-02-19,60,69,0.25,1.37,0.0
Liechtenstein,2021-02-19,70,79,0.21,2.69,0.0
Liechtenstein,2021-02-19,80,,33.38,9.42,0.0
Liechtenstein,2021-02-26,15,17,0.09,0.26,0.0
Liechtenstein,2021-02-26,18,24,0.26,0.96,0.0
Liechtenstein,2021-02-26,25,49,0.12,1.49,0.0
Liechtenstein,2021-02-26,50,59,0.22,2.5,0.0
Liechtenstein,2021-02-26,60,69,0.27,2.54,0.0
Liechtenstein,2021-02-26,70,79,0.53,3.87,0.0
Liechtenstein,2021-02-26,80,,58.9,9.82,0.0
Liechtenstein,2021-03-05,15,17,0.09,0.26,0.0
Liechtenstein,2021-03-05,18,24,0.36,1.02,0.0
Liechtenstein,2021-03-05,25,49,0.2,1.59,0.0
Liechtenstein,2021-03-05,50,59,0.42,2.6,0.0
Liechtenstein,2021-03-05,60,69,0.37,2.79,0.0
Liechtenstein,2021-03-05,70,79,12.58,4.08,0.0
Liechtenstein,2021-03-05,80,,65.58,10.08,0.0
Liechtenstein,2021-03-12,15,17,0.09,0.26,0.0
Liechtenstein,2021-03-12,18,24,0.6,1.02,0.0
Liechtenstein,2021-03-12,25,49,0.24,1.63,0.0
Liechtenstein,2021-03-12,50,59,0.56,2.67,0.0
Liechtenstein,2021-03-12,60,69,0.44,2.89,0.0
Liechtenstein,2021-03-12,70,79,26.97,4.19,0.0
Liechtenstein,2021-03-12,80,,75.2,10.21,0.0
