location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Peru,2021-02-14,18,24.0,0.0437,0.0002,
Peru,2021-02-14,25,49.0,0.6426,0.0001,0.0
Peru,2021-02-14,50,59.0,0.5593,0.0001,
Peru,2021-02-14,60,69.0,0.3182,0.0001,
Peru,2021-02-14,70,79.0,0.0057,0.0001,
Peru,2021-02-14,80,,0.0015,,
Peru,2021-02-21,0,17.0,0.0,,
Peru,2021-02-21,18,24.0,0.16,,
Peru,2021-02-21,25,49.0,1.1571,0.0001,
Peru,2021-02-21,50,59.0,1.0176,,
Peru,2021-02-21,60,69.0,0.7551,,
Peru,2021-02-21,70,79.0,0.0169,,
Peru,2021-02-21,80,,0.0041,,
Peru,2021-02-28,0,17.0,0.0001,,
Peru,2021-02-28,18,24.0,0.3206,0.0002,
Peru,2021-02-28,25,49.0,1.8168,0.0002,
Peru,2021-02-28,50,59.0,1.638,0.0002,
Peru,2021-02-28,60,69.0,1.4562,0.0003,
Peru,2021-02-28,70,79.0,0.0536,,
Peru,2021-02-28,80,,0.0116,,
Peru,2021-03-07,0,17.0,0.0001,,
Peru,2021-03-07,18,24.0,0.3753,0.0365,
Peru,2021-03-07,25,49.0,2.0048,0.5569,
Peru,2021-03-07,50,59.0,1.7892,0.5089,
Peru,2021-03-07,60,69.0,1.6729,0.2961,
Peru,2021-03-07,70,79.0,0.0748,0.0057,
Peru,2021-03-07,80,,0.0164,0.0006,
Peru,2021-03-14,0,17.0,0.0002,0.0,
Peru,2021-03-14,18,24.0,0.6491,0.125,
Peru,2021-03-14,25,49.0,2.251,1.0084,0.0
Peru,2021-03-14,50,59.0,2.2074,0.9174,
Peru,2021-03-14,60,69.0,1.8623,0.6852,
Peru,2021-03-14,70,79.0,0.2788,0.0172,
Peru,2021-03-14,80,,1.9626,0.0058,
Peru,2021-03-21,0,17.0,0.0011,0.0,
Peru,2021-03-21,18,24.0,1.106,0.277,
Peru,2021-03-21,25,49.0,2.6614,1.6515,
Peru,2021-03-21,50,59.0,2.4627,1.5361,
Peru,2021-03-21,60,69.0,2.1353,1.3782,
Peru,2021-03-21,70,79.0,1.0717,0.053,
Peru,2021-03-21,80,,8.1936,0.0122,
Peru,2021-03-28,0,17.0,0.0012,,
Peru,2021-03-28,18,24.0,1.4682,0.3335,
Peru,2021-03-28,25,49.0,2.838,1.8659,
Peru,2021-03-28,50,59.0,2.5911,1.7029,
Peru,2021-03-28,60,69.0,2.3854,1.6027,
Peru,2021-03-28,70,79.0,1.7719,0.0744,
Peru,2021-03-28,80,,12.1311,0.0164,
Peru,2021-04-04,0,17.0,0.0013,0.0001,
Peru,2021-04-04,18,24.0,1.5224,0.5748,
Peru,2021-04-04,25,49.0,2.937,2.0777,
Peru,2021-04-04,50,59.0,2.6606,2.0958,
Peru,2021-04-04,60,69.0,2.4723,1.7646,
Peru,2021-04-04,70,79.0,1.8803,0.2442,
Peru,2021-04-04,80,,12.9873,1.7728,
Peru,2021-04-11,0,17.0,0.0014,0.0004,
Peru,2021-04-11,18,24.0,1.7602,0.8428,
Peru,2021-04-11,25,49.0,3.315,2.3904,0.0
Peru,2021-04-11,50,59.0,2.9055,2.3165,
Peru,2021-04-11,60,69.0,2.6276,2.0195,
Peru,2021-04-11,70,79.0,2.0124,0.9058,
Peru,2021-04-11,80,,13.2513,6.7418,
Peru,2021-04-18,0,17.0,0.0014,0.0005,
Peru,2021-04-18,18,24.0,1.9319,1.3564,
Peru,2021-04-18,25,49.0,3.3609,2.7122,0.0
Peru,2021-04-18,50,59.0,2.9376,2.5119,
Peru,2021-04-18,60,69.0,2.6506,2.3026,
Peru,2021-04-18,70,79.0,2.0869,1.6671,
Peru,2021-04-18,80,,19.5168,11.3684,
Peru,2021-04-25,0,17.0,0.0017,0.0005,
Peru,2021-04-25,18,24.0,2.0218,1.4405,
Peru,2021-04-25,25,49.0,3.5596,2.8269,
Peru,2021-04-25,50,59.0,3.1371,2.5908,
Peru,2021-04-25,60,69.0,2.7206,2.3999,
Peru,2021-04-25,70,79.0,3.0015,1.77,
Peru,2021-04-25,80,,29.96,12.3944,
Peru,2021-05-02,0,17.0,0.0018,0.0006,
Peru,2021-05-02,18,24.0,2.0848,1.6172,
Peru,2021-05-02,25,49.0,3.6242,3.1677,0.0001
Peru,2021-05-02,50,59.0,3.173,2.8129,
Peru,2021-05-02,60,69.0,3.4784,2.5418,
Peru,2021-05-02,70,79.0,13.229,1.8757,
Peru,2021-05-02,80,,47.0088,12.6235,0.0003
Peru,2021-05-09,0,17.0,0.0021,0.0006,
Peru,2021-05-09,18,24.0,2.1868,1.7667,
Peru,2021-05-09,25,49.0,3.6713,3.2342,
Peru,2021-05-09,50,59.0,3.1901,2.8576,
Peru,2021-05-09,60,69.0,4.5475,2.5825,
Peru,2021-05-09,70,79.0,25.7803,1.977,
Peru,2021-05-09,80,,59.392,17.7408,
Peru,2021-05-16,0,17.0,0.0029,0.0009,
Peru,2021-05-16,18,24.0,2.3897,1.9087,
Peru,2021-05-16,25,49.0,3.8104,3.3806,
Peru,2021-05-16,50,59.0,3.2747,3.0188,
Peru,2021-05-16,60,69.0,6.9692,2.6476,
Peru,2021-05-16,70,79.0,46.8644,2.7899,
Peru,2021-05-16,80,,64.3496,27.9914,
Peru,2021-05-23,0,17.0,0.0037,0.0009,
Peru,2021-05-23,18,24.0,2.5316,1.9584,
Peru,2021-05-23,25,49.0,3.9293,3.4598,
Peru,2021-05-23,50,59.0,3.4476,3.0844,
Peru,2021-05-23,60,69.0,15.6107,2.88,
Peru,2021-05-23,70,79.0,62.2502,9.2217,0.0001
Peru,2021-05-23,80,,68.1356,38.5665,
Peru,2021-05-30,0,17.0,0.0049,0.0012,
Peru,2021-05-30,18,24.0,2.6909,2.0713,
Peru,2021-05-30,25,49.0,4.1113,3.5573,
Peru,2021-05-30,50,59.0,4.1932,3.1236,
Peru,2021-05-30,60,69.0,34.7528,3.3238,0.0
Peru,2021-05-30,70,79.0,66.6745,19.384,
Peru,2021-05-30,80,,70.2706,50.5064,0.0006
Peru,2021-06-06,0,17.0,0.0058,0.0016,
Peru,2021-06-06,18,24.0,2.788,2.139,
Peru,2021-06-06,25,49.0,4.239,3.6055,0.0001
Peru,2021-06-06,50,59.0,4.9485,3.1561,
Peru,2021-06-06,60,69.0,45.4566,3.8679,0.0001
Peru,2021-06-06,70,79.0,68.2322,32.1199,
Peru,2021-06-06,80,,71.4791,53.6028,
Peru,2021-06-13,0,17.0,0.0064,0.0023,
Peru,2021-06-13,18,24.0,2.8649,2.2464,
Peru,2021-06-13,25,49.0,4.3563,3.703,0.0001
Peru,2021-06-13,50,59.0,6.6293,3.2852,
Peru,2021-06-13,60,69.0,62.5741,11.4813,0.0003
Peru,2021-06-13,70,79.0,70.8963,55.4504,
Peru,2021-06-13,80,,73.702,62.4572,
Peru,2021-06-20,0,17.0,0.0073,0.0034,
Peru,2021-06-20,18,24.0,3.0184,2.4572,
Peru,2021-06-20,25,49.0,4.7015,3.9197,0.0001
Peru,2021-06-20,50,59.0,7.979,3.9545,0.0
Peru,2021-06-20,60,69.0,67.6992,30.7446,0.0005
Peru,2021-06-20,70,79.0,73.1173,62.8867,0.0002
Peru,2021-06-20,80,,75.6399,66.3293,
Peru,2021-06-27,0,17.0,0.0083,0.0039,
Peru,2021-06-27,18,24.0,3.2767,2.6351,
Peru,2021-06-27,25,49.0,5.1385,4.1037,
Peru,2021-06-27,50,59.0,13.6817,4.6611,
Peru,2021-06-27,60,69.0,70.1168,42.6597,0.0006
Peru,2021-06-27,70,79.0,74.9069,65.1512,0.0003
Peru,2021-06-27,80,,77.4369,68.1193,0.0007
Peru,2021-07-04,0,17.0,0.0093,0.0043,
Peru,2021-07-04,18,24.0,3.4354,2.7239,
Peru,2021-07-04,25,49.0,5.4663,4.2113,
Peru,2021-07-04,50,59.0,26.5171,5.9609,0.0002
Peru,2021-07-04,60,69.0,72.0013,58.0229,0.0007
Peru,2021-07-04,70,79.0,76.2752,67.2826,0.0004
Peru,2021-07-04,80,,78.7382,69.8254,0.0009
Peru,2021-07-11,0,17.0,0.0114,0.0048,
Peru,2021-07-11,18,24.0,3.6953,2.8511,
Peru,2021-07-11,25,49.0,7.692,4.5139,0.0001
Peru,2021-07-11,50,59.0,46.6547,7.291,0.0003
Peru,2021-07-11,60,69.0,74.4678,63.8518,0.0009
Peru,2021-07-11,70,79.0,77.8285,69.4225,0.0005
Peru,2021-07-11,80,,80.1225,71.7196,
Peru,2021-07-18,0,17.0,0.0135,0.0055,
Peru,2021-07-18,18,24.0,3.9449,3.0569,0.0001
Peru,2021-07-18,25,49.0,11.4898,4.8845,0.0002
Peru,2021-07-18,50,59.0,59.8259,12.1441,0.0004
Peru,2021-07-18,60,69.0,75.9989,66.79,0.001
Peru,2021-07-18,70,79.0,78.794,71.533,0.0006
Peru,2021-07-18,80,,80.9078,73.7607,0.001
Peru,2021-07-25,0,17.0,0.0263,0.0061,
Peru,2021-07-25,18,24.0,4.5803,3.1936,
Peru,2021-07-25,25,49.0,16.785,5.1889,0.0002
Peru,2021-07-25,50,59.0,65.1338,23.2981,0.0005
Peru,2021-07-25,60,69.0,77.1191,68.6862,0.001
Peru,2021-07-25,70,79.0,79.4779,73.0363,
Peru,2021-07-25,80,,81.4197,75.1672,0.0012
Peru,2021-08-01,0,17.0,0.0349,0.0069,
Peru,2021-08-01,18,24.0,4.8518,3.3369,
Peru,2021-08-01,25,49.0,19.3604,6.7111,0.0002
Peru,2021-08-01,50,59.0,67.5676,40.2291,0.0009
Peru,2021-08-01,60,69.0,77.7655,70.9084,0.0011
Peru,2021-08-01,70,79.0,79.8912,74.5301,0.0008
Peru,2021-08-01,80,,81.7422,76.5334,
Peru,2021-08-08,0,17.0,0.0404,0.0087,
Peru,2021-08-08,18,24.0,5.3579,3.5479,
Peru,2021-08-08,25,49.0,23.8113,10.0655,0.0003
Peru,2021-08-08,50,59.0,70.2429,53.7202,0.0011
Peru,2021-08-08,60,69.0,78.634,72.8904,
Peru,2021-08-08,70,79.0,80.4885,75.8137,0.0009
Peru,2021-08-08,80,,82.1623,77.6131,
Peru,2021-08-15,0,17.0,0.0501,0.0165,
Peru,2021-08-15,18,24.0,5.7305,3.9662,
Peru,2021-08-15,25,49.0,27.0112,13.8991,0.0003
Peru,2021-08-15,50,59.0,72.0342,58.815,0.0012
Peru,2021-08-15,60,69.0,79.3933,74.0787,0.0011
Peru,2021-08-15,70,79.0,81.0918,76.5856,0.001
Peru,2021-08-15,80,,82.5912,78.2206,0.0013
Peru,2021-08-22,0,17.0,0.072,0.0261,
Peru,2021-08-22,18,24.0,6.0119,4.2421,0.0001
Peru,2021-08-22,25,49.0,29.8815,17.3516,0.0004
Peru,2021-08-22,50,59.0,73.4877,62.8388,0.0013
Peru,2021-08-22,60,69.0,80.1724,75.0954,0.0012
Peru,2021-08-22,70,79.0,81.7108,77.2546,0.0011
Peru,2021-08-22,80,,83.0256,78.7823,
Peru,2021-08-29,0,17.0,0.0938,0.0351,
Peru,2021-08-29,18,24.0,6.3758,4.6072,
Peru,2021-08-29,25,49.0,34.2169,20.854,0.0005
Peru,2021-08-29,50,59.0,75.321,66.2745,0.0016
Peru,2021-08-29,60,69.0,81.0906,76.121,0.0013
Peru,2021-08-29,70,79.0,82.3313,77.9851,
Peru,2021-08-29,80,,83.4979,79.3514,0.0016
Peru,2021-09-05,0,17.0,0.1109,0.0445,
Peru,2021-09-05,18,24.0,6.7972,5.062,0.0001
Peru,2021-09-05,25,49.0,40.7299,24.5378,0.0006
Peru,2021-09-05,50,59.0,77.1491,68.3894,0.0018
Peru,2021-09-05,60,69.0,81.965,76.8838,0.0014
Peru,2021-09-05,70,79.0,82.8837,78.5247,0.0014
Peru,2021-09-05,80,,83.8971,79.744,
Peru,2021-09-12,0,17.0,0.2874,0.0621,
Peru,2021-09-12,18,24.0,9.8053,5.2989,
Peru,2021-09-12,25,49.0,54.7249,27.0592,0.0008
Peru,2021-09-12,50,59.0,79.4524,70.1001,0.002
Peru,2021-09-12,60,69.0,83.2605,77.6862,0.0017
Peru,2021-09-12,70,79.0,83.6735,79.1162,0.0014
Peru,2021-09-12,80,,84.4667,80.1481,0.0021
Peru,2021-09-19,0,17.0,0.7932,0.0836,
Peru,2021-09-19,18,24.0,22.0518,5.6762,0.0002
Peru,2021-09-19,25,49.0,65.1801,30.694,0.001
Peru,2021-09-19,50,59.0,81.0088,71.793,0.002
Peru,2021-09-19,60,69.0,84.1946,78.5869,0.002
Peru,2021-09-19,70,79.0,84.281,79.7548,0.0017
Peru,2021-09-19,80,,84.9219,80.6063,0.0031
Peru,2021-09-26,0,17.0,0.9159,0.0992,
Peru,2021-09-26,18,24.0,29.5597,5.9812,0.0002
Peru,2021-09-26,25,49.0,69.4543,35.9307,0.0012
Peru,2021-09-26,50,59.0,81.8815,73.5976,0.0023
Peru,2021-09-26,60,69.0,84.7367,79.4977,0.0023
Peru,2021-09-26,70,79.0,84.646,80.398,0.0019
Peru,2021-09-26,80,,85.211,81.0719,0.0033
Peru,2021-10-03,0,17.0,0.9687,0.2443,
Peru,2021-10-03,18,24.0,39.9481,7.9866,0.0004
Peru,2021-10-03,25,49.0,72.5037,46.3702,0.0018
Peru,2021-10-03,50,59.0,82.6521,75.7328,0.0029
Peru,2021-10-03,60,69.0,85.242,80.7031,0.0034
Peru,2021-10-03,70,79.0,84.9826,81.1714,0.0024
Peru,2021-10-03,80,,85.4884,81.6391,0.0036
Peru,2021-10-10,0,17.0,1.0135,0.6291,
Peru,2021-10-10,18,24.0,46.684,16.6961,0.0005
Peru,2021-10-10,25,49.0,75.0804,55.8637,0.0023
Peru,2021-10-10,50,59.0,83.3023,77.2685,0.0033
Peru,2021-10-10,60,69.0,85.6665,81.5873,0.0044
Peru,2021-10-10,70,79.0,85.2402,81.7214,0.0034
Peru,2021-10-10,80,,85.6917,82.0552,0.0041
Peru,2021-10-17,0,17.0,1.1409,0.7542,0.0
Peru,2021-10-17,18,24.0,57.2552,23.0836,0.0147
Peru,2021-10-17,25,49.0,77.6467,60.9294,0.2639
Peru,2021-10-17,50,59.0,84.0316,78.2759,0.2622
Peru,2021-10-17,60,69.0,86.107,82.1835,0.2105
Peru,2021-10-17,70,79.0,85.5299,82.1079,0.0106
Peru,2021-10-17,80,,85.9072,82.3606,0.0073
Peru,2021-10-24,0,17.0,2.181,0.8164,
Peru,2021-10-24,18,24.0,64.3069,31.2136,0.0656
Peru,2021-10-24,25,49.0,79.3692,64.1309,0.9926
Peru,2021-10-24,50,59.0,84.5792,79.0944,0.9781
Peru,2021-10-24,60,69.0,86.4515,82.6916,0.8295
Peru,2021-10-24,70,79.0,85.7443,82.4472,0.0304
Peru,2021-10-24,80,,86.0838,82.6319,0.0093
Peru,2021-10-31,0,17.0,4.1163,0.8615,0.0
Peru,2021-10-31,18,24.0,68.1569,37.2031,0.0914
Peru,2021-10-31,25,49.0,80.5447,66.6973,1.2224
Peru,2021-10-31,50,59.0,84.9845,79.7664,1.2334
Peru,2021-10-31,60,69.0,86.7192,83.1216,1.2178
Peru,2021-10-31,70,79.0,85.9109,82.727,0.3955
Peru,2021-10-31,80,,86.2034,82.8493,1.6233
Peru,2021-11-07,0,17.0,13.6729,0.9366,0.0
Peru,2021-11-07,18,24.0,71.1197,40.9278,0.1123
Peru,2021-11-07,25,49.0,81.5012,68.6038,1.3756
Peru,2021-11-07,50,59.0,85.3281,80.2925,1.4013
Peru,2021-11-07,60,69.0,86.9361,83.4474,1.6228
Peru,2021-11-07,70,79.0,86.0583,82.9333,0.9263
Peru,2021-11-07,80,,86.3075,83.0133,4.0264
Peru,2021-11-14,0,17.0,19.4944,1.8164,
Peru,2021-11-14,18,24.0,74.311,47.7849,0.1577
Peru,2021-11-14,25,49.0,82.7138,70.6256,1.7268
Peru,2021-11-14,50,59.0,85.8054,80.9173,1.6944
Peru,2021-11-14,60,69.0,87.2186,83.8226,1.9001
Peru,2021-11-14,70,79.0,86.2397,83.1726,1.2193
Peru,2021-11-14,80,,86.4557,83.2064,7.195
Peru,2021-11-21,0,17.0,22.294,2.8151,0.0001
Peru,2021-11-21,18,24.0,78.536,54.2697,0.2008
Peru,2021-11-21,25,49.0,84.8525,72.6264,1.8731
Peru,2021-11-21,50,59.0,86.7195,81.565,1.8199
Peru,2021-11-21,60,69.0,87.7783,84.1922,2.0827
Peru,2021-11-21,70,79.0,86.5881,83.4132,1.7096
Peru,2021-11-21,80,,86.7261,83.3959,13.2033
Peru,2021-11-28,0,17.0,24.214,9.3031,0.0004
Peru,2021-11-28,18,24.0,81.9828,58.4675,0.3559
Peru,2021-11-28,25,49.0,86.6747,74.1554,2.0896
Peru,2021-11-28,50,59.0,87.5208,82.1052,2.0936
Peru,2021-11-28,60,69.0,88.2989,84.5291,4.5082
Peru,2021-11-28,70,79.0,86.9333,83.6716,9.7963
Peru,2021-11-28,80,,87.0215,83.5923,21.1384
Peru,2021-12-05,0,17.0,25.5265,14.6833,0.0013
Peru,2021-12-05,18,24.0,84.663,61.8899,0.9003
Peru,2021-12-05,25,49.0,88.1583,75.5492,2.7111
Peru,2021-12-05,50,59.0,88.1833,82.5954,3.0438
Peru,2021-12-05,60,69.0,88.7517,84.8674,16.5564
Peru,2021-12-05,70,79.0,87.2536,83.9522,27.3422
Peru,2021-12-05,80,,87.294,83.7871,32.4414
Peru,2021-12-12,0,17.0,26.6595,17.7721,0.0022
Peru,2021-12-12,18,24.0,88.0291,66.3161,1.2216
Peru,2021-12-12,25,49.0,90.2295,77.8936,3.155
Peru,2021-12-12,50,59.0,89.111,83.4132,3.7925
Peru,2021-12-12,60,69.0,89.4072,85.4095,26.2817
Peru,2021-12-12,70,79.0,87.7173,84.338,38.0204
Peru,2021-12-12,80,,87.6893,84.0733,39.8413
Peru,2021-12-19,0,17.0,27.8055,20.3137,0.0032
Peru,2021-12-19,18,24.0,91.9746,71.7383,1.469
Peru,2021-12-19,25,49.0,92.7022,80.7809,3.4829
Peru,2021-12-19,50,59.0,90.4141,84.532,5.0779
Peru,2021-12-19,60,69.0,90.5141,86.1844,33.6141
Peru,2021-12-19,70,79.0,88.7766,84.9579,45.2312
Peru,2021-12-19,80,,88.7956,84.6166,45.7383
Peru,2021-12-26,0,17.0,28.2867,21.497,0.0114
Peru,2021-12-26,18,24.0,93.3657,74.1971,1.8153
Peru,2021-12-26,25,49.0,93.5621,82.1376,6.055
Peru,2021-12-26,50,59.0,90.9058,85.156,13.7562
Peru,2021-12-26,60,69.0,90.9418,86.6285,39.5518
Peru,2021-12-26,70,79.0,89.1779,85.3145,49.8317
Peru,2021-12-26,80,,89.254,84.9352,49.6056
Peru,2022-01-02,0,17.0,28.6238,22.3743,0.0222
Peru,2022-01-02,18,24.0,94.3118,76.2482,2.2151
Peru,2022-01-02,25,49.0,94.1479,83.3957,9.5417
Peru,2022-01-02,50,59.0,91.2341,85.7554,22.049
Peru,2022-01-02,60,69.0,91.2125,87.0739,44.3321
Peru,2022-01-02,70,79.0,89.3906,85.6334,53.1816
Peru,2022-01-02,80,,89.5183,85.2199,52.5175
Peru,2022-01-09,0,17.0,29.0338,23.3281,0.0381
Peru,2022-01-09,18,24.0,95.2888,78.8796,3.5861
Peru,2022-01-09,25,49.0,94.7842,85.1836,15.3611
Peru,2022-01-09,50,59.0,91.5595,86.6986,31.701
Peru,2022-01-09,60,69.0,91.4619,87.845,49.6954
Peru,2022-01-09,70,79.0,89.5777,86.3083,56.6081
Peru,2022-01-09,80,,89.7484,85.8857,55.2474
Peru,2022-01-16,0,17.0,29.4147,24.0862,0.0527
Peru,2022-01-16,18,24.0,96.1509,81.0986,5.609
Peru,2022-01-16,25,49.0,95.3376,86.5467,20.7693
Peru,2022-01-16,50,59.0,91.8517,87.4246,39.4105
Peru,2022-01-16,60,69.0,91.6875,88.4288,54.2807
Peru,2022-01-16,70,79.0,89.746,86.7718,59.647
Peru,2022-01-16,80,,89.95,86.3616,57.7653
Peru,2022-01-23,0,17.0,29.6907,24.574,0.0627
Peru,2022-01-23,18,24.0,96.7368,82.4815,7.6114
Peru,2022-01-23,25,49.0,95.7038,87.3772,24.1604
Peru,2022-01-23,50,59.0,92.0477,87.8609,43.9151
Peru,2022-01-23,60,69.0,91.8338,88.7479,57.0715
Peru,2022-01-23,70,79.0,89.8581,87.04,61.6081
Peru,2022-01-23,80,,90.0795,86.6495,59.3753
Peru,2022-01-30,0,17.0,29.9823,24.9995,0.0727
Peru,2022-01-30,18,24.0,97.1285,83.5125,9.3497
Peru,2022-01-30,25,49.0,95.9561,88.0049,26.7403
Peru,2022-01-30,50,59.0,92.1779,88.176,47.1845
Peru,2022-01-30,60,69.0,91.9291,88.9743,59.1093
