location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Slovakia,2021-01-08,10,14,0.0,0.0,0.0
Slovakia,2021-01-08,15,17,0.0,0.0,0.0
Slovakia,2021-01-08,18,24,0.26,0.0,0.0
Slovakia,2021-01-08,25,49,0.73,0.0,0.0
Slovakia,2021-01-08,50,59,1.06,0.0,0.0
Slovakia,2021-01-08,60,69,0.72,0.0,0.0
Slovakia,2021-01-08,70,79,0.32,0.0,0.0
Slovakia,2021-01-08,80,,0.13,0.0,0.0
Slovakia,2021-01-15,15,17,0.0,0.0,0.0
Slovakia,2021-01-15,18,24,0.62,0.0,0.0
Slovakia,2021-01-15,25,49,1.54,0.0,0.0
Slovakia,2021-01-15,50,59,2.21,0.0,0.0
Slovakia,2021-01-15,60,69,1.52,0.0,0.0
Slovakia,2021-01-15,70,79,0.65,0.0,0.0
Slovakia,2021-01-15,80,,0.25,0.0,0.0
Slovakia,2021-01-22,18,24,1.14,0.01,0.0
Slovakia,2021-01-22,25,49,2.35,0.08,0.0
Slovakia,2021-01-22,50,59,3.37,0.09,0.0
Slovakia,2021-01-22,60,69,2.27,0.07,0.0
Slovakia,2021-01-22,70,79,1.1,0.02,0.0
Slovakia,2021-01-22,80,,0.88,0.01,0.0
Slovakia,2021-01-29,15,17,0.0,0.0,0.0
Slovakia,2021-01-29,18,24,1.56,0.06,0.0
Slovakia,2021-01-29,25,49,2.77,0.24,0.0
Slovakia,2021-01-29,50,59,3.93,0.35,0.0
Slovakia,2021-01-29,60,69,2.81,0.24,0.0
Slovakia,2021-01-29,70,79,2.87,0.1,0.0
Slovakia,2021-01-29,80,,9.15,0.04,0.0
Slovakia,2021-02-05,15,17,0.01,0.0,0.0
Slovakia,2021-02-05,18,24,1.77,0.26,0.0
Slovakia,2021-02-05,25,49,2.97,0.8,0.0
Slovakia,2021-02-05,50,59,4.21,1.14,0.0
Slovakia,2021-02-05,60,69,3.2,0.79,0.0
Slovakia,2021-02-05,70,79,7.46,0.34,0.0
Slovakia,2021-02-05,80,,18.97,0.14,0.0
Slovakia,2021-02-12,15,17,0.02,0.0,0.0
Slovakia,2021-02-12,18,24,2.12,0.62,0.0
Slovakia,2021-02-12,25,49,3.68,1.55,0.0
Slovakia,2021-02-12,50,59,5.07,2.23,0.0
Slovakia,2021-02-12,60,69,3.71,1.53,0.0
Slovakia,2021-02-12,70,79,10.71,0.68,0.0
Slovakia,2021-02-12,80,,25.65,0.32,0.0
Slovakia,2021-02-19,15,17,0.02,0.0,0.0
Slovakia,2021-02-19,18,24,2.33,1.12,0.0
Slovakia,2021-02-19,25,49,4.4,2.3,0.0
Slovakia,2021-02-19,50,59,6.13,3.28,0.0
Slovakia,2021-02-19,60,69,4.59,2.24,0.0
Slovakia,2021-02-19,70,79,12.13,1.12,0.0
Slovakia,2021-02-19,80,,28.12,0.92,0.0
Slovakia,2021-02-26,15,17,0.02,0.0,0.0
Slovakia,2021-02-26,18,24,2.63,1.53,0.0
Slovakia,2021-02-26,25,49,5.36,2.74,0.0
Slovakia,2021-02-26,50,59,7.1,3.86,0.0
Slovakia,2021-02-26,60,69,4.96,2.77,0.0
Slovakia,2021-02-26,70,79,13.2,2.67,0.0
Slovakia,2021-02-26,80,,30.18,8.49,0.0
Slovakia,2021-03-05,10,14,0.0,0.0,0.0
Slovakia,2021-03-05,15,17,0.03,0.01,0.0
Slovakia,2021-03-05,18,24,3.09,1.75,0.0
Slovakia,2021-03-05,25,49,6.69,2.95,0.0
Slovakia,2021-03-05,50,59,8.79,4.17,0.0
Slovakia,2021-03-05,60,69,5.91,3.17,0.0
Slovakia,2021-03-05,70,79,13.68,7.3,0.0
Slovakia,2021-03-05,80,,30.97,18.4,0.0
Slovakia,2021-03-12,15,17,0.03,0.02,0.0
Slovakia,2021-03-12,18,24,3.23,2.04,0.0
Slovakia,2021-03-12,25,49,7.01,3.21,0.0
Slovakia,2021-03-12,50,59,9.32,4.55,0.0
Slovakia,2021-03-12,60,69,11.14,3.68,0.0
Slovakia,2021-03-12,70,79,18.48,10.53,0.0
Slovakia,2021-03-12,80,,32.4,25.02,0.0
Slovakia,2021-03-19,10,14,0.0,0.0,0.0
Slovakia,2021-03-19,15,17,0.04,0.02,0.0
Slovakia,2021-03-19,18,24,3.53,2.2,0.0
Slovakia,2021-03-19,25,49,7.51,3.41,0.0
Slovakia,2021-03-19,50,59,10.42,5.1,0.0
Slovakia,2021-03-19,60,69,16.04,4.53,0.0
Slovakia,2021-03-19,70,79,30.52,11.95,0.0
Slovakia,2021-03-19,80,,36.29,27.5,0.0
Slovakia,2021-03-26,10,14,0.0,0.0,0.0
Slovakia,2021-03-26,15,17,0.04,0.02,0.0
Slovakia,2021-03-26,18,24,3.88,2.37,0.0
Slovakia,2021-03-26,25,49,8.1,3.61,0.0
Slovakia,2021-03-26,50,59,12.45,5.42,0.0
Slovakia,2021-03-26,60,69,19.59,4.92,0.0
Slovakia,2021-03-26,70,79,42.42,13.04,0.0
Slovakia,2021-03-26,80,,44.19,29.59,0.0
Slovakia,2021-04-02,10,14,0.0,0.0,0.0
Slovakia,2021-04-02,15,17,0.05,0.03,0.0
Slovakia,2021-04-02,18,24,4.14,2.42,0.0
Slovakia,2021-04-02,25,49,8.56,3.71,0.0
Slovakia,2021-04-02,50,59,14.94,5.58,0.0
Slovakia,2021-04-02,60,69,24.54,5.12,0.0
Slovakia,2021-04-02,70,79,50.46,13.42,0.0
Slovakia,2021-04-02,80,,46.58,30.24,0.0
Slovakia,2021-04-09,10,14,0.0,0.0,0.0
Slovakia,2021-04-09,15,17,0.05,0.03,0.0
Slovakia,2021-04-09,18,24,4.49,2.48,0.0
Slovakia,2021-04-09,25,49,9.32,3.84,0.0
Slovakia,2021-04-09,50,59,20.36,5.81,0.0
Slovakia,2021-04-09,60,69,29.53,5.56,0.0
Slovakia,2021-04-09,70,79,54.85,17.4,0.0
Slovakia,2021-04-09,80,,48.16,31.65,0.0
Slovakia,2021-04-16,10,14,0.0,0.0,0.0
Slovakia,2021-04-16,15,17,0.05,0.03,0.0
Slovakia,2021-04-16,18,24,4.76,2.56,0.0
Slovakia,2021-04-16,25,49,11.02,3.99,0.0
Slovakia,2021-04-16,50,59,23.72,6.1,0.0
Slovakia,2021-04-16,60,69,32.98,6.09,0.0
Slovakia,2021-04-16,70,79,57.51,28.16,0.0
Slovakia,2021-04-16,80,,49.61,35.39,0.0
Slovakia,2021-04-23,15,17,0.05,0.04,0.0
Slovakia,2021-04-23,18,24,5.05,2.7,0.0
Slovakia,2021-04-23,25,49,12.25,4.58,0.0
Slovakia,2021-04-23,50,59,25.7,7.03,0.0
Slovakia,2021-04-23,60,69,35.68,7.16,0.0
Slovakia,2021-04-23,70,79,59.43,38.89,0.0
Slovakia,2021-04-23,80,,50.76,43.11,0.0
Slovakia,2021-04-30,10,14,0.0,0.0,0.0
Slovakia,2021-04-30,15,17,0.23,0.04,0.0
Slovakia,2021-04-30,18,24,5.73,2.8,0.0
Slovakia,2021-04-30,25,49,13.85,5.04,0.0
Slovakia,2021-04-30,50,59,27.19,7.72,0.0
Slovakia,2021-04-30,60,69,39.98,11.19,0.0
Slovakia,2021-04-30,70,79,61.91,47.39,0.0
Slovakia,2021-04-30,80,,52.2,45.53,0.0
Slovakia,2021-05-07,10,14,0.0,0.0,0.0
Slovakia,2021-05-07,15,17,0.36,0.04,0.0
Slovakia,2021-05-07,18,24,6.93,2.96,0.0
Slovakia,2021-05-07,25,49,15.94,5.91,0.0
Slovakia,2021-05-07,50,59,30.62,8.77,0.0
Slovakia,2021-05-07,60,69,45.07,15.75,0.0
Slovakia,2021-05-07,70,79,64.35,52.16,0.0
Slovakia,2021-05-07,80,,53.84,47.18,0.0
Slovakia,2021-05-14,10,14,0.0,0.0,0.0
Slovakia,2021-05-14,15,17,0.47,0.04,0.0
Slovakia,2021-05-14,18,24,8.11,3.37,0.0
Slovakia,2021-05-14,25,49,18.86,7.25,0.0
Slovakia,2021-05-14,50,59,36.48,10.58,0.0
Slovakia,2021-05-14,60,69,50.49,19.6,0.0
Slovakia,2021-05-14,70,79,66.18,54.8,0.0
Slovakia,2021-05-14,80,,55.16,48.64,0.0
Slovakia,2021-05-21,10,14,0.0,0.0,0.0
Slovakia,2021-05-21,15,17,1.48,0.04,0.0
Slovakia,2021-05-21,18,24,11.0,3.64,0.0
Slovakia,2021-05-21,25,49,23.75,7.93,0.0
Slovakia,2021-05-21,50,59,39.83,11.54,0.0
Slovakia,2021-05-21,60,69,53.18,26.72,0.0
Slovakia,2021-05-21,70,79,67.94,57.7,0.0
Slovakia,2021-05-21,80,,56.39,49.82,0.0
Slovakia,2021-05-28,10,14,0.0,0.0,0.0
Slovakia,2021-05-28,15,17,2.6,0.19,0.0
Slovakia,2021-05-28,18,24,14.12,4.27,0.0
Slovakia,2021-05-28,25,49,28.48,8.86,0.0
Slovakia,2021-05-28,50,59,42.7,12.91,0.0
Slovakia,2021-05-28,60,69,54.95,34.55,0.0
Slovakia,2021-05-28,70,79,69.17,60.79,0.0
Slovakia,2021-05-28,80,,57.27,51.27,0.0
Slovakia,2021-06-04,10,14,0.01,0.0,0.0
Slovakia,2021-06-04,15,17,4.03,0.32,0.0
Slovakia,2021-06-04,18,24,18.29,5.47,0.0
Slovakia,2021-06-04,25,49,31.52,10.57,0.0
Slovakia,2021-06-04,50,59,44.11,17.33,0.0
Slovakia,2021-06-04,60,69,56.1,42.32,0.0
Slovakia,2021-06-04,70,79,70.1,63.53,0.0
Slovakia,2021-06-04,80,,58.05,52.84,0.0
Slovakia,2021-06-11,10,14,0.07,0.0,0.0
Slovakia,2021-06-11,15,17,5.23,0.43,0.0
Slovakia,2021-06-11,18,24,21.05,6.84,0.0
Slovakia,2021-06-11,25,49,33.27,13.53,0.0
Slovakia,2021-06-11,50,59,45.32,25.05,0.0
Slovakia,2021-06-11,60,69,56.98,48.67,0.0
Slovakia,2021-06-11,70,79,70.85,65.42,0.0
Slovakia,2021-06-11,80,,58.72,54.1,0.0
Slovakia,2021-06-18,10,14,0.12,0.0,0.0
Slovakia,2021-06-18,15,17,6.42,1.18,0.0
Slovakia,2021-06-18,18,24,24.03,9.24,0.0
Slovakia,2021-06-18,25,49,34.6,18.12,0.0
Slovakia,2021-06-18,50,59,46.34,32.86,0.0
Slovakia,2021-06-18,60,69,57.88,51.85,0.0
Slovakia,2021-06-18,70,79,71.56,67.13,0.0
Slovakia,2021-06-18,80,,59.26,55.31,0.0
Slovakia,2021-06-25,10,14,0.7,0.0,0.0
Slovakia,2021-06-25,15,17,8.93,2.14,0.0
Slovakia,2021-06-25,18,24,26.14,12.31,0.0
Slovakia,2021-06-25,25,49,35.75,23.85,0.0
Slovakia,2021-06-25,50,59,47.16,38.52,0.0
Slovakia,2021-06-25,60,69,58.61,53.79,0.0
Slovakia,2021-06-25,70,79,72.18,68.31,0.0
Slovakia,2021-06-25,80,,59.78,56.12,0.0
Slovakia,2021-07-02,10,14,1.86,0.01,0.0
Slovakia,2021-07-02,15,17,12.82,3.35,0.0
Slovakia,2021-07-02,18,24,29.37,16.12,0.0
Slovakia,2021-07-02,25,49,37.36,28.38,0.0
Slovakia,2021-07-02,50,59,48.43,42.33,0.0
Slovakia,2021-07-02,60,69,59.44,55.42,0.0
Slovakia,2021-07-02,70,79,72.82,69.44,0.0
Slovakia,2021-07-02,80,,60.28,57.02,0.0
Slovakia,2021-07-09,10,14,2.93,0.05,0.0
Slovakia,2021-07-09,15,17,16.46,4.77,0.0
Slovakia,2021-07-09,18,24,32.39,19.74,0.0
Slovakia,2021-07-09,25,49,39.06,31.77,0.0
Slovakia,2021-07-09,50,59,49.77,44.64,0.0
Slovakia,2021-07-09,60,69,60.14,56.64,0.0
Slovakia,2021-07-09,70,79,73.3,70.41,0.0
Slovakia,2021-07-09,80,,60.63,57.75,0.0
Slovakia,2021-07-16,10,14,3.76,0.1,0.0
Slovakia,2021-07-16,15,17,18.97,5.94,0.0
Slovakia,2021-07-16,18,24,34.7,23.4,0.0
Slovakia,2021-07-16,25,49,40.5,34.28,0.0
Slovakia,2021-07-16,50,59,50.88,46.31,0.0
Slovakia,2021-07-16,60,69,60.8,57.69,0.0
Slovakia,2021-07-16,70,79,73.77,71.16,0.0
Slovakia,2021-07-16,80,,61.04,58.3,0.0
Slovakia,2021-07-23,10,14,4.37,0.73,0.0
Slovakia,2021-07-23,15,17,20.67,8.73,0.0
Slovakia,2021-07-23,18,24,36.11,26.04,0.0
Slovakia,2021-07-23,25,49,41.33,35.91,0.0
Slovakia,2021-07-23,50,59,51.61,47.37,0.0
Slovakia,2021-07-23,60,69,61.33,58.46,0.0
Slovakia,2021-07-23,70,79,74.21,71.8,0.0
Slovakia,2021-07-23,80,,61.41,58.85,0.0
Slovakia,2021-07-30,10,14,4.89,1.58,0.0
Slovakia,2021-07-30,15,17,22.13,11.63,0.0
Slovakia,2021-07-30,18,24,37.23,28.96,0.0
Slovakia,2021-07-30,25,49,42.04,37.49,0.0
Slovakia,2021-07-30,50,59,52.3,48.62,0.0
Slovakia,2021-07-30,60,69,61.79,59.28,0.0
Slovakia,2021-07-30,70,79,74.57,72.42,0.0
Slovakia,2021-07-30,80,,61.74,59.38,0.0
Slovakia,2021-08-06,10,14,5.45,2.57,0.0
Slovakia,2021-08-06,15,17,23.58,15.02,0.0
Slovakia,2021-08-06,18,24,38.29,31.97,0.0
Slovakia,2021-08-06,25,49,42.78,39.01,0.0
Slovakia,2021-08-06,50,59,53.07,49.84,0.0
Slovakia,2021-08-06,60,69,62.35,59.97,0.0
Slovakia,2021-08-06,70,79,75.04,72.91,0.0
Slovakia,2021-08-06,80,,62.13,59.75,0.0
Slovakia,2021-08-13,10,14,5.92,3.39,0.0
Slovakia,2021-08-13,15,17,24.7,17.63,0.0
Slovakia,2021-08-13,18,24,39.18,34.3,0.0
Slovakia,2021-08-13,25,49,43.42,40.35,0.0
Slovakia,2021-08-13,50,59,53.69,50.93,0.0
Slovakia,2021-08-13,60,69,62.77,60.66,0.0
Slovakia,2021-08-13,70,79,75.42,73.43,0.0
Slovakia,2021-08-13,80,,62.46,60.22,0.0
Slovakia,2021-08-20,10,14,6.43,3.97,0.0
Slovakia,2021-08-20,15,17,25.86,19.51,0.0
Slovakia,2021-08-20,18,24,40.21,35.89,0.0
Slovakia,2021-08-20,25,49,44.11,41.32,0.0
Slovakia,2021-08-20,50,59,54.32,51.75,0.0
Slovakia,2021-08-20,60,69,63.19,61.2,0.0
Slovakia,2021-08-20,70,79,75.8,73.86,0.0
Slovakia,2021-08-20,80,,62.77,60.58,0.0
Slovakia,2021-08-27,10,14,6.9,4.65,0.0
Slovakia,2021-08-27,15,17,26.84,21.16,0.0
Slovakia,2021-08-27,18,24,41.0,37.07,0.0
Slovakia,2021-08-27,25,49,44.61,42.08,0.0
Slovakia,2021-08-27,50,59,54.79,52.47,0.0
Slovakia,2021-08-27,60,69,63.52,61.71,0.0
Slovakia,2021-08-27,70,79,76.08,74.24,0.0
Slovakia,2021-08-27,80,,63.02,60.91,0.0
Slovakia,2021-09-03,10,14,7.29,5.13,0.0
Slovakia,2021-09-03,15,17,27.59,22.4,0.0
Slovakia,2021-09-03,18,24,41.7,38.08,0.0
Slovakia,2021-09-03,25,49,44.98,42.7,0.0
Slovakia,2021-09-03,50,59,55.09,53.05,0.0
Slovakia,2021-09-03,60,69,63.72,62.14,0.0
Slovakia,2021-09-03,70,79,76.26,74.61,0.0
Slovakia,2021-09-03,80,,63.17,61.22,0.0
Slovakia,2021-09-10,10,14,7.53,5.72,0.0
Slovakia,2021-09-10,15,17,28.1,23.74,0.0
Slovakia,2021-09-10,18,24,42.27,38.96,0.0
Slovakia,2021-09-10,25,49,45.3,43.27,0.0
Slovakia,2021-09-10,50,59,55.35,53.58,0.0
Slovakia,2021-09-10,60,69,63.91,62.51,0.0
Slovakia,2021-09-10,70,79,76.45,74.97,0.0
Slovakia,2021-09-10,80,,63.34,61.51,0.0
Slovakia,2021-09-17,10,14,7.75,6.14,0.0
Slovakia,2021-09-17,15,17,28.59,24.74,0.0
Slovakia,2021-09-17,18,24,42.88,39.8,0.0
Slovakia,2021-09-17,25,49,45.65,43.79,0.0
Slovakia,2021-09-17,5,9,0.0,0.0,0.0
Slovakia,2021-09-17,50,59,55.63,54.08,0.0
Slovakia,2021-09-17,60,69,64.11,62.85,0.0
Slovakia,2021-09-17,70,79,76.61,75.29,0.0
Slovakia,2021-09-17,80,,63.51,61.78,0.0
Slovakia,2021-09-24,10,14,8.02,6.6,0.0
Slovakia,2021-09-24,15,17,29.17,25.75,0.0
Slovakia,2021-09-24,18,24,43.6,40.6,0.0
Slovakia,2021-09-24,25,49,46.09,44.28,0.0
Slovakia,2021-09-24,5,9,0.0,0.0,0.0
Slovakia,2021-09-24,50,59,55.99,54.51,0.0
Slovakia,2021-09-24,60,69,64.38,63.16,0.0
Slovakia,2021-09-24,70,79,76.86,75.56,0.0
Slovakia,2021-09-24,80,,63.76,62.04,0.0
Slovakia,2021-10-01,10,14,8.23,7.0,0.0
Slovakia,2021-10-01,15,17,29.73,26.56,0.0
Slovakia,2021-10-01,18,24,44.22,41.29,0.0
Slovakia,2021-10-01,25,49,46.46,44.69,0.0
Slovakia,2021-10-01,50,59,56.31,54.85,0.0
Slovakia,2021-10-01,60,69,64.63,63.39,0.0
Slovakia,2021-10-01,70,79,77.07,75.75,0.0
Slovakia,2021-10-01,80,,63.98,62.21,0.0
Slovakia,2021-10-08,10,14,8.43,7.28,0.0
Slovakia,2021-10-08,15,17,30.29,27.13,0.0
Slovakia,2021-10-08,18,24,44.7,41.85,0.0
Slovakia,2021-10-08,25,49,46.79,45.04,0.0
Slovakia,2021-10-08,5,9,0.0,0.0,0.0
Slovakia,2021-10-08,50,59,56.57,55.14,0.0
Slovakia,2021-10-08,60,69,64.82,63.6,0.0
Slovakia,2021-10-08,70,79,77.26,75.95,0.0
Slovakia,2021-10-08,80,,64.17,62.37,0.0
Slovakia,2021-10-15,10,14,8.63,7.5,0.0
Slovakia,2021-10-15,15,17,30.7,27.61,0.0
Slovakia,2021-10-15,18,24,45.11,42.39,0.0
Slovakia,2021-10-15,25,49,47.05,45.35,0.01
Slovakia,2021-10-15,5,9,0.0,0.0,0.0
Slovakia,2021-10-15,50,59,56.79,55.39,0.02
Slovakia,2021-10-15,60,69,64.97,63.79,0.02
Slovakia,2021-10-15,70,79,77.4,76.11,0.02
Slovakia,2021-10-15,80,,64.31,62.53,0.03
Slovakia,2021-10-22,10,14,8.84,7.75,0.0
Slovakia,2021-10-22,15,17,31.16,28.17,0.0
Slovakia,2021-10-22,18,24,45.49,42.98,0.06
Slovakia,2021-10-22,25,49,47.32,45.71,0.28
Slovakia,2021-10-22,5,9,0.0,0.0,0.0
Slovakia,2021-10-22,50,59,56.98,55.69,0.51
Slovakia,2021-10-22,60,69,65.12,64.02,0.65
Slovakia,2021-10-22,70,79,77.54,76.33,0.98
Slovakia,2021-10-22,80,,64.44,62.72,0.8
Slovakia,2021-10-29,10,14,9.09,7.95,0.0
Slovakia,2021-10-29,15,17,31.61,28.66,0.0
Slovakia,2021-10-29,18,24,45.91,43.51,0.17
Slovakia,2021-10-29,25,49,47.6,46.06,0.6
Slovakia,2021-10-29,5,9,0.01,0.0,0.0
Slovakia,2021-10-29,50,59,57.2,56.0,1.22
Slovakia,2021-10-29,60,69,65.28,64.25,1.82
Slovakia,2021-10-29,70,79,77.68,76.53,4.22
Slovakia,2021-10-29,80,,64.58,62.93,4.29
Slovakia,2021-11-05,10,14,9.35,8.13,0.0
Slovakia,2021-11-05,15,17,32.08,29.13,0.0
Slovakia,2021-11-05,18,24,46.36,43.99,0.29
Slovakia,2021-11-05,25,49,47.97,46.41,0.91
Slovakia,2021-11-05,5,9,0.02,0.0,0.0
Slovakia,2021-11-05,50,59,57.48,56.28,2.04
Slovakia,2021-11-05,60,69,65.45,64.43,3.69
Slovakia,2021-11-05,70,79,77.83,76.7,12.51
Slovakia,2021-11-05,80,,64.72,63.08,11.31
Slovakia,2021-11-12,10,14,9.7,8.32,0.0
Slovakia,2021-11-12,15,17,32.84,29.6,0.01
Slovakia,2021-11-12,18,24,47.28,44.67,0.49
Slovakia,2021-11-12,25,49,48.8,46.94,1.46
Slovakia,2021-11-12,5,9,0.02,0.0,0.0
Slovakia,2021-11-12,50,59,58.19,56.72,3.11
Slovakia,2021-11-12,60,69,65.88,64.68,6.61
Slovakia,2021-11-12,70,79,78.18,76.9,22.54
Slovakia,2021-11-12,80,,65.02,63.27,19.17
Slovakia,2021-11-19,10,14,10.14,8.5,0.0
Slovakia,2021-11-19,15,17,33.92,29.97,0.01
Slovakia,2021-11-19,18,24,48.79,45.51,0.77
Slovakia,2021-11-19,25,49,50.07,47.59,2.35
Slovakia,2021-11-19,5,9,0.03,0.0,0.0
Slovakia,2021-11-19,50,59,59.23,57.22,4.52
Slovakia,2021-11-19,60,69,66.47,64.95,9.69
Slovakia,2021-11-19,70,79,78.62,77.09,29.56
Slovakia,2021-11-19,80,,65.35,63.41,24.53
Slovakia,2021-11-26,10,14,10.79,8.77,0.0
Slovakia,2021-11-26,15,17,35.4,30.46,0.02
Slovakia,2021-11-26,18,24,50.51,46.51,1.19
Slovakia,2021-11-26,25,49,51.39,48.34,3.4
Slovakia,2021-11-26,5,9,0.04,0.01,0.0
Slovakia,2021-11-26,50,59,60.33,57.77,6.24
Slovakia,2021-11-26,60,69,67.2,65.28,14.82
Slovakia,2021-11-26,70,79,79.24,77.34,36.45
Slovakia,2021-11-26,80,,65.88,63.62,29.57
Slovakia,2021-12-03,10,14,11.25,9.0,0.0
Slovakia,2021-12-03,15,17,36.33,30.92,0.03
Slovakia,2021-12-03,18,24,51.33,47.07,1.65
Slovakia,2021-12-03,25,49,52.04,48.75,4.48
Slovakia,2021-12-03,5,9,0.05,0.01,0.0
Slovakia,2021-12-03,50,59,60.93,58.14,8.09
Slovakia,2021-12-03,60,69,67.71,65.52,21.45
Slovakia,2021-12-03,70,79,79.71,77.53,42.45
Slovakia,2021-12-03,80,,66.33,63.79,33.73
Slovakia,2021-12-10,10,14,11.57,9.29,0.0
Slovakia,2021-12-10,15,17,36.94,31.57,0.06
Slovakia,2021-12-10,18,24,51.87,47.69,2.15
Slovakia,2021-12-10,25,49,52.47,49.27,5.7
Slovakia,2021-12-10,5,9,0.07,0.02,0.0
Slovakia,2021-12-10,50,59,61.32,58.6,10.92
Slovakia,2021-12-10,60,69,68.32,65.87,30.65
Slovakia,2021-12-10,70,79,80.31,77.84,48.88
Slovakia,2021-12-10,80,,66.91,64.04,38.08
Slovakia,2021-12-17,10,14,11.96,9.66,0.01
Slovakia,2021-12-17,15,17,37.57,32.38,0.13
Slovakia,2021-12-17,18,24,52.36,48.53,3.48
Slovakia,2021-12-17,25,49,52.8,49.98,8.29
Slovakia,2021-12-17,5,9,0.08,0.02,0.0
Slovakia,2021-12-17,50,59,61.6,59.24,15.55
Slovakia,2021-12-17,60,69,69.04,66.33,39.63
Slovakia,2021-12-17,70,79,81.04,78.22,55.62
Slovakia,2021-12-17,80,,67.66,64.36,42.63
Slovakia,2021-12-24,10,14,12.21,10.02,0.01
Slovakia,2021-12-24,15,17,37.97,33.16,0.22
Slovakia,2021-12-24,18,24,52.59,49.09,5.14
Slovakia,2021-12-24,25,49,52.96,50.42,10.21
Slovakia,2021-12-24,5,9,0.1,0.04,0.0
Slovakia,2021-12-24,50,59,61.75,59.67,18.41
Slovakia,2021-12-24,60,69,69.36,66.67,43.1
Slovakia,2021-12-24,70,79,81.34,78.52,58.22
Slovakia,2021-12-24,80,,67.95,64.6,44.53
Slovakia,2021-12-31,10,14,12.41,10.4,0.02
Slovakia,2021-12-31,15,17,38.27,33.93,0.3
Slovakia,2021-12-31,18,24,52.8,49.56,7.25
Slovakia,2021-12-31,25,49,53.1,50.84,12.58
Slovakia,2021-12-31,5,9,0.1,0.04,0.0
Slovakia,2021-12-31,50,59,61.86,60.09,21.88
Slovakia,2021-12-31,60,69,69.64,67.04,46.43
Slovakia,2021-12-31,70,79,81.59,78.86,60.62
