location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Uruguay,2021-02-27,12,17,0.0,0.0
Uruguay,2021-02-27,18,24,0.01,0.0
Uruguay,2021-02-27,25,34,0.02,0.0
Uruguay,2021-02-27,35,44,0.03,0.0
Uruguay,2021-02-27,45,54,0.02,0.0
Uruguay,2021-02-27,55,64,0.01,0.0
Uruguay,2021-02-27,65,74,0.0,0.0
Uruguay,2021-02-27,75,,0.0,0.0
Uruguay,2021-02-28,12,17,0.0,0.0
Uruguay,2021-02-28,18,24,0.01,0.0
Uruguay,2021-02-28,25,34,0.02,0.0
Uruguay,2021-02-28,35,44,0.03,0.0
Uruguay,2021-02-28,45,54,0.02,0.0
Uruguay,2021-02-28,55,64,0.01,0.0
Uruguay,2021-02-28,65,74,0.0,0.0
Uruguay,2021-02-28,75,,0.0,0.0
Uruguay,2021-03-01,12,17,0.0,0.0
Uruguay,2021-03-01,18,24,0.32,0.0
Uruguay,2021-03-01,25,34,0.88,0.0
Uruguay,2021-03-01,35,44,1.29,0.0
Uruguay,2021-03-01,45,54,1.13,0.0
Uruguay,2021-03-01,55,64,0.43,0.0
Uruguay,2021-03-01,65,74,0.0,0.0
Uruguay,2021-03-01,75,,0.0,0.0
Uruguay,2021-03-02,12,17,0.0,0.0
Uruguay,2021-03-02,18,24,0.65,0.0
Uruguay,2021-03-02,25,34,1.63,0.0
Uruguay,2021-03-02,35,44,2.3,0.0
Uruguay,2021-03-02,45,54,1.95,0.0
Uruguay,2021-03-02,55,64,0.74,0.0
Uruguay,2021-03-02,65,74,0.0,0.0
Uruguay,2021-03-02,75,,0.0,0.0
Uruguay,2021-03-03,12,17,0.0,0.0
Uruguay,2021-03-03,18,24,1.13,0.0
Uruguay,2021-03-03,25,34,2.71,0.0
Uruguay,2021-03-03,35,44,3.78,0.0
Uruguay,2021-03-03,45,54,3.15,0.0
Uruguay,2021-03-03,55,64,1.18,0.0
Uruguay,2021-03-03,65,74,0.0,0.0
Uruguay,2021-03-03,75,,0.0,0.0
Uruguay,2021-03-04,12,17,0.0,0.0
Uruguay,2021-03-04,18,24,1.35,0.0
Uruguay,2021-03-04,25,34,3.21,0.0
Uruguay,2021-03-04,35,44,4.37,0.0
Uruguay,2021-03-04,45,54,3.64,0.0
Uruguay,2021-03-04,55,64,1.35,0.0
Uruguay,2021-03-04,65,74,0.0,0.0
Uruguay,2021-03-04,75,,0.0,0.0
Uruguay,2021-03-05,12,17,0.0,0.0
Uruguay,2021-03-05,18,24,1.56,0.0
Uruguay,2021-03-05,25,34,3.75,0.0
Uruguay,2021-03-05,35,44,4.97,0.0
Uruguay,2021-03-05,45,54,4.13,0.0
Uruguay,2021-03-05,55,64,1.53,0.0
Uruguay,2021-03-05,65,74,0.0,0.0
Uruguay,2021-03-05,75,,0.0,0.0
Uruguay,2021-03-06,12,17,0.0,0.0
Uruguay,2021-03-06,18,24,1.56,0.0
Uruguay,2021-03-06,25,34,3.75,0.0
Uruguay,2021-03-06,35,44,4.97,0.0
