location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31523
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,94
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,116861
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,332
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,214526
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4324
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,259635
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,6036
Austria,2021-02-05,Oxford/AstraZeneca,0
Austria,2021-02-05,Pfizer/BioNTech,355976
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,10154
Austria,2021-02-12,Oxford/AstraZeneca,10805
Austria,2021-02-12,Pfizer/BioNTech,458111
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14315
Austria,2021-02-19,Oxford/AstraZeneca,43639
Austria,2021-02-19,Pfizer/BioNTech,524250
Austria,2021-02-26,Johnson&Johnson,1
Austria,2021-02-26,Moderna,22788
Austria,2021-02-26,Oxford/AstraZeneca,101581
Austria,2021-02-26,Pfizer/BioNTech,585848
Austria,2021-03-05,Johnson&Johnson,4
Austria,2021-03-05,Moderna,32165
Austria,2021-03-05,Oxford/AstraZeneca,156702
Austria,2021-03-05,Pfizer/BioNTech,690854
Austria,2021-03-12,Johnson&Johnson,6
Austria,2021-03-12,Moderna,47594
Austria,2021-03-12,Oxford/AstraZeneca,235743
Austria,2021-03-12,Pfizer/BioNTech,854535
Austria,2021-03-19,Johnson&Johnson,33
Austria,2021-03-19,Moderna,79461
Austria,2021-03-19,Oxford/AstraZeneca,309256
Austria,2021-03-19,Pfizer/BioNTech,987867
Austria,2021-03-26,Johnson&Johnson,56
Austria,2021-03-26,Moderna,104980
Austria,2021-03-26,Oxford/AstraZeneca,384958
Austria,2021-03-26,Pfizer/BioNTech,1135499
Austria,2021-04-02,Johnson&Johnson,97
Austria,2021-04-02,Moderna,141546
Austria,2021-04-02,Oxford/AstraZeneca,423704
Austria,2021-04-02,Pfizer/BioNTech,1284776
Austria,2021-04-09,Johnson&Johnson,181
Austria,2021-04-09,Moderna,181304
Austria,2021-04-09,Oxford/AstraZeneca,514339
Austria,2021-04-09,Pfizer/BioNTech,1507990
Austria,2021-04-16,Johnson&Johnson,200
Austria,2021-04-16,Moderna,224103
Austria,2021-04-16,Oxford/AstraZeneca,610573
Austria,2021-04-16,Pfizer/BioNTech,1744028
Austria,2021-04-23,Johnson&Johnson,209
Austria,2021-04-23,Moderna,261764
Austria,2021-04-23,Oxford/AstraZeneca,659763
Austria,2021-04-23,Pfizer/BioNTech,2009837
Austria,2021-04-30,Johnson&Johnson,509
Austria,2021-04-30,Moderna,301047
Austria,2021-04-30,Oxford/AstraZeneca,702375
Austria,2021-04-30,Pfizer/BioNTech,2285733
Austria,2021-05-07,Johnson&Johnson,6709
Austria,2021-05-07,Moderna,350728
Austria,2021-05-07,Oxford/AstraZeneca,765637
Austria,2021-05-07,Pfizer/BioNTech,2619213
Austria,2021-05-14,Johnson&Johnson,13884
Austria,2021-05-14,Moderna,401203
Austria,2021-05-14,Oxford/AstraZeneca,830169
Austria,2021-05-14,Pfizer/BioNTech,2921880
Austria,2021-05-21,Johnson&Johnson,26334
Austria,2021-05-21,Moderna,469726
Austria,2021-05-21,Oxford/AstraZeneca,908125
Austria,2021-05-21,Pfizer/BioNTech,3303585
Austria,2021-05-28,Johnson&Johnson,38785
Austria,2021-05-28,Moderna,523802
Austria,2021-05-28,Oxford/AstraZeneca,991015
Austria,2021-05-28,Pfizer/BioNTech,3642641
Austria,2021-06-04,Johnson&Johnson,59724
Austria,2021-06-04,Moderna,579781
Austria,2021-06-04,Oxford/AstraZeneca,1059535
Austria,2021-06-04,Pfizer/BioNTech,4072368
Austria,2021-06-11,Johnson&Johnson,81740
Austria,2021-06-11,Moderna,643377
Austria,2021-06-11,Oxford/AstraZeneca,1154717
Austria,2021-06-11,Pfizer/BioNTech,4515285
Austria,2021-06-18,Johnson&Johnson,96999
Austria,2021-06-18,Moderna,693575
Austria,2021-06-18,Oxford/AstraZeneca,1206625
Austria,2021-06-18,Pfizer/BioNTech,4974906
Austria,2021-06-25,Johnson&Johnson,105829
Austria,2021-06-25,Moderna,749888
Austria,2021-06-25,Oxford/AstraZeneca,1280122
Austria,2021-06-25,Pfizer/BioNTech,5424883
Austria,2021-07-02,Johnson&Johnson,131468
Austria,2021-07-02,Moderna,810500
Austria,2021-07-02,Oxford/AstraZeneca,1387334
Austria,2021-07-02,Pfizer/BioNTech,5820869
Austria,2021-07-09,Johnson&Johnson,155820
Austria,2021-07-09,Moderna,861521
Austria,2021-07-09,Oxford/AstraZeneca,1451653
Austria,2021-07-09,Pfizer/BioNTech,6154694
Austria,2021-07-16,Johnson&Johnson,175401
Austria,2021-07-16,Moderna,906711
Austria,2021-07-16,Oxford/AstraZeneca,1500083
Austria,2021-07-16,Pfizer/BioNTech,6432929
Austria,2021-07-23,Johnson&Johnson,192264
Austria,2021-07-23,Moderna,953475
Austria,2021-07-23,Oxford/AstraZeneca,1526988
Austria,2021-07-23,Pfizer/BioNTech,6686640
Austria,2021-07-30,Johnson&Johnson,204622
Austria,2021-07-30,Moderna,972629
Austria,2021-07-30,Oxford/AstraZeneca,1551805
Austria,2021-07-30,Pfizer/BioNTech,6901171
Austria,2021-08-06,Johnson&Johnson,220096
Austria,2021-08-06,Moderna,990619
Austria,2021-08-06,Oxford/AstraZeneca,1566089
Austria,2021-08-06,Pfizer/BioNTech,7081394
Austria,2021-08-13,Johnson&Johnson,230636
Austria,2021-08-13,Moderna,1000251
