location,date,vaccine,total_vaccinations
Bulgaria,2021-04-16,Johnson&Johnson,0
Bulgaria,2021-04-23,Johnson&Johnson,0
Bulgaria,2021-04-30,Johnson&Johnson,0
Bulgaria,2021-05-07,Johnson&Johnson,0
Bulgaria,2021-05-14,Johnson&Johnson,398
Bulgaria,2021-05-21,Johnson&Johnson,2629
Bulgaria,2021-05-28,Johnson&Johnson,6276
Bulgaria,2021-06-04,Johnson&Johnson,11142
Bulgaria,2021-06-11,Johnson&Johnson,17995
Bulgaria,2021-06-18,Johnson&Johnson,25960
Bulgaria,2021-06-25,Johnson&Johnson,33133
Bulgaria,2021-07-02,Johnson&Johnson,40028
Bulgaria,2021-07-09,Johnson&Johnson,48458
Bulgaria,2021-07-16,Johnson&Johnson,58464
Bulgaria,2021-07-23,Johnson&Johnson,68142
Bulgaria,2021-07-30,Johnson&Johnson,78474
Bulgaria,2021-08-06,Johnson&Johnson,89994
Bulgaria,2021-08-13,Johnson&Johnson,102584
Bulgaria,2021-08-20,Johnson&Johnson,116879
Bulgaria,2021-08-27,Johnson&Johnson,133038
Bulgaria,2021-09-03,Johnson&Johnson,149801
Bulgaria,2021-09-10,Johnson&Johnson,162922
Bulgaria,2021-09-17,Johnson&Johnson,176011
Bulgaria,2021-09-24,Johnson&Johnson,185898
Bulgaria,2021-10-01,Johnson&Johnson,195813
Bulgaria,2021-10-08,Johnson&Johnson,203836
Bulgaria,2021-10-15,Johnson&Johnson,213953
Bulgaria,2021-10-22,Johnson&Johnson,255378
Bulgaria,2021-10-29,Johnson&Johnson,312759
Bulgaria,2021-11-05,Johnson&Johnson,353234
Bulgaria,2021-11-12,Johnson&Johnson,379027
Bulgaria,2021-11-19,Johnson&Johnson,399308
Bulgaria,2021-11-26,Johnson&Johnson,417244
Bulgaria,2021-12-03,Johnson&Johnson,430658
Bulgaria,2021-12-10,Johnson&Johnson,441050
Bulgaria,2021-12-17,Johnson&Johnson,450804
Bulgaria,2021-12-24,Johnson&Johnson,460037
Bulgaria,2021-12-31,Johnson&Johnson,465771
Bulgaria,2022-01-07,Johnson&Johnson,474859
Bulgaria,2022-01-14,Johnson&Johnson,483911
Bulgaria,2022-01-21,Johnson&Johnson,491097
Bulgaria,2022-01-28,Johnson&Johnson,495847
Bulgaria,2022-02-04,Johnson&Johnson,499873
Bulgaria,2022-02-11,Johnson&Johnson,503015
Bulgaria,2022-02-18,Johnson&Johnson,505783
Bulgaria,2022-02-25,Johnson&Johnson,507940
Bulgaria,2022-03-04,Johnson&Johnson,509115
Bulgaria,2021-01-08,Moderna,0
Bulgaria,2021-01-15,Moderna,491
Bulgaria,2021-01-22,Moderna,843
Bulgaria,2021-01-29,Moderna,1053
Bulgaria,2021-02-05,Moderna,2207
Bulgaria,2021-02-12,Moderna,3333
Bulgaria,2021-02-19,Moderna,6446
Bulgaria,2021-02-26,Moderna,10475
Bulgaria,2021-03-05,Moderna,14820
Bulgaria,2021-03-12,Moderna,16988
Bulgaria,2021-03-19,Moderna,20921
Bulgaria,2021-03-26,Moderna,34004
Bulgaria,2021-04-02,Moderna,44809
Bulgaria,2021-04-09,Moderna,59160
Bulgaria,2021-04-16,Moderna,74318
Bulgaria,2021-04-23,Moderna,93241
Bulgaria,2021-04-30,Moderna,108865
Bulgaria,2021-05-07,Moderna,122688
Bulgaria,2021-05-14,Moderna,145571
Bulgaria,2021-05-21,Moderna,165767
Bulgaria,2021-05-28,Moderna,181502
Bulgaria,2021-06-04,Moderna,190457
Bulgaria,2021-06-11,Moderna,202790
Bulgaria,2021-06-18,Moderna,216449
Bulgaria,2021-06-25,Moderna,225764
Bulgaria,2021-07-02,Moderna,234086
Bulgaria,2021-07-09,Moderna,241903
Bulgaria,2021-07-16,Moderna,248001
Bulgaria,2021-07-23,Moderna,252810
