location,date,vaccine,total_vaccinations
Croatia,2021-02-05,Johnson&Johnson,2
Croatia,2021-02-19,Johnson&Johnson,4
Croatia,2021-03-05,Johnson&Johnson,7
Croatia,2021-03-12,Johnson&Johnson,23
Croatia,2021-03-19,Johnson&Johnson,37
Croatia,2021-03-26,Johnson&Johnson,48
Croatia,2021-04-02,Johnson&Johnson,65
Croatia,2021-04-09,Johnson&Johnson,108
Croatia,2021-04-16,Johnson&Johnson,117
Croatia,2021-04-23,Johnson&Johnson,117
Croatia,2021-04-30,Johnson&Johnson,843
Croatia,2021-05-07,Johnson&Johnson,3651
Croatia,2021-05-14,Johnson&Johnson,6262
Croatia,2021-05-21,Johnson&Johnson,9688
Croatia,2021-05-28,Johnson&Johnson,13004
Croatia,2021-06-04,Johnson&Johnson,15295
Croatia,2021-06-11,Johnson&Johnson,18271
Croatia,2021-06-18,Johnson&Johnson,20785
Croatia,2021-06-25,Johnson&Johnson,22917
Croatia,2021-07-02,Johnson&Johnson,25950
Croatia,2021-07-09,Johnson&Johnson,31599
Croatia,2021-07-16,Johnson&Johnson,39241
Croatia,2021-07-23,Johnson&Johnson,46808
Croatia,2021-07-30,Johnson&Johnson,54120
Croatia,2021-08-06,Johnson&Johnson,57920
Croatia,2021-08-13,Johnson&Johnson,61874
Croatia,2021-08-20,Johnson&Johnson,66291
Croatia,2021-08-27,Johnson&Johnson,71388
Croatia,2021-09-03,Johnson&Johnson,76997
Croatia,2021-09-10,Johnson&Johnson,81321
Croatia,2021-09-17,Johnson&Johnson,87705
Croatia,2021-09-24,Johnson&Johnson,94228
Croatia,2021-10-01,Johnson&Johnson,100307
Croatia,2021-10-08,Johnson&Johnson,106177
Croatia,2021-10-15,Johnson&Johnson,110109
Croatia,2021-10-22,Johnson&Johnson,113654
Croatia,2021-10-29,Johnson&Johnson,119378
Croatia,2021-11-05,Johnson&Johnson,127142
Croatia,2021-11-12,Johnson&Johnson,145701
Croatia,2021-11-19,Johnson&Johnson,163998
Croatia,2021-11-26,Johnson&Johnson,175577
Croatia,2021-12-03,Johnson&Johnson,180883
Croatia,2021-12-10,Johnson&Johnson,184207
Croatia,2021-12-17,Johnson&Johnson,186823
Croatia,2021-12-24,Johnson&Johnson,188304
Croatia,2021-12-31,Johnson&Johnson,189715
Croatia,2022-01-07,Johnson&Johnson,191370
Croatia,2022-01-14,Johnson&Johnson,193482
Croatia,2022-01-21,Johnson&Johnson,195180
Croatia,2022-01-28,Johnson&Johnson,196430
