location,date,vaccine,total_vaccinations
Denmark,2021-01-08,Johnson&Johnson,4
Denmark,2021-01-22,Johnson&Johnson,5
Denmark,2021-02-05,Johnson&Johnson,6
Denmark,2021-03-05,Johnson&Johnson,13
Denmark,2021-03-12,Johnson&Johnson,24
Denmark,2021-03-19,Johnson&Johnson,80
Denmark,2021-03-26,Johnson&Johnson,123
Denmark,2021-04-02,Johnson&Johnson,184
Denmark,2021-04-09,Johnson&Johnson,318
Denmark,2021-04-16,Johnson&Johnson,337
Denmark,2021-04-23,Johnson&Johnson,339
Denmark,2021-04-30,Johnson&Johnson,382
Denmark,2021-05-07,Johnson&Johnson,440
Denmark,2021-05-14,Johnson&Johnson,539
Denmark,2021-05-21,Johnson&Johnson,696
Denmark,2021-05-28,Johnson&Johnson,1658
Denmark,2021-06-04,Johnson&Johnson,11267
Denmark,2021-06-11,Johnson&Johnson,30156
Denmark,2021-06-18,Johnson&Johnson,39825
Denmark,2021-06-25,Johnson&Johnson,43403
Denmark,2021-07-02,Johnson&Johnson,45102
Denmark,2021-07-09,Johnson&Johnson,45681
Denmark,2021-07-16,Johnson&Johnson,45974
Denmark,2021-07-23,Johnson&Johnson,46190
Denmark,2021-07-30,Johnson&Johnson,46310
Denmark,2021-08-06,Johnson&Johnson,46414
Denmark,2021-08-13,Johnson&Johnson,46489
Denmark,2021-08-20,Johnson&Johnson,46546
Denmark,2021-08-27,Johnson&Johnson,46611
Denmark,2021-09-03,Johnson&Johnson,46643
Denmark,2021-09-10,Johnson&Johnson,46650
Denmark,2021-09-17,Johnson&Johnson,46661
Denmark,2021-09-24,Johnson&Johnson,46672
Denmark,2021-10-01,Johnson&Johnson,46692
Denmark,2021-10-08,Johnson&Johnson,46709
Denmark,2021-10-15,Johnson&Johnson,46725
Denmark,2021-10-22,Johnson&Johnson,46747
Denmark,2021-10-29,Johnson&Johnson,46763
Denmark,2021-11-05,Johnson&Johnson,46772
Denmark,2021-11-12,Johnson&Johnson,46795
Denmark,2021-11-19,Johnson&Johnson,46828
Denmark,2021-11-26,Johnson&Johnson,46860
Denmark,2021-12-03,Johnson&Johnson,46913
Denmark,2021-12-10,Johnson&Johnson,46946
Denmark,2021-12-17,Johnson&Johnson,46971
Denmark,2021-12-24,Johnson&Johnson,46989
Denmark,2021-12-31,Johnson&Johnson,47002
Denmark,2022-01-07,Johnson&Johnson,47027
Denmark,2022-01-14,Johnson&Johnson,47040
Denmark,2022-01-21,Johnson&Johnson,47051
Denmark,2022-01-28,Johnson&Johnson,47062
Denmark,2021-01-01,Moderna,1
Denmark,2021-01-08,Moderna,17
Denmark,2021-01-15,Moderna,1072
Denmark,2021-01-22,Moderna,2596
Denmark,2021-01-29,Moderna,2654
Denmark,2021-02-05,Moderna,5812
Denmark,2021-02-12,Moderna,11997
Denmark,2021-02-19,Moderna,13895
Denmark,2021-02-26,Moderna,15502
Denmark,2021-03-05,Moderna,24551
Denmark,2021-03-12,Moderna,34725
Denmark,2021-03-19,Moderna,46852
Denmark,2021-03-26,Moderna,55090
Denmark,2021-04-02,Moderna,74813
Denmark,2021-04-09,Moderna,93069
Denmark,2021-04-16,Moderna,113395
Denmark,2021-04-23,Moderna,125268
Denmark,2021-04-30,Moderna,150558
Denmark,2021-05-07,Moderna,185634
Denmark,2021-05-14,Moderna,221133
Denmark,2021-05-21,Moderna,266204
Denmark,2021-05-28,Moderna,297739
Denmark,2021-06-04,Moderna,329819
Denmark,2021-06-11,Moderna,354105
Denmark,2021-06-18,Moderna,392682
Denmark,2021-06-25,Moderna,430567
Denmark,2021-07-02,Moderna,469920
Denmark,2021-07-09,Moderna,546447
Denmark,2021-07-16,Moderna,657308
Denmark,2021-07-23,Moderna,734873
Denmark,2021-07-30,Moderna,779460
Denmark,2021-08-06,Moderna,841526
Denmark,2021-08-13,Moderna,951881
Denmark,2021-08-20,Moderna,1022364
Denmark,2021-08-27,Moderna,1071356
