location,date,vaccine,total_vaccinations
Estonia,2021-04-16,Johnson&Johnson,0
Estonia,2021-04-23,Johnson&Johnson,0
Estonia,2021-04-30,Johnson&Johnson,35
Estonia,2021-05-07,Johnson&Johnson,345
Estonia,2021-05-14,Johnson&Johnson,1082
Estonia,2021-05-21,Johnson&Johnson,5787
Estonia,2021-05-28,Johnson&Johnson,11241
Estonia,2021-06-04,Johnson&Johnson,15119
Estonia,2021-06-11,Johnson&Johnson,16417
Estonia,2021-06-18,Johnson&Johnson,18996
Estonia,2021-06-25,Johnson&Johnson,20494
Estonia,2021-07-02,Johnson&Johnson,23736
Estonia,2021-07-09,Johnson&Johnson,25931
Estonia,2021-07-16,Johnson&Johnson,29796
Estonia,2021-07-23,Johnson&Johnson,34019
Estonia,2021-07-30,Johnson&Johnson,36918
Estonia,2021-08-06,Johnson&Johnson,40578
Estonia,2021-08-13,Johnson&Johnson,43697
Estonia,2021-08-20,Johnson&Johnson,44725
Estonia,2021-08-27,Johnson&Johnson,45282
Estonia,2021-09-03,Johnson&Johnson,45789
Estonia,2021-09-10,Johnson&Johnson,46039
Estonia,2021-09-17,Johnson&Johnson,47438
Estonia,2021-09-24,Johnson&Johnson,49735
Estonia,2021-10-01,Johnson&Johnson,51688
Estonia,2021-10-08,Johnson&Johnson,53217
Estonia,2021-10-15,Johnson&Johnson,55176
Estonia,2021-10-22,Johnson&Johnson,59286
Estonia,2021-10-29,Johnson&Johnson,63551
Estonia,2021-11-05,Johnson&Johnson,66639
Estonia,2021-11-12,Johnson&Johnson,68449
Estonia,2021-11-19,Johnson&Johnson,69948
Estonia,2021-11-26,Johnson&Johnson,71231
Estonia,2021-12-03,Johnson&Johnson,72374
Estonia,2021-12-10,Johnson&Johnson,73428
Estonia,2021-12-17,Johnson&Johnson,74261
Estonia,2021-12-24,Johnson&Johnson,74804
Estonia,2021-12-31,Johnson&Johnson,75382
Estonia,2022-01-07,Johnson&Johnson,76039
Estonia,2022-01-14,Johnson&Johnson,76491
Estonia,2022-01-21,Johnson&Johnson,76865
Estonia,2022-01-28,Johnson&Johnson,77117
Estonia,2022-02-04,Johnson&Johnson,77288
Estonia,2022-02-11,Johnson&Johnson,77412
Estonia,2022-02-18,Johnson&Johnson,77506
Estonia,2022-02-25,Johnson&Johnson,77611
Estonia,2022-03-04,Johnson&Johnson,77684
Estonia,2022-03-11,Johnson&Johnson,77762
Estonia,2022-03-18,Johnson&Johnson,77782
Estonia,2021-01-15,Moderna,0
Estonia,2021-01-22,Moderna,439
Estonia,2021-01-29,Moderna,812
Estonia,2021-02-05,Moderna,1346
Estonia,2021-02-12,Moderna,2100
Estonia,2021-02-19,Moderna,2583
Estonia,2021-02-26,Moderna,3339
Estonia,2021-03-05,Moderna,5791
Estonia,2021-03-12,Moderna,9370
Estonia,2021-03-19,Moderna,11950
Estonia,2021-03-26,Moderna,14216
Estonia,2021-04-02,Moderna,17567
Estonia,2021-04-09,Moderna,22609
Estonia,2021-04-16,Moderna,26344
Estonia,2021-04-23,Moderna,31089
Estonia,2021-04-30,Moderna,36091
Estonia,2021-05-07,Moderna,40848
Estonia,2021-05-14,Moderna,46526
Estonia,2021-05-21,Moderna,57340
Estonia,2021-05-28,Moderna,65821
Estonia,2021-06-04,Moderna,71310
Estonia,2021-06-11,Moderna,78491
Estonia,2021-06-18,Moderna,86869
Estonia,2021-06-25,Moderna,90716
Estonia,2021-07-02,Moderna,95290
Estonia,2021-07-09,Moderna,98858
Estonia,2021-07-16,Moderna,101155
Estonia,2021-07-23,Moderna,103351
Estonia,2021-07-30,Moderna,106407
Estonia,2021-08-06,Moderna,109504
Estonia,2021-08-13,Moderna,114135
Estonia,2021-08-20,Moderna,118814
Estonia,2021-08-27,Moderna,124526
Estonia,2021-09-03,Moderna,128717
Estonia,2021-09-10,Moderna,133678
Estonia,2021-09-17,Moderna,138516
Estonia,2021-09-24,Moderna,143095
Estonia,2021-10-01,Moderna,146296
Estonia,2021-10-08,Moderna,148780
Estonia,2021-10-15,Moderna,151089
Estonia,2021-10-22,Moderna,153538
Estonia,2021-10-29,Moderna,155931
Estonia,2021-11-05,Moderna,159798
Estonia,2021-11-12,Moderna,164870
Estonia,2021-11-19,Moderna,171270
Estonia,2021-11-26,Moderna,176516
Estonia,2021-12-03,Moderna,181587
Estonia,2021-12-10,Moderna,186289
Estonia,2021-12-17,Moderna,192131
Estonia,2021-12-24,Moderna,196793
Estonia,2021-12-31,Moderna,202483
Estonia,2022-01-07,Moderna,208779
Estonia,2022-01-14,Moderna,215265
Estonia,2022-01-21,Moderna,220022
Estonia,2022-01-28,Moderna,223732
Estonia,2022-02-04,Moderna,226047
Estonia,2022-02-11,Moderna,227539
Estonia,2022-02-18,Moderna,228651
Estonia,2022-02-25,Moderna,229735
Estonia,2022-03-04,Moderna,230665
Estonia,2022-03-11,Moderna,231365
Estonia,2022-03-18,Moderna,231585
Estonia,2022-02-25,Novavax,0
Estonia,2022-03-04,Novavax,1
Estonia,2022-03-11,Novavax,63
Estonia,2022-03-18,Novavax,103
Estonia,2021-02-12,Oxford/AstraZeneca,0
Estonia,2021-02-19,Oxford/AstraZeneca,8038
Estonia,2021-02-26,Oxford/AstraZeneca,20493
Estonia,2021-03-05,Oxford/AstraZeneca,38684
Estonia,2021-03-12,Oxford/AstraZeneca,63353
Estonia,2021-03-19,Oxford/AstraZeneca,79496
Estonia,2021-03-26,Oxford/AstraZeneca,88851
Estonia,2021-04-02,Oxford/AstraZeneca,107580
Estonia,2021-04-09,Oxford/AstraZeneca,117556
Estonia,2021-04-16,Oxford/AstraZeneca,126997
Estonia,2021-04-23,Oxford/AstraZeneca,137241
Estonia,2021-04-30,Oxford/AstraZeneca,153143
Estonia,2021-05-07,Oxford/AstraZeneca,170621
Estonia,2021-05-14,Oxford/AstraZeneca,177398
Estonia,2021-05-21,Oxford/AstraZeneca,180300
Estonia,2021-05-28,Oxford/AstraZeneca,182436
Estonia,2021-06-04,Oxford/AstraZeneca,189883
Estonia,2021-06-11,Oxford/AstraZeneca,207740
Estonia,2021-06-18,Oxford/AstraZeneca,218925
Estonia,2021-06-25,Oxford/AstraZeneca,226050
Estonia,2021-07-02,Oxford/AstraZeneca,233582
Estonia,2021-07-09,Oxford/AstraZeneca,235252
Estonia,2021-07-16,Oxford/AstraZeneca,235760
Estonia,2021-07-23,Oxford/AstraZeneca,236076
Estonia,2021-07-30,Oxford/AstraZeneca,236456
Estonia,2021-08-06,Oxford/AstraZeneca,236746
Estonia,2021-08-13,Oxford/AstraZeneca,236968
Estonia,2021-08-20,Oxford/AstraZeneca,237151
Estonia,2021-08-27,Oxford/AstraZeneca,237328
Estonia,2021-09-03,Oxford/AstraZeneca,237408
Estonia,2021-09-10,Oxford/AstraZeneca,237460
Estonia,2021-09-17,Oxford/AstraZeneca,237503
Estonia,2021-09-24,Oxford/AstraZeneca,237530
Estonia,2021-10-01,Oxford/AstraZeneca,237544
Estonia,2021-10-08,Oxford/AstraZeneca,237561
Estonia,2021-10-15,Oxford/AstraZeneca,237572
Estonia,2021-10-22,Oxford/AstraZeneca,237587
Estonia,2021-10-29,Oxford/AstraZeneca,237599
Estonia,2021-11-05,Oxford/AstraZeneca,237624
Estonia,2021-11-12,Oxford/AstraZeneca,237646
Estonia,2021-11-19,Oxford/AstraZeneca,237662
Estonia,2021-11-26,Oxford/AstraZeneca,237669
Estonia,2021-12-03,Oxford/AstraZeneca,237675
Estonia,2021-12-10,Oxford/AstraZeneca,237681
Estonia,2021-12-17,Oxford/AstraZeneca,237682
Estonia,2021-12-24,Oxford/AstraZeneca,237686
Estonia,2021-12-31,Oxford/AstraZeneca,237690
Estonia,2022-01-07,Oxford/AstraZeneca,237697
Estonia,2022-01-14,Oxford/AstraZeneca,237698
Estonia,2022-01-21,Oxford/AstraZeneca,237701
Estonia,2022-01-28,Oxford/AstraZeneca,237701
Estonia,2022-02-04,Oxford/AstraZeneca,237706
Estonia,2022-02-11,Oxford/AstraZeneca,237708
Estonia,2022-02-18,Oxford/AstraZeneca,237709
Estonia,2022-02-25,Oxford/AstraZeneca,237710
Estonia,2022-03-04,Oxford/AstraZeneca,237710
Estonia,2022-03-11,Oxford/AstraZeneca,237712
Estonia,2022-03-18,Oxford/AstraZeneca,237712
Estonia,2021-01-01,Pfizer/BioNTech,194
Estonia,2021-01-08,Pfizer/BioNTech,11149
Estonia,2021-01-15,Pfizer/BioNTech,18691
Estonia,2021-01-22,Pfizer/BioNTech,26335
Estonia,2021-01-29,Pfizer/BioNTech,38756
Estonia,2021-02-05,Pfizer/BioNTech,53406
Estonia,2021-02-12,Pfizer/BioNTech,67892
Estonia,2021-02-19,Pfizer/BioNTech,80140
Estonia,2021-02-26,Pfizer/BioNTech,91520
Estonia,2021-03-05,Pfizer/BioNTech,105192
Estonia,2021-03-12,Pfizer/BioNTech,122608
Estonia,2021-03-19,Pfizer/BioNTech,138243
Estonia,2021-03-26,Pfizer/BioNTech,158001
Estonia,2021-04-02,Pfizer/BioNTech,177526
Estonia,2021-04-09,Pfizer/BioNTech,202003
Estonia,2021-04-16,Pfizer/BioNTech,229206
