location,date,vaccine,total_vaccinations
France,2021-04-23,Johnson&Johnson,4121
France,2021-04-24,Johnson&Johnson,5690
France,2021-04-25,Johnson&Johnson,5814
France,2021-04-26,Johnson&Johnson,8683
France,2021-04-27,Johnson&Johnson,18203
France,2021-04-28,Johnson&Johnson,28111
France,2021-04-29,Johnson&Johnson,44106
France,2021-04-30,Johnson&Johnson,63340
France,2021-05-01,Johnson&Johnson,65335
France,2021-05-02,Johnson&Johnson,65816
France,2021-05-03,Johnson&Johnson,70871
France,2021-05-04,Johnson&Johnson,79275
France,2021-05-05,Johnson&Johnson,85461
France,2021-05-06,Johnson&Johnson,96851
France,2021-05-07,Johnson&Johnson,115976
France,2021-05-08,Johnson&Johnson,118357
France,2021-05-09,Johnson&Johnson,119043
France,2021-05-10,Johnson&Johnson,126282
France,2021-05-11,Johnson&Johnson,140603
France,2021-05-12,Johnson&Johnson,150772
France,2021-05-13,Johnson&Johnson,152352
France,2021-05-14,Johnson&Johnson,160107
France,2021-05-15,Johnson&Johnson,163826
France,2021-05-16,Johnson&Johnson,164245
France,2021-05-17,Johnson&Johnson,168723
France,2021-05-18,Johnson&Johnson,177475
France,2021-05-19,Johnson&Johnson,183168
France,2021-05-20,Johnson&Johnson,192650
France,2021-05-21,Johnson&Johnson,205460
France,2021-05-22,Johnson&Johnson,210523
France,2021-05-23,Johnson&Johnson,211021
France,2021-05-24,Johnson&Johnson,212077
France,2021-05-25,Johnson&Johnson,219707
France,2021-05-26,Johnson&Johnson,227441
France,2021-05-27,Johnson&Johnson,241802
France,2021-05-28,Johnson&Johnson,268461
France,2021-05-29,Johnson&Johnson,279859
France,2021-05-30,Johnson&Johnson,280835
France,2021-05-31,Johnson&Johnson,293540
France,2021-06-01,Johnson&Johnson,313824
France,2021-06-02,Johnson&Johnson,328370
France,2021-06-03,Johnson&Johnson,347794
France,2021-06-04,Johnson&Johnson,370343
France,2021-06-05,Johnson&Johnson,380084
France,2021-06-06,Johnson&Johnson,381121
France,2021-06-07,Johnson&Johnson,390362
France,2021-06-08,Johnson&Johnson,405000
France,2021-06-09,Johnson&Johnson,417227
France,2021-06-10,Johnson&Johnson,432649
France,2021-06-11,Johnson&Johnson,449676
France,2021-06-12,Johnson&Johnson,457142
France,2021-06-13,Johnson&Johnson,458051
France,2021-06-14,Johnson&Johnson,464721
France,2021-06-15,Johnson&Johnson,475630
France,2021-06-16,Johnson&Johnson,484544
France,2021-06-17,Johnson&Johnson,495471
France,2021-06-18,Johnson&Johnson,507931
France,2021-06-19,Johnson&Johnson,513518
France,2021-06-20,Johnson&Johnson,514337
France,2021-06-21,Johnson&Johnson,519435
France,2021-06-22,Johnson&Johnson,527363
France,2021-06-23,Johnson&Johnson,534493
France,2021-06-24,Johnson&Johnson,543182
France,2021-06-25,Johnson&Johnson,553386
France,2021-06-26,Johnson&Johnson,558244
France,2021-06-27,Johnson&Johnson,559004
France,2021-06-28,Johnson&Johnson,563832
France,2021-06-29,Johnson&Johnson,570951
France,2021-06-30,Johnson&Johnson,577694
France,2021-07-01,Johnson&Johnson,585915
France,2021-07-02,Johnson&Johnson,595378
France,2021-07-03,Johnson&Johnson,600237
France,2021-07-04,Johnson&Johnson,600925
France,2021-07-05,Johnson&Johnson,605707
France,2021-07-06,Johnson&Johnson,613448
France,2021-07-07,Johnson&Johnson,620544
France,2021-07-08,Johnson&Johnson,629798
France,2021-07-09,Johnson&Johnson,640096
France,2021-07-10,Johnson&Johnson,644745
France,2021-07-11,Johnson&Johnson,645329
France,2021-07-12,Johnson&Johnson,651218
France,2021-07-13,Johnson&Johnson,665474
France,2021-07-14,Johnson&Johnson,667767
France,2021-07-15,Johnson&Johnson,686023
France,2021-07-16,Johnson&Johnson,708907
France,2021-07-17,Johnson&Johnson,718656
France,2021-07-18,Johnson&Johnson,720010
France,2021-07-19,Johnson&Johnson,733002
France,2021-07-20,Johnson&Johnson,750346
France,2021-07-21,Johnson&Johnson,765972
France,2021-07-22,Johnson&Johnson,784244
France,2021-07-23,Johnson&Johnson,804699
France,2021-07-24,Johnson&Johnson,814001
France,2021-07-25,Johnson&Johnson,815348
France,2021-07-26,Johnson&Johnson,826385
France,2021-07-27,Johnson&Johnson,841065
France,2021-07-28,Johnson&Johnson,853991
France,2021-07-29,Johnson&Johnson,868103
France,2021-07-30,Johnson&Johnson,883613
France,2021-07-31,Johnson&Johnson,890439
France,2021-08-01,Johnson&Johnson,891341
France,2021-08-02,Johnson&Johnson,899253
France,2021-08-03,Johnson&Johnson,910065
France,2021-08-04,Johnson&Johnson,919804
France,2021-08-05,Johnson&Johnson,929640
France,2021-08-06,Johnson&Johnson,939839
France,2021-08-07,Johnson&Johnson,944944
France,2021-08-08,Johnson&Johnson,946167
France,2021-08-09,Johnson&Johnson,952515
France,2021-08-10,Johnson&Johnson,961272
France,2021-08-11,Johnson&Johnson,969227
France,2021-08-12,Johnson&Johnson,977828
France,2021-08-13,Johnson&Johnson,985384
France,2021-08-14,Johnson&Johnson,989180
France,2021-08-15,Johnson&Johnson,989951
France,2021-08-16,Johnson&Johnson,993959
France,2021-08-17,Johnson&Johnson,999581
France,2021-08-18,Johnson&Johnson,1004766
France,2021-08-19,Johnson&Johnson,1010271
France,2021-08-20,Johnson&Johnson,1015492
France,2021-08-21,Johnson&Johnson,1017817
France,2021-08-22,Johnson&Johnson,1018219
France,2021-08-23,Johnson&Johnson,1021149
France,2021-08-24,Johnson&Johnson,1024893
France,2021-08-25,Johnson&Johnson,1028441
France,2021-08-26,Johnson&Johnson,1032159
France,2021-08-27,Johnson&Johnson,1035789
France,2021-08-28,Johnson&Johnson,1037516
France,2021-08-29,Johnson&Johnson,1037908
France,2021-08-30,Johnson&Johnson,1039928
France,2021-08-31,Johnson&Johnson,1042417
France,2021-09-01,Johnson&Johnson,1044523
France,2021-09-02,Johnson&Johnson,1046851
France,2021-09-03,Johnson&Johnson,1049250
France,2021-09-04,Johnson&Johnson,1050636
France,2021-09-05,Johnson&Johnson,1051066
France,2021-09-06,Johnson&Johnson,1052824
France,2021-09-07,Johnson&Johnson,1054513
France,2021-09-08,Johnson&Johnson,1055818
France,2021-09-09,Johnson&Johnson,1057225
France,2021-09-10,Johnson&Johnson,1058769
France,2021-09-11,Johnson&Johnson,1059512
France,2021-09-12,Johnson&Johnson,1059684
France,2021-09-13,Johnson&Johnson,1061008
France,2021-09-14,Johnson&Johnson,1062505
France,2021-09-15,Johnson&Johnson,1063620
France,2021-09-16,Johnson&Johnson,1064736
