location,date,vaccine,total_vaccinations
Hungary,2021-04-16,Johnson&Johnson,0
Hungary,2021-04-23,Johnson&Johnson,0
Hungary,2021-04-30,Johnson&Johnson,0
Hungary,2021-05-07,Johnson&Johnson,3022
Hungary,2021-05-14,Johnson&Johnson,20224
Hungary,2021-05-21,Johnson&Johnson,48840
Hungary,2021-05-28,Johnson&Johnson,61253
Hungary,2021-06-04,Johnson&Johnson,74656
Hungary,2021-06-11,Johnson&Johnson,84534
Hungary,2021-06-18,Johnson&Johnson,91904
Hungary,2021-06-25,Johnson&Johnson,96881
Hungary,2021-07-02,Johnson&Johnson,99609
Hungary,2021-07-09,Johnson&Johnson,104340
Hungary,2021-07-16,Johnson&Johnson,110168
Hungary,2021-07-23,Johnson&Johnson,116247
Hungary,2021-07-30,Johnson&Johnson,122677
Hungary,2021-08-06,Johnson&Johnson,127199
Hungary,2021-08-13,Johnson&Johnson,133928
Hungary,2021-08-20,Johnson&Johnson,139952
Hungary,2021-08-27,Johnson&Johnson,151170
Hungary,2021-09-03,Johnson&Johnson,157534
Hungary,2021-09-10,Johnson&Johnson,165116
Hungary,2021-09-17,Johnson&Johnson,172268
Hungary,2021-09-24,Johnson&Johnson,178696
Hungary,2021-10-01,Johnson&Johnson,185598
Hungary,2021-10-08,Johnson&Johnson,191711
Hungary,2021-10-15,Johnson&Johnson,197798
Hungary,2021-10-22,Johnson&Johnson,203946
Hungary,2021-10-29,Johnson&Johnson,211505
Hungary,2021-11-05,Johnson&Johnson,220792
Hungary,2021-11-12,Johnson&Johnson,232751
Hungary,2021-11-19,Johnson&Johnson,243458
Hungary,2021-11-26,Johnson&Johnson,278281
Hungary,2021-12-03,Johnson&Johnson,291980
Hungary,2021-12-10,Johnson&Johnson,302453
Hungary,2021-12-17,Johnson&Johnson,302512
Hungary,2021-12-24,Johnson&Johnson,304684
Hungary,2021-12-31,Johnson&Johnson,306384
Hungary,2022-01-07,Johnson&Johnson,311277
Hungary,2022-01-14,Johnson&Johnson,315893
Hungary,2022-01-21,Johnson&Johnson,320857
Hungary,2022-01-28,Johnson&Johnson,325912
Hungary,2022-02-04,Johnson&Johnson,328192
Hungary,2022-02-11,Johnson&Johnson,329920
Hungary,2022-02-18,Johnson&Johnson,330626
Hungary,2021-01-15,Moderna,3045
Hungary,2021-01-22,Moderna,3110
Hungary,2021-01-29,Moderna,3289
Hungary,2021-02-05,Moderna,14413
Hungary,2021-02-12,Moderna,17526
Hungary,2021-02-19,Moderna,21249
Hungary,2021-02-26,Moderna,22501
Hungary,2021-03-05,Moderna,59086
Hungary,2021-03-12,Moderna,74445
Hungary,2021-03-19,Moderna,79115
Hungary,2021-03-26,Moderna,84172
Hungary,2021-04-02,Moderna,149942
Hungary,2021-04-09,Moderna,203839
Hungary,2021-04-16,Moderna,206499
Hungary,2021-04-23,Moderna,269215
Hungary,2021-04-30,Moderna,314650
Hungary,2021-05-07,Moderna,358591
Hungary,2021-05-14,Moderna,400402
Hungary,2021-05-21,Moderna,487077
Hungary,2021-05-28,Moderna,522677
Hungary,2021-06-04,Moderna,543091
Hungary,2021-06-11,Moderna,588126
Hungary,2021-06-18,Moderna,619992
Hungary,2021-06-25,Moderna,650048
Hungary,2021-07-02,Moderna,663308
Hungary,2021-07-09,Moderna,671489
Hungary,2021-07-16,Moderna,675312
Hungary,2021-07-23,Moderna,676977
Hungary,2021-07-30,Moderna,677801
Hungary,2021-08-06,Moderna,679577
Hungary,2021-08-13,Moderna,683324
Hungary,2021-08-20,Moderna,686525
Hungary,2021-08-27,Moderna,691441
Hungary,2021-09-03,Moderna,697242
Hungary,2021-09-10,Moderna,705278
Hungary,2021-09-17,Moderna,713648
Hungary,2021-09-24,Moderna,722197
Hungary,2021-10-01,Moderna,729722
Hungary,2021-10-08,Moderna,738175
Hungary,2021-10-15,Moderna,746586
Hungary,2021-10-22,Moderna,757195
Hungary,2021-10-29,Moderna,767930
Hungary,2021-11-05,Moderna,782321
Hungary,2021-11-12,Moderna,804133
Hungary,2021-11-19,Moderna,826112
Hungary,2021-11-26,Moderna,898062
Hungary,2021-12-03,Moderna,931366
Hungary,2021-12-10,Moderna,959213
Hungary,2021-12-17,Moderna,969711
Hungary,2021-12-24,Moderna,975099
Hungary,2021-12-31,Moderna,980133
Hungary,2022-01-07,Moderna,992770
Hungary,2022-01-14,Moderna,1005585
Hungary,2022-01-21,Moderna,1019148
Hungary,2022-01-28,Moderna,1031937
Hungary,2022-02-04,Moderna,1037130
Hungary,2022-02-11,Moderna,1040527
Hungary,2022-02-18,Moderna,1041733
Hungary,2021-02-05,Oxford/AstraZeneca,0
Hungary,2021-02-12,Oxford/AstraZeneca,20101
Hungary,2021-02-19,Oxford/AstraZeneca,43574
Hungary,2021-02-26,Oxford/AstraZeneca,85258
Hungary,2021-03-05,Oxford/AstraZeneca,101860
Hungary,2021-03-12,Oxford/AstraZeneca,239095
Hungary,2021-03-19,Oxford/AstraZeneca,298517
Hungary,2021-03-26,Oxford/AstraZeneca,398166
Hungary,2021-04-02,Oxford/AstraZeneca,427844
Hungary,2021-04-09,Oxford/AstraZeneca,590675
Hungary,2021-04-16,Oxford/AstraZeneca,637425
Hungary,2021-04-23,Oxford/AstraZeneca,663482
Hungary,2021-04-30,Oxford/AstraZeneca,669327
Hungary,2021-05-07,Oxford/AstraZeneca,718481
Hungary,2021-05-14,Oxford/AstraZeneca,756076
Hungary,2021-05-21,Oxford/AstraZeneca,780614
Hungary,2021-05-28,Oxford/AstraZeneca,809727
Hungary,2021-06-04,Oxford/AstraZeneca,923626
Hungary,2021-06-11,Oxford/AstraZeneca,974668
Hungary,2021-06-18,Oxford/AstraZeneca,1027690
Hungary,2021-06-25,Oxford/AstraZeneca,1066788
Hungary,2021-07-02,Oxford/AstraZeneca,1164012
Hungary,2021-07-09,Oxford/AstraZeneca,1194044
Hungary,2021-07-16,Oxford/AstraZeneca,1209269
Hungary,2021-07-23,Oxford/AstraZeneca,1213585
Hungary,2021-07-30,Oxford/AstraZeneca,1238032
Hungary,2021-08-06,Oxford/AstraZeneca,1241201
Hungary,2021-08-13,Oxford/AstraZeneca,1243223
Hungary,2021-08-20,Oxford/AstraZeneca,1243789
Hungary,2021-08-27,Oxford/AstraZeneca,1244701
Hungary,2021-09-03,Oxford/AstraZeneca,1245404
Hungary,2021-09-10,Oxford/AstraZeneca,1245928
Hungary,2021-09-17,Oxford/AstraZeneca,1246345
Hungary,2021-09-24,Oxford/AstraZeneca,1246683
Hungary,2021-10-01,Oxford/AstraZeneca,1246988
Hungary,2021-10-08,Oxford/AstraZeneca,1247284
Hungary,2021-10-15,Oxford/AstraZeneca,1247567
Hungary,2021-10-22,Oxford/AstraZeneca,1247851
Hungary,2021-10-29,Oxford/AstraZeneca,1248171
Hungary,2021-11-05,Oxford/AstraZeneca,1248464
Hungary,2021-11-12,Oxford/AstraZeneca,1248864
Hungary,2021-11-19,Oxford/AstraZeneca,1249156
Hungary,2021-11-26,Oxford/AstraZeneca,1250883
Hungary,2021-12-03,Oxford/AstraZeneca,1250934
Hungary,2021-12-10,Oxford/AstraZeneca,1251330
Hungary,2021-12-17,Oxford/AstraZeneca,1251461
Hungary,2021-12-24,Oxford/AstraZeneca,1251511
Hungary,2021-12-31,Oxford/AstraZeneca,1251605
Hungary,2022-01-07,Oxford/AstraZeneca,1251701
Hungary,2022-01-14,Oxford/AstraZeneca,1251841
Hungary,2022-01-21,Oxford/AstraZeneca,1251975
Hungary,2022-01-28,Oxford/AstraZeneca,1252138
Hungary,2022-02-04,Oxford/AstraZeneca,1252229
Hungary,2022-02-11,Oxford/AstraZeneca,1252289
Hungary,2022-02-18,Oxford/AstraZeneca,1252315
Hungary,2021-01-01,Pfizer/BioNTech,1095
Hungary,2021-01-08,Pfizer/BioNTech,71815
Hungary,2021-01-15,Pfizer/BioNTech,120515
Hungary,2021-01-22,Pfizer/BioNTech,153055
Hungary,2021-01-29,Pfizer/BioNTech,299730
Hungary,2021-02-05,Pfizer/BioNTech,382360
Hungary,2021-02-12,Pfizer/BioNTech,439830
Hungary,2021-02-19,Pfizer/BioNTech,577726
Hungary,2021-02-26,Pfizer/BioNTech,665513
Hungary,2021-03-05,Pfizer/BioNTech,772330
Hungary,2021-03-12,Pfizer/BioNTech,891614
Hungary,2021-03-19,Pfizer/BioNTech,1054896
Hungary,2021-03-26,Pfizer/BioNTech,1211790
Hungary,2021-04-02,Pfizer/BioNTech,1428960
Hungary,2021-04-09,Pfizer/BioNTech,1633326
Hungary,2021-04-16,Pfizer/BioNTech,1849226
Hungary,2021-04-23,Pfizer/BioNTech,2169616
Hungary,2021-04-30,Pfizer/BioNTech,2445274
Hungary,2021-05-07,Pfizer/BioNTech,2693362
Hungary,2021-05-14,Pfizer/BioNTech,2988469
Hungary,2021-05-21,Pfizer/BioNTech,3416668
Hungary,2021-05-28,Pfizer/BioNTech,3677658
Hungary,2021-06-04,Pfizer/BioNTech,3873529
Hungary,2021-06-11,Pfizer/BioNTech,3968895
Hungary,2021-06-18,Pfizer/BioNTech,4179422
Hungary,2021-06-25,Pfizer/BioNTech,4483058
Hungary,2021-07-02,Pfizer/BioNTech,4576235
Hungary,2021-07-09,Pfizer/BioNTech,4680403
Hungary,2021-07-16,Pfizer/BioNTech,4785476
Hungary,2021-07-23,Pfizer/BioNTech,4865581
Hungary,2021-07-30,Pfizer/BioNTech,4913773
Hungary,2021-08-06,Pfizer/BioNTech,4991098
Hungary,2021-08-13,Pfizer/BioNTech,5105587
Hungary,2021-08-20,Pfizer/BioNTech,5201336
Hungary,2021-08-27,Pfizer/BioNTech,5338629
Hungary,2021-09-03,Pfizer/BioNTech,5518032
Hungary,2021-09-10,Pfizer/BioNTech,5644713
Hungary,2021-09-17,Pfizer/BioNTech,5762943
Hungary,2021-09-24,Pfizer/BioNTech,5918729
Hungary,2021-10-01,Pfizer/BioNTech,6024938
Hungary,2021-10-08,Pfizer/BioNTech,6130821
Hungary,2021-10-15,Pfizer/BioNTech,6241661
