location,date,vaccine,total_vaccinations
Iceland,2022-01-01,Johnson&Johnson,0
Iceland,2022-01-02,Johnson&Johnson,0
Iceland,2022-01-03,Johnson&Johnson,6
Iceland,2022-01-04,Johnson&Johnson,7
Iceland,2022-01-05,Johnson&Johnson,9
Iceland,2022-01-06,Johnson&Johnson,12
Iceland,2022-01-07,Johnson&Johnson,22
Iceland,2022-01-08,Johnson&Johnson,22
Iceland,2022-01-09,Johnson&Johnson,22
Iceland,2022-01-10,Johnson&Johnson,26
Iceland,2022-01-11,Johnson&Johnson,31
Iceland,2022-01-12,Johnson&Johnson,34
Iceland,2022-01-13,Johnson&Johnson,34
Iceland,2022-01-14,Johnson&Johnson,35
Iceland,2022-01-15,Johnson&Johnson,35
Iceland,2022-01-16,Johnson&Johnson,35
Iceland,2022-01-17,Johnson&Johnson,43
Iceland,2022-01-18,Johnson&Johnson,47
Iceland,2022-01-19,Johnson&Johnson,52
Iceland,2022-01-20,Johnson&Johnson,54
Iceland,2022-01-21,Johnson&Johnson,55
Iceland,2022-01-23,Johnson&Johnson,55
Iceland,2022-01-24,Johnson&Johnson,58
Iceland,2022-01-25,Johnson&Johnson,60
Iceland,2022-01-26,Johnson&Johnson,63
Iceland,2022-01-27,Johnson&Johnson,67
Iceland,2022-01-28,Johnson&Johnson,68
Iceland,2022-01-29,Johnson&Johnson,68
Iceland,2022-01-31,Johnson&Johnson,72
Iceland,2022-02-01,Johnson&Johnson,75
Iceland,2022-02-02,Johnson&Johnson,77
Iceland,2022-02-03,Johnson&Johnson,77
Iceland,2022-02-04,Johnson&Johnson,78
Iceland,2022-02-05,Johnson&Johnson,78
Iceland,2022-02-07,Johnson&Johnson,78
Iceland,2022-02-08,Johnson&Johnson,78
Iceland,2022-02-09,Johnson&Johnson,79
Iceland,2022-02-10,Johnson&Johnson,79
Iceland,2022-02-11,Johnson&Johnson,79
Iceland,2022-02-12,Johnson&Johnson,79
Iceland,2022-02-14,Johnson&Johnson,79
Iceland,2022-02-15,Johnson&Johnson,79
Iceland,2022-02-16,Johnson&Johnson,79
Iceland,2022-02-17,Johnson&Johnson,79
Iceland,2022-02-18,Johnson&Johnson,79
Iceland,2022-02-21,Johnson&Johnson,80
Iceland,2022-02-22,Johnson&Johnson,81
Iceland,2022-02-23,Johnson&Johnson,81
Iceland,2022-02-24,Johnson&Johnson,83
Iceland,2022-02-25,Johnson&Johnson,84
Iceland,2022-02-28,Johnson&Johnson,84
Iceland,2022-01-01,Moderna,1
Iceland,2022-01-02,Moderna,1
Iceland,2022-01-03,Moderna,76
Iceland,2022-01-04,Moderna,167
Iceland,2022-01-05,Moderna,293
Iceland,2022-01-06,Moderna,484
Iceland,2022-01-07,Moderna,728
Iceland,2022-01-08,Moderna,728
Iceland,2022-01-09,Moderna,728
Iceland,2022-01-10,Moderna,917
Iceland,2022-01-11,Moderna,1123
Iceland,2022-01-12,Moderna,1301
Iceland,2022-01-13,Moderna,1448
Iceland,2022-01-14,Moderna,1618
Iceland,2022-01-15,Moderna,1618
Iceland,2022-01-16,Moderna,1619
Iceland,2022-01-17,Moderna,1956
Iceland,2022-01-18,Moderna,2331
Iceland,2022-01-19,Moderna,2647
Iceland,2022-01-20,Moderna,2927
Iceland,2022-01-21,Moderna,3248
Iceland,2022-01-23,Moderna,3248
Iceland,2022-01-24,Moderna,3424
Iceland,2022-01-25,Moderna,3784
Iceland,2022-01-26,Moderna,4189
Iceland,2022-01-27,Moderna,4788
Iceland,2022-01-28,Moderna,5437
Iceland,2022-01-29,Moderna,5438
Iceland,2022-01-31,Moderna,5530
Iceland,2022-02-01,Moderna,5622
Iceland,2022-02-02,Moderna,5698
Iceland,2022-02-03,Moderna,5760
Iceland,2022-02-04,Moderna,5817
Iceland,2022-02-05,Moderna,5817
Iceland,2022-02-07,Moderna,5818
Iceland,2022-02-08,Moderna,5882
Iceland,2022-02-09,Moderna,5945
Iceland,2022-02-10,Moderna,5979
Iceland,2022-02-11,Moderna,6009
Iceland,2022-02-12,Moderna,6009
Iceland,2022-02-14,Moderna,6019
Iceland,2022-02-15,Moderna,6036
Iceland,2022-02-16,Moderna,6053
Iceland,2022-02-17,Moderna,6073
Iceland,2022-02-18,Moderna,6101
Iceland,2022-02-21,Moderna,6185
Iceland,2022-02-22,Moderna,6229
Iceland,2022-02-23,Moderna,6299
Iceland,2022-02-24,Moderna,6404
Iceland,2022-02-25,Moderna,6489
Iceland,2022-02-28,Moderna,6489
Iceland,2022-01-01,Oxford/AstraZeneca,0
Iceland,2022-01-02,Oxford/AstraZeneca,0
Iceland,2022-01-03,Oxford/AstraZeneca,0
Iceland,2022-01-04,Oxford/AstraZeneca,0
Iceland,2022-01-05,Oxford/AstraZeneca,1
Iceland,2022-01-06,Oxford/AstraZeneca,1
Iceland,2022-01-07,Oxford/AstraZeneca,1
Iceland,2022-01-08,Oxford/AstraZeneca,1
Iceland,2022-01-09,Oxford/AstraZeneca,1
Iceland,2022-01-10,Oxford/AstraZeneca,1
Iceland,2022-01-11,Oxford/AstraZeneca,1
Iceland,2022-01-12,Oxford/AstraZeneca,1
Iceland,2022-01-13,Oxford/AstraZeneca,1
Iceland,2022-01-14,Oxford/AstraZeneca,1
Iceland,2022-01-15,Oxford/AstraZeneca,1
Iceland,2022-01-16,Oxford/AstraZeneca,1
Iceland,2022-01-17,Oxford/AstraZeneca,1
Iceland,2022-01-18,Oxford/AstraZeneca,1
Iceland,2022-01-19,Oxford/AstraZeneca,1
Iceland,2022-01-20,Oxford/AstraZeneca,1
Iceland,2022-01-21,Oxford/AstraZeneca,1
Iceland,2022-01-23,Oxford/AstraZeneca,1
Iceland,2022-01-24,Oxford/AstraZeneca,1
Iceland,2022-01-25,Oxford/AstraZeneca,1
Iceland,2022-01-26,Oxford/AstraZeneca,1
Iceland,2022-01-27,Oxford/AstraZeneca,1
Iceland,2022-01-28,Oxford/AstraZeneca,1
Iceland,2022-01-29,Oxford/AstraZeneca,1
Iceland,2022-01-31,Oxford/AstraZeneca,1
Iceland,2022-02-01,Oxford/AstraZeneca,1
Iceland,2022-02-02,Oxford/AstraZeneca,1
Iceland,2022-02-03,Oxford/AstraZeneca,1
Iceland,2022-02-04,Oxford/AstraZeneca,1
Iceland,2022-02-05,Oxford/AstraZeneca,1
Iceland,2022-02-07,Oxford/AstraZeneca,1
Iceland,2022-02-08,Oxford/AstraZeneca,1
Iceland,2022-02-09,Oxford/AstraZeneca,1
Iceland,2022-02-10,Oxford/AstraZeneca,1
Iceland,2022-02-11,Oxford/AstraZeneca,1
Iceland,2022-02-12,Oxford/AstraZeneca,1
Iceland,2022-02-14,Oxford/AstraZeneca,1
Iceland,2022-02-15,Oxford/AstraZeneca,1
Iceland,2022-02-16,Oxford/AstraZeneca,1
Iceland,2022-02-17,Oxford/AstraZeneca,1
Iceland,2022-02-18,Oxford/AstraZeneca,1
Iceland,2022-02-21,Oxford/AstraZeneca,1
Iceland,2022-02-22,Oxford/AstraZeneca,1
Iceland,2022-02-23,Oxford/AstraZeneca,1
Iceland,2022-02-24,Oxford/AstraZeneca,1
Iceland,2022-02-25,Oxford/AstraZeneca,1
Iceland,2022-02-28,Oxford/AstraZeneca,1
Iceland,2022-01-01,Pfizer/BioNTech,0
Iceland,2022-01-02,Pfizer/BioNTech,1
Iceland,2022-01-03,Pfizer/BioNTech,688
Iceland,2022-01-04,Pfizer/BioNTech,1717
Iceland,2022-01-05,Pfizer/BioNTech,3767
Iceland,2022-01-06,Pfizer/BioNTech,6950
Iceland,2022-01-07,Pfizer/BioNTech,8340
Iceland,2022-01-08,Pfizer/BioNTech,8356
Iceland,2022-01-09,Pfizer/BioNTech,8357
Iceland,2022-01-10,Pfizer/BioNTech,11569
Iceland,2022-01-11,Pfizer/BioNTech,16029
Iceland,2022-01-12,Pfizer/BioNTech,22699
Iceland,2022-01-13,Pfizer/BioNTech,28461
Iceland,2022-01-14,Pfizer/BioNTech,30558
Iceland,2022-01-15,Pfizer/BioNTech,30559
Iceland,2022-01-16,Pfizer/BioNTech,30560
Iceland,2022-01-17,Pfizer/BioNTech,32247
Iceland,2022-01-18,Pfizer/BioNTech,34246
Iceland,2022-01-19,Pfizer/BioNTech,39081
Iceland,2022-01-20,Pfizer/BioNTech,43090
Iceland,2022-01-21,Pfizer/BioNTech,44715
Iceland,2022-01-23,Pfizer/BioNTech,44716
Iceland,2022-01-24,Pfizer/BioNTech,45723
Iceland,2022-01-25,Pfizer/BioNTech,46785
Iceland,2022-01-26,Pfizer/BioNTech,49240
Iceland,2022-01-27,Pfizer/BioNTech,51437
Iceland,2022-01-28,Pfizer/BioNTech,52709
Iceland,2022-01-29,Pfizer/BioNTech,52711
Iceland,2022-01-31,Pfizer/BioNTech,54521
Iceland,2022-02-01,Pfizer/BioNTech,57451
Iceland,2022-02-02,Pfizer/BioNTech,61372
Iceland,2022-02-03,Pfizer/BioNTech,65208
Iceland,2022-02-04,Pfizer/BioNTech,67411
Iceland,2022-02-05,Pfizer/BioNTech,67414
Iceland,2022-02-07,Pfizer/BioNTech,67439
Iceland,2022-02-08,Pfizer/BioNTech,68099
Iceland,2022-02-09,Pfizer/BioNTech,69365
Iceland,2022-02-10,Pfizer/BioNTech,70393
Iceland,2022-02-11,Pfizer/BioNTech,70847
Iceland,2022-02-12,Pfizer/BioNTech,70849
Iceland,2022-02-14,Pfizer/BioNTech,70939
Iceland,2022-02-15,Pfizer/BioNTech,71190
Iceland,2022-02-16,Pfizer/BioNTech,71947
Iceland,2022-02-17,Pfizer/BioNTech,72322
Iceland,2022-02-18,Pfizer/BioNTech,72666
Iceland,2022-02-21,Pfizer/BioNTech,73152
Iceland,2022-02-22,Pfizer/BioNTech,73421
Iceland,2022-02-23,Pfizer/BioNTech,73943
Iceland,2022-02-24,Pfizer/BioNTech,74509
Iceland,2022-02-25,Pfizer/BioNTech,74889
Iceland,2022-02-28,Pfizer/BioNTech,74898
