location,date,vaccine,total_vaccinations
Luxembourg,2021-04-16,Johnson&Johnson,2157
Luxembourg,2021-04-23,Johnson&Johnson,2352
Luxembourg,2021-04-30,Johnson&Johnson,2352
Luxembourg,2021-05-07,Johnson&Johnson,5816
Luxembourg,2021-05-14,Johnson&Johnson,7700
Luxembourg,2021-05-21,Johnson&Johnson,10816
Luxembourg,2021-05-28,Johnson&Johnson,11315
Luxembourg,2021-06-04,Johnson&Johnson,12739
Luxembourg,2021-06-11,Johnson&Johnson,16836
Luxembourg,2021-06-18,Johnson&Johnson,17757
Luxembourg,2021-06-25,Johnson&Johnson,26435
Luxembourg,2021-07-02,Johnson&Johnson,27969
Luxembourg,2021-07-09,Johnson&Johnson,28398
Luxembourg,2021-07-16,Johnson&Johnson,30656
Luxembourg,2021-07-23,Johnson&Johnson,31455
Luxembourg,2021-07-30,Johnson&Johnson,32371
Luxembourg,2021-08-06,Johnson&Johnson,32859
Luxembourg,2021-08-13,Johnson&Johnson,33405
Luxembourg,2021-08-20,Johnson&Johnson,34228
Luxembourg,2021-08-27,Johnson&Johnson,34812
Luxembourg,2021-09-03,Johnson&Johnson,35346
Luxembourg,2021-09-10,Johnson&Johnson,36063
Luxembourg,2021-09-17,Johnson&Johnson,36508
Luxembourg,2021-09-24,Johnson&Johnson,36913
Luxembourg,2021-10-01,Johnson&Johnson,37242
Luxembourg,2021-10-08,Johnson&Johnson,37576
Luxembourg,2021-10-15,Johnson&Johnson,38145
Luxembourg,2021-10-22,Johnson&Johnson,38626
Luxembourg,2021-10-29,Johnson&Johnson,38946
Luxembourg,2021-11-05,Johnson&Johnson,39251
Luxembourg,2021-11-12,Johnson&Johnson,39478
Luxembourg,2021-11-19,Johnson&Johnson,39631
Luxembourg,2021-11-26,Johnson&Johnson,39779
Luxembourg,2021-12-03,Johnson&Johnson,40142
Luxembourg,2021-12-10,Johnson&Johnson,40437
Luxembourg,2021-12-17,Johnson&Johnson,40663
Luxembourg,2021-12-24,Johnson&Johnson,40817
Luxembourg,2021-12-31,Johnson&Johnson,40966
Luxembourg,2022-01-07,Johnson&Johnson,41165
Luxembourg,2022-01-14,Johnson&Johnson,41349
Luxembourg,2022-01-21,Johnson&Johnson,41410
Luxembourg,2022-01-28,Johnson&Johnson,41439
Luxembourg,2022-02-04,Johnson&Johnson,41468
Luxembourg,2022-02-11,Johnson&Johnson,41481
Luxembourg,2022-02-18,Johnson&Johnson,41488
Luxembourg,2022-02-22,Johnson&Johnson,41489
Luxembourg,2021-01-15,Moderna,0
Luxembourg,2021-01-22,Moderna,284
Luxembourg,2021-01-29,Moderna,417
Luxembourg,2021-02-05,Moderna,842
Luxembourg,2021-02-12,Moderna,1034
Luxembourg,2021-02-19,Moderna,1324
Luxembourg,2021-02-26,Moderna,1641
Luxembourg,2021-03-05,Moderna,2113
Luxembourg,2021-03-12,Moderna,2611
Luxembourg,2021-03-19,Moderna,4100
Luxembourg,2021-03-26,Moderna,4307
Luxembourg,2021-04-02,Moderna,4705
Luxembourg,2021-04-09,Moderna,7197
Luxembourg,2021-04-16,Moderna,11653
Luxembourg,2021-04-23,Moderna,12209
Luxembourg,2021-04-30,Moderna,14488
Luxembourg,2021-05-07,Moderna,17390
Luxembourg,2021-05-14,Moderna,23440
Luxembourg,2021-05-21,Moderna,29634
Luxembourg,2021-05-28,Moderna,33741
Luxembourg,2021-06-04,Moderna,34563
Luxembourg,2021-06-11,Moderna,37642
Luxembourg,2021-06-18,Moderna,43267
Luxembourg,2021-06-25,Moderna,48396
Luxembourg,2021-07-02,Moderna,54293
Luxembourg,2021-07-09,Moderna,56330
Luxembourg,2021-07-16,Moderna,57785
Luxembourg,2021-07-23,Moderna,60677
Luxembourg,2021-07-30,Moderna,66060
Luxembourg,2021-08-06,Moderna,68013
Luxembourg,2021-08-13,Moderna,69272
Luxembourg,2021-08-20,Moderna,69586
Luxembourg,2021-08-27,Moderna,69726
Luxembourg,2021-09-03,Moderna,69818
Luxembourg,2021-09-10,Moderna,69881
Luxembourg,2021-09-17,Moderna,69938
Luxembourg,2021-09-24,Moderna,69980
Luxembourg,2021-10-01,Moderna,70007
Luxembourg,2021-10-08,Moderna,70028
Luxembourg,2021-10-15,Moderna,70070
Luxembourg,2021-10-22,Moderna,70178
Luxembourg,2021-10-29,Moderna,70528
Luxembourg,2021-11-05,Moderna,70950
Luxembourg,2021-11-12,Moderna,71348
Luxembourg,2021-11-19,Moderna,71635
Luxembourg,2021-11-26,Moderna,72266
