location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-01-01,Moderna,0
Netherlands,2021-01-01,Oxford/AstraZeneca,0
Netherlands,2021-01-01,Pfizer/BioNTech,0
Netherlands,2021-01-08,Johnson&Johnson,0
Netherlands,2021-01-08,Moderna,0
Netherlands,2021-01-08,Oxford/AstraZeneca,0
Netherlands,2021-01-08,Pfizer/BioNTech,33756
Netherlands,2021-01-15,Johnson&Johnson,0
Netherlands,2021-01-15,Moderna,0
Netherlands,2021-01-15,Oxford/AstraZeneca,0
Netherlands,2021-01-15,Pfizer/BioNTech,76955
Netherlands,2021-01-22,Johnson&Johnson,0
Netherlands,2021-01-22,Moderna,2572
Netherlands,2021-01-22,Oxford/AstraZeneca,0
Netherlands,2021-01-22,Pfizer/BioNTech,163722
Netherlands,2021-01-29,Johnson&Johnson,0
Netherlands,2021-01-29,Moderna,8883
Netherlands,2021-01-29,Oxford/AstraZeneca,0
Netherlands,2021-01-29,Pfizer/BioNTech,342387
Netherlands,2021-02-05,Johnson&Johnson,0
Netherlands,2021-02-05,Moderna,14873
Netherlands,2021-02-05,Oxford/AstraZeneca,0
Netherlands,2021-02-05,Pfizer/BioNTech,556312
Netherlands,2021-02-12,Johnson&Johnson,0
Netherlands,2021-02-12,Moderna,21226
Netherlands,2021-02-12,Oxford/AstraZeneca,525
Netherlands,2021-02-12,Pfizer/BioNTech,766244
Netherlands,2021-02-19,Johnson&Johnson,0
Netherlands,2021-02-19,Moderna,37220
Netherlands,2021-02-19,Oxford/AstraZeneca,69122
Netherlands,2021-02-19,Pfizer/BioNTech,931409
Netherlands,2021-02-26,Johnson&Johnson,0
Netherlands,2021-02-26,Moderna,56590
Netherlands,2021-02-26,Oxford/AstraZeneca,181905
Netherlands,2021-02-26,Pfizer/BioNTech,1143821
Netherlands,2021-03-05,Johnson&Johnson,0
Netherlands,2021-03-05,Moderna,75076
Netherlands,2021-03-05,Oxford/AstraZeneca,257246
Netherlands,2021-03-05,Pfizer/BioNTech,1344046
Netherlands,2021-03-12,Johnson&Johnson,0
Netherlands,2021-03-12,Moderna,94032
Netherlands,2021-03-12,Oxford/AstraZeneca,357973
Netherlands,2021-03-12,Pfizer/BioNTech,1509511
Netherlands,2021-03-19,Johnson&Johnson,0
Netherlands,2021-03-19,Moderna,114097
Netherlands,2021-03-19,Oxford/AstraZeneca,357973
Netherlands,2021-03-19,Pfizer/BioNTech,1703835
Netherlands,2021-03-26,Johnson&Johnson,0
Netherlands,2021-03-26,Moderna,154821
Netherlands,2021-03-26,Oxford/AstraZeneca,454080
Netherlands,2021-03-26,Pfizer/BioNTech,1865004
Netherlands,2021-04-02,Johnson&Johnson,0
Netherlands,2021-04-02,Moderna,196226
Netherlands,2021-04-02,Oxford/AstraZeneca,574631
Netherlands,2021-04-02,Pfizer/BioNTech,2153976
Netherlands,2021-04-09,Johnson&Johnson,0
Netherlands,2021-04-09,Moderna,230435
Netherlands,2021-04-09,Oxford/AstraZeneca,844007
Netherlands,2021-04-09,Pfizer/BioNTech,2493434
Netherlands,2021-04-16,Johnson&Johnson,0
Netherlands,2021-04-16,Moderna,261886
Netherlands,2021-04-16,Oxford/AstraZeneca,1154856
Netherlands,2021-04-16,Pfizer/BioNTech,2957348
Netherlands,2021-04-23,Johnson&Johnson,8887
Netherlands,2021-04-23,Moderna,296171
Netherlands,2021-04-23,Oxford/AstraZeneca,1260808
Netherlands,2021-04-23,Pfizer/BioNTech,3461239
Netherlands,2021-04-30,Johnson&Johnson,48511
Netherlands,2021-04-30,Moderna,325738
Netherlands,2021-04-30,Oxford/AstraZeneca,1349838
Netherlands,2021-04-30,Pfizer/BioNTech,3989651
Netherlands,2021-05-07,Johnson&Johnson,95480
Netherlands,2021-05-07,Moderna,374577
Netherlands,2021-05-07,Oxford/AstraZeneca,1495671
Netherlands,2021-05-07,Pfizer/BioNTech,4591836
Netherlands,2021-05-14,Johnson&Johnson,124399
Netherlands,2021-05-14,Moderna,452049
Netherlands,2021-05-14,Oxford/AstraZeneca,1685756
Netherlands,2021-05-14,Pfizer/BioNTech,5303517
Netherlands,2021-05-21,Johnson&Johnson,142126
Netherlands,2021-05-21,Moderna,536235
Netherlands,2021-05-21,Oxford/AstraZeneca,1834214
Netherlands,2021-05-21,Pfizer/BioNTech,6085666
Netherlands,2021-05-28,Johnson&Johnson,240336
Netherlands,2021-05-28,Moderna,639600
Netherlands,2021-05-28,Oxford/AstraZeneca,1949920
Netherlands,2021-05-28,Pfizer/BioNTech,6778355
Netherlands,2021-06-04,Johnson&Johnson,389620
Netherlands,2021-06-04,Moderna,781762
Netherlands,2021-06-04,Oxford/AstraZeneca,2085100
Netherlands,2021-06-04,Pfizer/BioNTech,7535419
Netherlands,2021-06-11,Johnson&Johnson,438545
Netherlands,2021-06-11,Moderna,945079
Netherlands,2021-06-11,Oxford/AstraZeneca,2294875
Netherlands,2021-06-11,Pfizer/BioNTech,8771841
Netherlands,2021-06-18,Johnson&Johnson,458633
Netherlands,2021-06-18,Moderna,1075613
Netherlands,2021-06-18,Oxford/AstraZeneca,2465177
Netherlands,2021-06-18,Pfizer/BioNTech,9866089
Netherlands,2021-06-25,Johnson&Johnson,541535
Netherlands,2021-06-25,Moderna,1187166
Netherlands,2021-06-25,Oxford/AstraZeneca,2621525
