location,date,vaccine,total_vaccinations
Norway,2021-01-01,Pfizer/BioNTech,68
Norway,2021-01-08,Moderna,48
Norway,2021-01-08,Oxford/AstraZeneca,4
Norway,2021-01-08,Pfizer/BioNTech,23546
Norway,2021-01-15,Moderna,161
Norway,2021-01-15,Oxford/AstraZeneca,18
Norway,2021-01-15,Pfizer/BioNTech,52676
Norway,2021-01-22,Moderna,1940
Norway,2021-01-22,Oxford/AstraZeneca,47
Norway,2021-01-22,Pfizer/BioNTech,81617
Norway,2021-01-29,Moderna,2360
Norway,2021-01-29,Oxford/AstraZeneca,88
Norway,2021-01-29,Pfizer/BioNTech,130560
Norway,2021-02-05,Moderna,2541
Norway,2021-02-05,Oxford/AstraZeneca,198
Norway,2021-02-05,Pfizer/BioNTech,228359
Norway,2021-02-12,Moderna,12723
Norway,2021-02-12,Oxford/AstraZeneca,319
Norway,2021-02-12,Pfizer/BioNTech,304197
Norway,2021-02-19,Moderna,15070
Norway,2021-02-19,Oxford/AstraZeneca,20112
Norway,2021-02-19,Pfizer/BioNTech,372192
Norway,2021-02-26,Moderna,15557
Norway,2021-02-26,Oxford/AstraZeneca,55914
Norway,2021-02-26,Pfizer/BioNTech,443156
Norway,2021-03-05,Johnson&Johnson,33
Norway,2021-03-05,Moderna,21731
Norway,2021-03-05,Oxford/AstraZeneca,105064
Norway,2021-03-05,Pfizer/BioNTech,501471
Norway,2021-03-12,Johnson&Johnson,82
Norway,2021-03-12,Moderna,35949
Norway,2021-03-12,Oxford/AstraZeneca,139005
Norway,2021-03-12,Pfizer/BioNTech,556579
Norway,2021-03-19,Johnson&Johnson,147
Norway,2021-03-19,Moderna,41983
Norway,2021-03-19,Oxford/AstraZeneca,139622
Norway,2021-03-19,Pfizer/BioNTech,615187
Norway,2021-03-26,Johnson&Johnson,195
Norway,2021-03-26,Moderna,59999
Norway,2021-03-26,Oxford/AstraZeneca,140066
Norway,2021-03-26,Pfizer/BioNTech,719070
Norway,2021-04-02,Johnson&Johnson,285
Norway,2021-04-02,Moderna,80330
Norway,2021-04-02,Oxford/AstraZeneca,140394
Norway,2021-04-02,Pfizer/BioNTech,803913
Norway,2021-04-09,Johnson&Johnson,525
Norway,2021-04-09,Moderna,99131
Norway,2021-04-09,Oxford/AstraZeneca,140700
Norway,2021-04-09,Pfizer/BioNTech,964823
Norway,2021-04-16,Johnson&Johnson,550
Norway,2021-04-16,Moderna,139730
Norway,2021-04-16,Oxford/AstraZeneca,141049
Norway,2021-04-16,Pfizer/BioNTech,1125829
Norway,2021-04-23,Johnson&Johnson,559
Norway,2021-04-23,Moderna,156274
Norway,2021-04-23,Oxford/AstraZeneca,141367
Norway,2021-04-23,Pfizer/BioNTech,1275230
Norway,2021-04-30,Johnson&Johnson,634
Norway,2021-04-30,Moderna,166847
Norway,2021-04-30,Oxford/AstraZeneca,141691
Norway,2021-04-30,Pfizer/BioNTech,1491137
Norway,2021-05-07,Johnson&Johnson,725
Norway,2021-05-07,Moderna,182406
Norway,2021-05-07,Oxford/AstraZeneca,142110
Norway,2021-05-07,Pfizer/BioNTech,1688268
Norway,2021-05-14,Johnson&Johnson,886
Norway,2021-05-14,Moderna,214861
Norway,2021-05-14,Oxford/AstraZeneca,142468
Norway,2021-05-14,Pfizer/BioNTech,1857460
Norway,2021-05-21,Johnson&Johnson,1072
Norway,2021-05-21,Moderna,236531
Norway,2021-05-21,Oxford/AstraZeneca,142920
Norway,2021-05-21,Pfizer/BioNTech,2064086
Norway,2021-05-28,Johnson&Johnson,1238
Norway,2021-05-28,Moderna,279909
Norway,2021-05-28,Oxford/AstraZeneca,143488
Norway,2021-05-28,Pfizer/BioNTech,2277617
Norway,2021-06-04,Johnson&Johnson,1509
Norway,2021-06-04,Moderna,328572
Norway,2021-06-04,Oxford/AstraZeneca,143961
Norway,2021-06-04,Pfizer/BioNTech,2578570
Norway,2021-06-11,Johnson&Johnson,1746
Norway,2021-06-11,Moderna,377887
Norway,2021-06-11,Oxford/AstraZeneca,144507
