location,date,vaccine,total_vaccinations
Peru,2021-02-08,Sinopharm/Beijing,7
Peru,2021-02-09,Sinopharm/Beijing,3759
Peru,2021-02-10,Sinopharm/Beijing,20360
Peru,2021-02-11,Sinopharm/Beijing,54482
Peru,2021-02-12,Sinopharm/Beijing,86857
Peru,2021-02-13,Sinopharm/Beijing,105726
Peru,2021-02-14,Sinopharm/Beijing,111010
Peru,2021-02-15,Sinopharm/Beijing,122485
Peru,2021-02-16,Sinopharm/Beijing,129987
Peru,2021-02-17,Sinopharm/Beijing,133932
Peru,2021-02-18,Sinopharm/Beijing,141336
Peru,2021-02-19,Sinopharm/Beijing,171856
Peru,2021-02-20,Sinopharm/Beijing,197972
Peru,2021-02-21,Sinopharm/Beijing,202527
Peru,2021-02-22,Sinopharm/Beijing,232996
Peru,2021-02-23,Sinopharm/Beijing,260249
Peru,2021-02-24,Sinopharm/Beijing,283140
Peru,2021-02-25,Sinopharm/Beijing,298940
Peru,2021-02-26,Sinopharm/Beijing,314580
Peru,2021-02-27,Sinopharm/Beijing,321348
Peru,2021-02-28,Sinopharm/Beijing,322344
Peru,2021-03-01,Sinopharm/Beijing,331630
Peru,2021-03-02,Sinopharm/Beijing,340878
Peru,2021-03-03,Sinopharm/Beijing,359309
Peru,2021-03-04,Pfizer/BioNTech,12
Peru,2021-03-04,Sinopharm/Beijing,392305
Peru,2021-03-05,Pfizer/BioNTech,15
Peru,2021-03-05,Sinopharm/Beijing,429255
Peru,2021-03-06,Pfizer/BioNTech,25
Peru,2021-03-06,Sinopharm/Beijing,449276
Peru,2021-03-07,Pfizer/BioNTech,44
Peru,2021-03-07,Sinopharm/Beijing,451868
Peru,2021-03-08,Pfizer/BioNTech,14730
Peru,2021-03-08,Sinopharm/Beijing,467837
Peru,2021-03-09,Pfizer/BioNTech,30440
Peru,2021-03-09,Sinopharm/Beijing,479257
Peru,2021-03-10,Pfizer/BioNTech,39256
Peru,2021-03-10,Sinopharm/Beijing,488429
Peru,2021-03-11,Pfizer/BioNTech,43104
Peru,2021-03-11,Sinopharm/Beijing,499033
Peru,2021-03-12,Pfizer/BioNTech,46946
Peru,2021-03-12,Sinopharm/Beijing,521678
Peru,2021-03-13,Pfizer/BioNTech,50231
Peru,2021-03-13,Sinopharm/Beijing,554020
Peru,2021-03-14,Pfizer/BioNTech,50645
Peru,2021-03-14,Sinopharm/Beijing,557032
Peru,2021-03-15,Pfizer/BioNTech,65774
Peru,2021-03-15,Sinopharm/Beijing,589842
Peru,2021-03-16,Pfizer/BioNTech,86550
Peru,2021-03-16,Sinopharm/Beijing,616663
Peru,2021-03-17,Pfizer/BioNTech,107425
Peru,2021-03-17,Sinopharm/Beijing,642648
Peru,2021-03-18,Pfizer/BioNTech,132215
Peru,2021-03-18,Sinopharm/Beijing,660684
Peru,2021-03-19,Pfizer/BioNTech,156193
Peru,2021-03-19,Sinopharm/Beijing,678210
Peru,2021-03-20,Pfizer/BioNTech,173312
Peru,2021-03-20,Sinopharm/Beijing,685645
Peru,2021-03-21,Pfizer/BioNTech,173947
Peru,2021-03-21,Sinopharm/Beijing,686725
Peru,2021-03-22,Pfizer/BioNTech,180500
Peru,2021-03-22,Sinopharm/Beijing,697623
Peru,2021-03-23,Pfizer/BioNTech,194977
Peru,2021-03-23,Sinopharm/Beijing,708078
Peru,2021-03-24,Pfizer/BioNTech,208195
Peru,2021-03-24,Sinopharm/Beijing,716932
Peru,2021-03-25,Pfizer/BioNTech,219840
Peru,2021-03-25,Sinopharm/Beijing,723047
Peru,2021-03-26,Pfizer/BioNTech,234508
Peru,2021-03-26,Sinopharm/Beijing,729770
Peru,2021-03-27,Pfizer/BioNTech,244286
Peru,2021-03-27,Sinopharm/Beijing,734388
Peru,2021-03-28,Pfizer/BioNTech,246148
Peru,2021-03-28,Sinopharm/Beijing,734821
Peru,2021-03-29,Pfizer/BioNTech,257378
Peru,2021-03-29,Sinopharm/Beijing,740983
