location,date,vaccine,total_vaccinations
Poland,2021-01-01,Johnson&Johnson,0
Poland,2021-01-08,Johnson&Johnson,0
Poland,2021-01-15,Johnson&Johnson,0
Poland,2021-01-22,Johnson&Johnson,0
Poland,2021-01-29,Johnson&Johnson,0
Poland,2021-02-05,Johnson&Johnson,1
Poland,2021-02-12,Johnson&Johnson,1
Poland,2021-02-19,Johnson&Johnson,1
Poland,2021-02-26,Johnson&Johnson,1
Poland,2021-03-05,Johnson&Johnson,2
Poland,2021-03-12,Johnson&Johnson,6
Poland,2021-03-19,Johnson&Johnson,18
Poland,2021-03-26,Johnson&Johnson,19
Poland,2021-04-02,Johnson&Johnson,55
Poland,2021-04-09,Johnson&Johnson,83
Poland,2021-04-16,Johnson&Johnson,23375
Poland,2021-04-23,Johnson&Johnson,76727
Poland,2021-04-30,Johnson&Johnson,125620
Poland,2021-05-07,Johnson&Johnson,170415
Poland,2021-05-14,Johnson&Johnson,275573
Poland,2021-05-21,Johnson&Johnson,407945
Poland,2021-05-28,Johnson&Johnson,596172
Poland,2021-06-04,Johnson&Johnson,703827
Poland,2021-06-11,Johnson&Johnson,785111
Poland,2021-06-18,Johnson&Johnson,853545
Poland,2021-06-25,Johnson&Johnson,918735
Poland,2021-07-02,Johnson&Johnson,993549
Poland,2021-07-09,Johnson&Johnson,1077537
Poland,2021-07-16,Johnson&Johnson,1173081
Poland,2021-07-23,Johnson&Johnson,1273067
Poland,2021-07-30,Johnson&Johnson,1382842
Poland,2021-08-06,Johnson&Johnson,1482708
Poland,2021-08-13,Johnson&Johnson,1581612
Poland,2021-08-20,Johnson&Johnson,1665917
Poland,2021-08-27,Johnson&Johnson,1749055
Poland,2021-09-03,Johnson&Johnson,1813101
Poland,2021-09-10,Johnson&Johnson,1865581
Poland,2021-09-17,Johnson&Johnson,1912925
Poland,2021-09-24,Johnson&Johnson,1962328
Poland,2021-10-01,Johnson&Johnson,2001237
Poland,2021-10-08,Johnson&Johnson,2035361
Poland,2021-10-15,Johnson&Johnson,2068490
Poland,2021-10-22,Johnson&Johnson,2105731
Poland,2021-10-29,Johnson&Johnson,2149422
Poland,2021-11-05,Johnson&Johnson,2189041
Poland,2021-11-12,Johnson&Johnson,2229598
Poland,2021-11-19,Johnson&Johnson,2279558
Poland,2021-11-26,Johnson&Johnson,2345264
Poland,2021-12-03,Johnson&Johnson,2403800
Poland,2021-12-10,Johnson&Johnson,2452589
Poland,2021-12-17,Johnson&Johnson,2488258
Poland,2021-12-24,Johnson&Johnson,2508502
Poland,2021-12-31,Johnson&Johnson,2527577
Poland,2022-01-07,Johnson&Johnson,2554550
Poland,2022-01-14,Johnson&Johnson,2584042
Poland,2022-01-21,Johnson&Johnson,2609294
Poland,2022-01-28,Johnson&Johnson,2628526
Poland,2022-02-04,Johnson&Johnson,2641749
Poland,2022-02-11,Johnson&Johnson,2651871
Poland,2022-02-18,Johnson&Johnson,2659576
Poland,2022-02-25,Johnson&Johnson,2667248
Poland,2022-03-04,Johnson&Johnson,2672460
Poland,2022-03-11,Johnson&Johnson,2677151
Poland,2022-03-15,Johnson&Johnson,2678352
Poland,2021-01-01,Moderna,0
Poland,2021-01-08,Moderna,1
Poland,2021-01-15,Moderna,2
Poland,2021-01-22,Moderna,10
Poland,2021-01-29,Moderna,4260
Poland,2021-02-05,Moderna,9062
Poland,2021-02-12,Moderna,22787
Poland,2021-02-19,Moderna,71368
Poland,2021-02-26,Moderna,130760
Poland,2021-03-05,Moderna,202766
Poland,2021-03-12,Moderna,248005
Poland,2021-03-19,Moderna,294708
Poland,2021-03-26,Moderna,376631
Poland,2021-04-02,Moderna,442517
Poland,2021-04-09,Moderna,517825
Poland,2021-04-16,Moderna,653214
Poland,2021-04-23,Moderna,891491
Poland,2021-04-30,Moderna,1068097
Poland,2021-05-07,Moderna,1296174
Poland,2021-05-14,Moderna,1520835
Poland,2021-05-21,Moderna,1807562
Poland,2021-05-28,Moderna,2084948
Poland,2021-06-04,Moderna,2275418
Poland,2021-06-11,Moderna,2501930
Poland,2021-06-18,Moderna,2694844
Poland,2021-06-25,Moderna,2872592
Poland,2021-07-02,Moderna,2957909
Poland,2021-07-09,Moderna,2983074
Poland,2021-07-16,Moderna,2998407
Poland,2021-07-23,Moderna,3006889
Poland,2021-07-30,Moderna,3011838
Poland,2021-08-06,Moderna,3016085
Poland,2021-08-13,Moderna,3019489
Poland,2021-08-20,Moderna,3022870
Poland,2021-08-27,Moderna,3025332
Poland,2021-09-03,Moderna,3027684
Poland,2021-09-10,Moderna,3029755
Poland,2021-09-17,Moderna,3031792
Poland,2021-09-24,Moderna,3034124
Poland,2021-10-01,Moderna,3036533
Poland,2021-10-08,Moderna,3038344
Poland,2021-10-15,Moderna,3039868
Poland,2021-10-22,Moderna,3041713
Poland,2021-10-29,Moderna,3043907
Poland,2021-11-05,Moderna,3050302
Poland,2021-11-12,Moderna,3060005
Poland,2021-11-19,Moderna,3078412
Poland,2021-11-26,Moderna,3118705
Poland,2021-12-03,Moderna,3176016
Poland,2021-12-10,Moderna,3235096
Poland,2021-12-17,Moderna,3295781
Poland,2021-12-24,Moderna,3326049
Poland,2021-12-31,Moderna,3371865
Poland,2022-01-07,Moderna,3439927
Poland,2022-01-14,Moderna,3496188
Poland,2022-01-21,Moderna,3539972
Poland,2022-01-28,Moderna,3570268
Poland,2022-02-04,Moderna,3587801
Poland,2022-02-11,Moderna,3599707
Poland,2022-02-18,Moderna,3608864
Poland,2022-02-25,Moderna,3616566
Poland,2022-03-04,Moderna,3622422
Poland,2022-03-11,Moderna,3627390
Poland,2022-03-15,Moderna,3628792
Poland,2021-11-05,Novavax,0
Poland,2021-11-12,Novavax,0
Poland,2021-11-19,Novavax,0
Poland,2021-11-26,Novavax,0
Poland,2021-12-03,Novavax,0
Poland,2021-12-10,Novavax,0
Poland,2021-12-17,Novavax,0
Poland,2021-12-24,Novavax,0
Poland,2021-12-31,Novavax,0
Poland,2022-01-07,Novavax,0
Poland,2022-01-14,Novavax,0
Poland,2022-01-21,Novavax,0
Poland,2022-01-28,Novavax,0
Poland,2022-02-04,Novavax,0
Poland,2022-02-11,Novavax,0
Poland,2022-02-18,Novavax,0
Poland,2022-02-25,Novavax,0
Poland,2022-03-04,Novavax,1223
Poland,2022-03-11,Novavax,2518
Poland,2022-03-15,Novavax,2798
Poland,2021-01-01,Oxford/AstraZeneca,0
Poland,2021-01-08,Oxford/AstraZeneca,2
Poland,2021-01-15,Oxford/AstraZeneca,4
Poland,2021-01-22,Oxford/AstraZeneca,11
Poland,2021-01-29,Oxford/AstraZeneca,16
Poland,2021-02-05,Oxford/AstraZeneca,31
Poland,2021-02-12,Oxford/AstraZeneca,21551
Poland,2021-02-19,Oxford/AstraZeneca,129491
Poland,2021-02-26,Oxford/AstraZeneca,289563
Poland,2021-03-05,Oxford/AstraZeneca,475792
Poland,2021-03-12,Oxford/AstraZeneca,595807
Poland,2021-03-19,Oxford/AstraZeneca,654922
Poland,2021-03-26,Oxford/AstraZeneca,979897
Poland,2021-04-02,Oxford/AstraZeneca,1277837
Poland,2021-04-09,Oxford/AstraZeneca,1621038
Poland,2021-04-16,Oxford/AstraZeneca,1879351
Poland,2021-04-23,Oxford/AstraZeneca,2044437
Poland,2021-04-30,Oxford/AstraZeneca,2174047
Poland,2021-05-07,Oxford/AstraZeneca,2501311
Poland,2021-05-14,Oxford/AstraZeneca,2846053
Poland,2021-05-21,Oxford/AstraZeneca,3131406
Poland,2021-05-28,Oxford/AstraZeneca,3348635
Poland,2021-06-04,Oxford/AstraZeneca,3459886
Poland,2021-06-11,Oxford/AstraZeneca,3830247
Poland,2021-06-18,Oxford/AstraZeneca,4183749
Poland,2021-06-25,Oxford/AstraZeneca,4600015
