location,date,vaccine,total_vaccinations
Portugal,2021-01-01,Johnson&Johnson,1
Portugal,2021-01-08,Johnson&Johnson,20
Portugal,2021-01-15,Johnson&Johnson,22
Portugal,2021-01-22,Johnson&Johnson,24
Portugal,2021-01-29,Johnson&Johnson,27
Portugal,2021-02-05,Johnson&Johnson,49
Portugal,2021-02-12,Johnson&Johnson,53
Portugal,2021-02-19,Johnson&Johnson,58
Portugal,2021-02-26,Johnson&Johnson,63
Portugal,2021-03-05,Johnson&Johnson,122
Portugal,2021-03-12,Johnson&Johnson,208
Portugal,2021-03-19,Johnson&Johnson,275
Portugal,2021-03-26,Johnson&Johnson,327
Portugal,2021-04-02,Johnson&Johnson,437
Portugal,2021-04-09,Johnson&Johnson,642
Portugal,2021-04-16,Johnson&Johnson,710
Portugal,2021-04-23,Johnson&Johnson,728
Portugal,2021-04-30,Johnson&Johnson,2188
Portugal,2021-05-07,Johnson&Johnson,14805
Portugal,2021-05-14,Johnson&Johnson,32811
Portugal,2021-05-21,Johnson&Johnson,57013
Portugal,2021-05-28,Johnson&Johnson,106806
Portugal,2021-06-04,Johnson&Johnson,163843
Portugal,2021-06-11,Johnson&Johnson,192393
Portugal,2021-06-18,Johnson&Johnson,228449
Portugal,2021-06-25,Johnson&Johnson,273579
Portugal,2021-07-02,Johnson&Johnson,300332
Portugal,2021-07-09,Johnson&Johnson,339595
Portugal,2021-07-16,Johnson&Johnson,455888
Portugal,2021-07-23,Johnson&Johnson,589509
Portugal,2021-07-30,Johnson&Johnson,692164
Portugal,2021-08-06,Johnson&Johnson,809476
Portugal,2021-08-13,Johnson&Johnson,952527
Portugal,2021-08-20,Johnson&Johnson,1061823
Portugal,2021-08-27,Johnson&Johnson,1103268
Portugal,2021-09-03,Johnson&Johnson,1119095
Portugal,2021-09-10,Johnson&Johnson,1122885
Portugal,2021-09-17,Johnson&Johnson,1125840
Portugal,2021-09-24,Johnson&Johnson,1127718
Portugal,2021-10-01,Johnson&Johnson,1129291
Portugal,2021-10-08,Johnson&Johnson,1131442
Portugal,2021-10-15,Johnson&Johnson,1131672
Portugal,2021-10-22,Johnson&Johnson,1131852
Portugal,2021-10-29,Johnson&Johnson,1131967
Portugal,2021-11-05,Johnson&Johnson,1132036
Portugal,2021-11-12,Johnson&Johnson,1132113
Portugal,2021-11-19,Johnson&Johnson,1132156
Portugal,2021-11-26,Johnson&Johnson,1132214
Portugal,2021-12-03,Johnson&Johnson,1132262
Portugal,2021-12-10,Johnson&Johnson,1132309
Portugal,2021-12-17,Johnson&Johnson,1132357
Portugal,2021-12-24,Johnson&Johnson,1132396
Portugal,2021-12-31,Johnson&Johnson,1132408
Portugal,2022-01-07,Johnson&Johnson,1132441
Portugal,2022-01-14,Johnson&Johnson,1132472
Portugal,2022-01-21,Johnson&Johnson,1132483
Portugal,2022-01-28,Johnson&Johnson,1132498
Portugal,2022-02-04,Johnson&Johnson,1132535
Portugal,2022-02-11,Johnson&Johnson,1132573
Portugal,2022-02-18,Johnson&Johnson,1132590
Portugal,2021-01-01,Moderna,7
Portugal,2021-01-08,Moderna,99
