location,date,vaccine,total_vaccinations
Romania,2021-05-04,Johnson&Johnson,45
Romania,2021-05-05,Johnson&Johnson,267
Romania,2021-05-06,Johnson&Johnson,1159
Romania,2021-05-07,Johnson&Johnson,2654
Romania,2021-05-08,Johnson&Johnson,3325
Romania,2021-05-09,Johnson&Johnson,3527
Romania,2021-05-10,Johnson&Johnson,5270
Romania,2021-05-11,Johnson&Johnson,8651
Romania,2021-05-12,Johnson&Johnson,12662
Romania,2021-05-13,Johnson&Johnson,17203
Romania,2021-05-14,Johnson&Johnson,23115
Romania,2021-05-15,Johnson&Johnson,25538
Romania,2021-05-16,Johnson&Johnson,27008
Romania,2021-05-17,Johnson&Johnson,31404
Romania,2021-05-18,Johnson&Johnson,37860
Romania,2021-05-19,Johnson&Johnson,45337
Romania,2021-05-20,Johnson&Johnson,52508
Romania,2021-05-21,Johnson&Johnson,59855
Romania,2021-05-22,Johnson&Johnson,62730
Romania,2021-05-23,Johnson&Johnson,65439
Romania,2021-05-24,Johnson&Johnson,71246
Romania,2021-05-25,Johnson&Johnson,78264
Romania,2021-05-26,Johnson&Johnson,86267
Romania,2021-05-27,Johnson&Johnson,94290
Romania,2021-05-28,Johnson&Johnson,102965
Romania,2021-05-29,Johnson&Johnson,107871
Romania,2021-05-30,Johnson&Johnson,112771
Romania,2021-05-31,Johnson&Johnson,120076
Romania,2021-06-01,Johnson&Johnson,124027
Romania,2021-06-02,Johnson&Johnson,130875
Romania,2021-06-03,Johnson&Johnson,139973
Romania,2021-06-04,Johnson&Johnson,150981
Romania,2021-06-05,Johnson&Johnson,156197
Romania,2021-06-06,Johnson&Johnson,160015
Romania,2021-06-07,Johnson&Johnson,167095
Romania,2021-06-08,Johnson&Johnson,175823
Romania,2021-06-09,Johnson&Johnson,185203
Romania,2021-06-10,Johnson&Johnson,194313
Romania,2021-06-11,Johnson&Johnson,203434
Romania,2021-06-12,Johnson&Johnson,208487
Romania,2021-06-13,Johnson&Johnson,212116
Romania,2021-06-14,Johnson&Johnson,218111
Romania,2021-06-15,Johnson&Johnson,225331
Romania,2021-06-16,Johnson&Johnson,232530
Romania,2021-06-17,Johnson&Johnson,239414
Romania,2021-06-18,Johnson&Johnson,246330
Romania,2021-06-19,Johnson&Johnson,249554
Romania,2021-06-20,Johnson&Johnson,251882
Romania,2021-06-21,Johnson&Johnson,254214
Romania,2021-06-22,Johnson&Johnson,259466
Romania,2021-06-23,Johnson&Johnson,265692
Romania,2021-06-24,Johnson&Johnson,271845
Romania,2021-06-25,Johnson&Johnson,277980
Romania,2021-06-26,Johnson&Johnson,281133
Romania,2021-06-27,Johnson&Johnson,284286
Romania,2021-06-28,Johnson&Johnson,288475
Romania,2021-06-29,Johnson&Johnson,293344
Romania,2021-06-30,Johnson&Johnson,298496
Romania,2021-07-01,Johnson&Johnson,303647
Romania,2021-07-02,Johnson&Johnson,309600
Romania,2021-07-03,Johnson&Johnson,315553
Romania,2021-07-04,Johnson&Johnson,317802
Romania,2021-07-05,Johnson&Johnson,322261
Romania,2021-07-06,Johnson&Johnson,327630
Romania,2021-07-07,Johnson&Johnson,333369
Romania,2021-07-08,Johnson&Johnson,338889
Romania,2021-07-10,Johnson&Johnson,345690
Romania,2021-07-11,Johnson&Johnson,349553
Romania,2021-07-12,Johnson&Johnson,353289
Romania,2021-07-13,Johnson&Johnson,358179
Romania,2021-07-14,Johnson&Johnson,363732
Romania,2021-07-15,Johnson&Johnson,369086
Romania,2021-07-16,Johnson&Johnson,375040
Romania,2021-07-17,Johnson&Johnson,378185
Romania,2021-07-18,Johnson&Johnson,380164
Romania,2021-07-19,Johnson&Johnson,384978
Romania,2021-07-20,Johnson&Johnson,391734
Romania,2021-07-21,Johnson&Johnson,397559
Romania,2021-07-22,Johnson&Johnson,404253
Romania,2021-07-23,Johnson&Johnson,411044
Romania,2021-07-24,Johnson&Johnson,414640
Romania,2021-07-25,Johnson&Johnson,416828
Romania,2021-07-26,Johnson&Johnson,422148
Romania,2021-07-27,Johnson&Johnson,428745
Romania,2021-07-28,Johnson&Johnson,435461
Romania,2021-07-29,Johnson&Johnson,441725
Romania,2021-07-30,Johnson&Johnson,448978
Romania,2021-07-31,Johnson&Johnson,452748
Romania,2021-08-01,Johnson&Johnson,455021
