location,date,vaccine,total_vaccinations
Slovakia,2021-04-16,Johnson&Johnson,0
Slovakia,2021-04-30,Johnson&Johnson,0
Slovakia,2021-05-14,Johnson&Johnson,0
Slovakia,2021-05-21,Johnson&Johnson,0
Slovakia,2021-05-28,Johnson&Johnson,0
Slovakia,2021-06-04,Johnson&Johnson,0
Slovakia,2021-06-11,Johnson&Johnson,0
Slovakia,2021-06-18,Johnson&Johnson,121
Slovakia,2021-06-25,Johnson&Johnson,233
Slovakia,2021-07-02,Johnson&Johnson,5326
Slovakia,2021-07-09,Johnson&Johnson,13849
Slovakia,2021-07-16,Johnson&Johnson,23005
Slovakia,2021-07-23,Johnson&Johnson,29142
Slovakia,2021-07-30,Johnson&Johnson,34569
Slovakia,2021-08-06,Johnson&Johnson,42378
Slovakia,2021-08-13,Johnson&Johnson,50257
Slovakia,2021-08-20,Johnson&Johnson,59200
Slovakia,2021-08-27,Johnson&Johnson,65171
Slovakia,2021-09-03,Johnson&Johnson,69759
Slovakia,2021-09-10,Johnson&Johnson,72735
Slovakia,2021-09-17,Johnson&Johnson,77132
Slovakia,2021-09-24,Johnson&Johnson,81864
Slovakia,2021-10-01,Johnson&Johnson,86866
Slovakia,2021-10-08,Johnson&Johnson,90687
Slovakia,2021-10-15,Johnson&Johnson,93508
Slovakia,2021-10-22,Johnson&Johnson,96736
Slovakia,2021-10-29,Johnson&Johnson,100432
Slovakia,2021-11-05,Johnson&Johnson,105429
Slovakia,2021-11-12,Johnson&Johnson,116797
Slovakia,2021-11-19,Johnson&Johnson,132235
Slovakia,2021-11-26,Johnson&Johnson,150435
Slovakia,2021-12-03,Johnson&Johnson,157719
Slovakia,2021-12-10,Johnson&Johnson,161964
Slovakia,2021-12-17,Johnson&Johnson,164752
Slovakia,2021-12-24,Johnson&Johnson,165990
Slovakia,2021-12-31,Johnson&Johnson,166918
Slovakia,2022-01-07,Johnson&Johnson,169601
Slovakia,2022-01-14,Johnson&Johnson,174116
Slovakia,2022-01-21,Johnson&Johnson,177527
Slovakia,2022-01-28,Johnson&Johnson,179785
Slovakia,2022-02-04,Johnson&Johnson,181338
Slovakia,2022-02-11,Johnson&Johnson,182112
Slovakia,2022-02-18,Johnson&Johnson,182520
Slovakia,2022-02-25,Johnson&Johnson,182773
Slovakia,2022-03-04,Johnson&Johnson,182817
Slovakia,2021-01-15,Moderna,0
Slovakia,2021-01-29,Moderna,72
Slovakia,2021-02-05,Moderna,1661
Slovakia,2021-02-12,Moderna,6486
Slovakia,2021-02-19,Moderna,18206
Slovakia,2021-02-26,Moderna,22476
Slovakia,2021-03-05,Moderna,24577
Slovakia,2021-03-12,Moderna,29508
Slovakia,2021-03-19,Moderna,41384
Slovakia,2021-03-26,Moderna,55925
Slovakia,2021-04-02,Moderna,67010
Slovakia,2021-04-09,Moderna,79264
Slovakia,2021-04-16,Moderna,98161
Slovakia,2021-04-23,Moderna,119919
Slovakia,2021-04-30,Moderna,141964
Slovakia,2021-05-07,Moderna,169680
Slovakia,2021-05-14,Moderna,199729
Slovakia,2021-05-21,Moderna,232420
Slovakia,2021-05-28,Moderna,260581
Slovakia,2021-06-04,Moderna,288435
Slovakia,2021-06-11,Moderna,314825
Slovakia,2021-06-18,Moderna,341354
Slovakia,2021-06-25,Moderna,364596
Slovakia,2021-07-02,Moderna,386053
Slovakia,2021-07-09,Moderna,402960
Slovakia,2021-07-16,Moderna,419390
Slovakia,2021-07-23,Moderna,431775
Slovakia,2021-07-30,Moderna,444026
Slovakia,2021-08-06,Moderna,453013
Slovakia,2021-08-13,Moderna,459517
Slovakia,2021-08-20,Moderna,465439
Slovakia,2021-08-27,Moderna,469786
Slovakia,2021-09-03,Moderna,473347
Slovakia,2021-09-10,Moderna,476148
Slovakia,2021-09-17,Moderna,478787
Slovakia,2021-09-24,Moderna,481210
Slovakia,2021-10-01,Moderna,482800
Slovakia,2021-10-08,Moderna,484170
Slovakia,2021-10-15,Moderna,485564
Slovakia,2021-10-22,Moderna,487450
Slovakia,2021-10-29,Moderna,491403
Slovakia,2021-11-05,Moderna,498938
Slovakia,2021-11-12,Moderna,508641
Slovakia,2021-11-19,Moderna,519304
Slovakia,2021-11-26,Moderna,530646
Slovakia,2021-12-03,Moderna,544545
Slovakia,2021-12-10,Moderna,562760
Slovakia,2021-12-17,Moderna,587816
Slovakia,2021-12-24,Moderna,599666
Slovakia,2021-12-31,Moderna,609564
Slovakia,2022-01-07,Moderna,628251
Slovakia,2022-01-14,Moderna,641664
Slovakia,2022-01-21,Moderna,653359
Slovakia,2022-01-28,Moderna,662907
Slovakia,2022-02-04,Moderna,666930
Slovakia,2022-02-11,Moderna,669042
Slovakia,2022-02-18,Moderna,669992
Slovakia,2022-02-25,Moderna,670842
Slovakia,2022-03-04,Moderna,671050
Slovakia,2021-02-05,Oxford/AstraZeneca,0
Slovakia,2021-02-12,Oxford/AstraZeneca,12814
Slovakia,2021-02-19,Oxford/AstraZeneca,27162
Slovakia,2021-02-26,Oxford/AstraZeneca,48002
Slovakia,2021-03-05,Oxford/AstraZeneca,89789
Slovakia,2021-03-12,Oxford/AstraZeneca,132764
Slovakia,2021-03-19,Oxford/AstraZeneca,179513
Slovakia,2021-03-26,Oxford/AstraZeneca,217069
Slovakia,2021-04-02,Oxford/AstraZeneca,245537
Slovakia,2021-04-09,Oxford/AstraZeneca,296056
Slovakia,2021-04-16,Oxford/AstraZeneca,348177
Slovakia,2021-04-23,Oxford/AstraZeneca,392915
Slovakia,2021-04-30,Oxford/AstraZeneca,428058
Slovakia,2021-05-07,Oxford/AstraZeneca,462640
Slovakia,2021-05-14,Oxford/AstraZeneca,502385
Slovakia,2021-05-21,Oxford/AstraZeneca,548924
Slovakia,2021-05-28,Oxford/AstraZeneca,589439
Slovakia,2021-06-04,Oxford/AstraZeneca,630206
Slovakia,2021-06-11,Oxford/AstraZeneca,661524
Slovakia,2021-06-18,Oxford/AstraZeneca,707544
Slovakia,2021-06-25,Oxford/AstraZeneca,755680
Slovakia,2021-07-02,Oxford/AstraZeneca,789414
Slovakia,2021-07-09,Oxford/AstraZeneca,818527
Slovakia,2021-07-16,Oxford/AstraZeneca,834079
Slovakia,2021-07-23,Oxford/AstraZeneca,839796
Slovakia,2021-07-30,Oxford/AstraZeneca,841389
Slovakia,2021-08-06,Oxford/AstraZeneca,841922
Slovakia,2021-08-13,Oxford/AstraZeneca,842332
Slovakia,2021-08-20,Oxford/AstraZeneca,842401
Slovakia,2021-08-27,Oxford/AstraZeneca,842520
Slovakia,2021-09-03,Oxford/AstraZeneca,842592
Slovakia,2021-09-17,Oxford/AstraZeneca,842613
Slovakia,2021-09-24,Oxford/AstraZeneca,842647
Slovakia,2021-10-01,Oxford/AstraZeneca,842744
Slovakia,2021-10-08,Oxford/AstraZeneca,842762
Slovakia,2021-10-15,Oxford/AstraZeneca,842764
Slovakia,2021-10-22,Oxford/AstraZeneca,842768
Slovakia,2022-01-21,Oxford/AstraZeneca,842769
Slovakia,2022-01-28,Oxford/AstraZeneca,842769
Slovakia,2021-01-01,Pfizer/BioNTech,0
Slovakia,2021-01-08,Pfizer/BioNTech,30155
Slovakia,2021-01-15,Pfizer/BioNTech,63465
Slovakia,2021-01-22,Pfizer/BioNTech,101399
Slovakia,2021-01-29,Pfizer/BioNTech,148452
Slovakia,2021-02-05,Pfizer/BioNTech,215485
Slovakia,2021-02-12,Pfizer/BioNTech,279924
Slovakia,2021-02-19,Pfizer/BioNTech,326215
Slovakia,2021-02-26,Pfizer/BioNTech,377845
Slovakia,2021-03-05,Pfizer/BioNTech,431703
Slovakia,2021-03-12,Pfizer/BioNTech,489739
Slovakia,2021-03-19,Pfizer/BioNTech,563389
Slovakia,2021-03-26,Pfizer/BioNTech,642565
Slovakia,2021-04-02,Pfizer/BioNTech,708593
Slovakia,2021-04-09,Pfizer/BioNTech,781308
Slovakia,2021-04-16,Pfizer/BioNTech,865258
Slovakia,2021-04-23,Pfizer/BioNTech,950468
Slovakia,2021-04-30,Pfizer/BioNTech,1061932
Slovakia,2021-05-07,Pfizer/BioNTech,1198937
Slovakia,2021-05-14,Pfizer/BioNTech,1364009
Slovakia,2021-05-21,Pfizer/BioNTech,1533500
Slovakia,2021-05-28,Pfizer/BioNTech,1714228
Slovakia,2021-06-04,Pfizer/BioNTech,1886949
Slovakia,2021-06-11,Pfizer/BioNTech,2065810
Slovakia,2021-06-18,Pfizer/BioNTech,2236465
Slovakia,2021-06-25,Pfizer/BioNTech,2397754
Slovakia,2021-07-02,Pfizer/BioNTech,2543377
Slovakia,2021-07-09,Pfizer/BioNTech,2652517
Slovakia,2021-07-16,Pfizer/BioNTech,2739578
Slovakia,2021-07-23,Pfizer/BioNTech,2798980
Slovakia,2021-07-30,Pfizer/BioNTech,2861378
Slovakia,2021-08-06,Pfizer/BioNTech,2925555
Slovakia,2021-08-13,Pfizer/BioNTech,2979896
Slovakia,2021-08-20,Pfizer/BioNTech,3020320
Slovakia,2021-08-27,Pfizer/BioNTech,3055275
Slovakia,2021-09-03,Pfizer/BioNTech,3083058
Slovakia,2021-09-10,Pfizer/BioNTech,3110614
Slovakia,2021-09-17,Pfizer/BioNTech,3134888
Slovakia,2021-09-24,Pfizer/BioNTech,3160442
Slovakia,2021-10-01,Pfizer/BioNTech,3180262
Slovakia,2021-10-08,Pfizer/BioNTech,3197900
Slovakia,2021-10-15,Pfizer/BioNTech,3214551
Slovakia,2021-10-22,Pfizer/BioNTech,3249942
Slovakia,2021-10-29,Pfizer/BioNTech,3302873
Slovakia,2021-11-05,Pfizer/BioNTech,3383276
Slovakia,2021-11-12,Pfizer/BioNTech,3494526
Slovakia,2021-11-19,Pfizer/BioNTech,3610492
Slovakia,2021-11-26,Pfizer/BioNTech,3746366
Slovakia,2021-12-03,Pfizer/BioNTech,3874857
Slovakia,2021-12-10,Pfizer/BioNTech,4034248
Slovakia,2021-12-17,Pfizer/BioNTech,4240880
Slovakia,2021-12-24,Pfizer/BioNTech,4360104
Slovakia,2021-12-31,Pfizer/BioNTech,4494331
Slovakia,2022-01-07,Pfizer/BioNTech,4649807
Slovakia,2022-01-14,Pfizer/BioNTech,4795522
Slovakia,2022-01-21,Pfizer/BioNTech,4903764
Slovakia,2022-01-28,Pfizer/BioNTech,4979138
Slovakia,2022-02-04,Pfizer/BioNTech,5016220
Slovakia,2022-02-11,Pfizer/BioNTech,5039244
Slovakia,2022-02-18,Pfizer/BioNTech,5053451
Slovakia,2022-02-25,Pfizer/BioNTech,5062674
Slovakia,2022-03-04,Pfizer/BioNTech,5065073
Slovakia,2021-03-05,Sputnik V,0
Slovakia,2021-06-11,Sputnik V,4130
Slovakia,2021-06-18,Sputnik V,7877
Slovakia,2021-06-25,Sputnik V,11530
Slovakia,2021-07-02,Sputnik V,17557
Slovakia,2021-07-09,Sputnik V,23815
Slovakia,2021-07-16,Sputnik V,27968
Slovakia,2021-07-23,Sputnik V,30669
Slovakia,2021-07-30,Sputnik V,34424
Slovakia,2021-08-06,Sputnik V,35391
Slovakia,2021-08-13,Sputnik V,36480
Slovakia,2021-08-20,Sputnik V,37580
Slovakia,2021-08-27,Sputnik V,37703
Slovakia,2021-09-03,Sputnik V,37709
Slovakia,2021-12-24,Sputnik V,37711
