location,date,vaccine,total_vaccinations
Slovenia,2021-01-01,Pfizer/BioNTech,6200
Slovenia,2021-01-08,Pfizer/BioNTech,30631
Slovenia,2021-01-15,Pfizer/BioNTech,49706
Slovenia,2021-01-22,Moderna,517
Slovenia,2021-01-22,Pfizer/BioNTech,64420
Slovenia,2021-01-29,Moderna,520
Slovenia,2021-01-29,Pfizer/BioNTech,82429
Slovenia,2021-02-05,Moderna,951
Slovenia,2021-02-05,Pfizer/BioNTech,101798
Slovenia,2021-02-12,Moderna,3828
Slovenia,2021-02-12,Oxford/AstraZeneca,2203
Slovenia,2021-02-12,Pfizer/BioNTech,118916
Slovenia,2021-02-19,Moderna,4571
Slovenia,2021-02-19,Oxford/AstraZeneca,6236
Slovenia,2021-02-19,Pfizer/BioNTech,139367
Slovenia,2021-02-26,Moderna,4886
Slovenia,2021-02-26,Oxford/AstraZeneca,14002
Slovenia,2021-02-26,Pfizer/BioNTech,160051
Slovenia,2021-03-05,Moderna,9081
Slovenia,2021-03-05,Oxford/AstraZeneca,24840
Slovenia,2021-03-05,Pfizer/BioNTech,179569
Slovenia,2021-03-12,Moderna,12003
Slovenia,2021-03-12,Oxford/AstraZeneca,52733
Slovenia,2021-03-12,Pfizer/BioNTech,201088
Slovenia,2021-03-19,Moderna,17915
Slovenia,2021-03-19,Oxford/AstraZeneca,56044
Slovenia,2021-03-19,Pfizer/BioNTech,222604
Slovenia,2021-03-26,Moderna,20916
Slovenia,2021-03-26,Oxford/AstraZeneca,78456
Slovenia,2021-03-26,Pfizer/BioNTech,251859
Slovenia,2021-04-02,Moderna,38889
Slovenia,2021-04-02,Oxford/AstraZeneca,90881
Slovenia,2021-04-02,Pfizer/BioNTech,281906
Slovenia,2021-04-09,Moderna,42042
Slovenia,2021-04-09,Oxford/AstraZeneca,102413
Slovenia,2021-04-09,Pfizer/BioNTech,322769
Slovenia,2021-04-16,Moderna,53267
Slovenia,2021-04-16,Oxford/AstraZeneca,108199
Slovenia,2021-04-16,Pfizer/BioNTech,364355
Slovenia,2021-04-23,Moderna,59926
Slovenia,2021-04-23,Oxford/AstraZeneca,127853
Slovenia,2021-04-23,Pfizer/BioNTech,405689
Slovenia,2021-04-30,Johnson&Johnson,72
Slovenia,2021-04-30,Moderna,69410
Slovenia,2021-04-30,Oxford/AstraZeneca,131489
Slovenia,2021-04-30,Pfizer/BioNTech,452605
Slovenia,2021-05-07,Johnson&Johnson,1652
Slovenia,2021-05-07,Moderna,78754
Slovenia,2021-05-07,Oxford/AstraZeneca,143002
Slovenia,2021-05-07,Pfizer/BioNTech,527609
Slovenia,2021-05-14,Johnson&Johnson,9898
Slovenia,2021-05-14,Moderna,86916
Slovenia,2021-05-14,Oxford/AstraZeneca,164605
Slovenia,2021-05-14,Pfizer/BioNTech,587868
Slovenia,2021-05-21,Johnson&Johnson,16026
Slovenia,2021-05-21,Moderna,106515
Slovenia,2021-05-21,Oxford/AstraZeneca,194359
Slovenia,2021-05-21,Pfizer/BioNTech,645730
Slovenia,2021-05-28,Johnson&Johnson,20975
Slovenia,2021-05-28,Moderna,117338
Slovenia,2021-05-28,Oxford/AstraZeneca,218596
Slovenia,2021-05-28,Pfizer/BioNTech,703932
Slovenia,2021-06-04,Johnson&Johnson,32924
Slovenia,2021-06-04,Moderna,125057
Slovenia,2021-06-04,Oxford/AstraZeneca,245970
Slovenia,2021-06-04,Pfizer/BioNTech,789965
Slovenia,2021-06-11,Johnson&Johnson,38150
Slovenia,2021-06-11,Moderna,132845
Slovenia,2021-06-11,Oxford/AstraZeneca,269325
Slovenia,2021-06-11,Pfizer/BioNTech,869061
Slovenia,2021-06-18,Johnson&Johnson,43807
Slovenia,2021-06-18,Moderna,147747
Slovenia,2021-06-18,Oxford/AstraZeneca,283153
Slovenia,2021-06-18,Pfizer/BioNTech,905555
Slovenia,2021-06-25,Johnson&Johnson,47033
Slovenia,2021-06-25,Moderna,158099
Slovenia,2021-06-25,Oxford/AstraZeneca,291824
Slovenia,2021-06-25,Pfizer/BioNTech,948712
Slovenia,2021-07-02,Johnson&Johnson,50274
Slovenia,2021-07-02,Moderna,164926
Slovenia,2021-07-02,Oxford/AstraZeneca,303060
Slovenia,2021-07-02,Pfizer/BioNTech,995371
Slovenia,2021-07-09,Johnson&Johnson,55277
Slovenia,2021-07-09,Moderna,171858
Slovenia,2021-07-09,Oxford/AstraZeneca,310596
Slovenia,2021-07-09,Pfizer/BioNTech,1031689
Slovenia,2021-07-16,Johnson&Johnson,63977
Slovenia,2021-07-16,Moderna,176554
Slovenia,2021-07-16,Oxford/AstraZeneca,315477
Slovenia,2021-07-16,Pfizer/BioNTech,1063107
Slovenia,2021-07-23,Johnson&Johnson,72452
Slovenia,2021-07-23,Moderna,178571
Slovenia,2021-07-23,Oxford/AstraZeneca,318636
Slovenia,2021-07-23,Pfizer/BioNTech,1091305
Slovenia,2021-07-30,Johnson&Johnson,79679
Slovenia,2021-07-30,Moderna,180230
Slovenia,2021-07-30,Oxford/AstraZeneca,321312
Slovenia,2021-07-30,Pfizer/BioNTech,1120424
Slovenia,2021-08-06,Johnson&Johnson,84602
Slovenia,2021-08-06,Moderna,181942
Slovenia,2021-08-06,Oxford/AstraZeneca,322889
Slovenia,2021-08-06,Pfizer/BioNTech,1149753
Slovenia,2021-08-13,Johnson&Johnson,88719
Slovenia,2021-08-13,Moderna,183209
Slovenia,2021-08-13,Oxford/AstraZeneca,323792
Slovenia,2021-08-13,Pfizer/BioNTech,1176769
Slovenia,2021-08-20,Johnson&Johnson,93312
Slovenia,2021-08-20,Moderna,184740
Slovenia,2021-08-20,Oxford/AstraZeneca,324478
Slovenia,2021-08-20,Pfizer/BioNTech,1206566
Slovenia,2021-08-27,Johnson&Johnson,97478
Slovenia,2021-08-27,Moderna,185905
Slovenia,2021-08-27,Oxford/AstraZeneca,324938
Slovenia,2021-08-27,Pfizer/BioNTech,1236114
Slovenia,2021-09-03,Johnson&Johnson,101068
Slovenia,2021-09-03,Moderna,186979
Slovenia,2021-09-03,Oxford/AstraZeneca,325668
Slovenia,2021-09-03,Pfizer/BioNTech,1260181
Slovenia,2021-09-10,Johnson&Johnson,107596
Slovenia,2021-09-10,Moderna,188107
Slovenia,2021-09-10,Oxford/AstraZeneca,326027
Slovenia,2021-09-10,Pfizer/BioNTech,1293813
Slovenia,2021-09-17,Johnson&Johnson,125837
Slovenia,2021-09-17,Moderna,190510
Slovenia,2021-09-17,Oxford/AstraZeneca,326441
Slovenia,2021-09-17,Pfizer/BioNTech,1363777
Slovenia,2021-09-24,Johnson&Johnson,133676
Slovenia,2021-09-24,Moderna,192162
Slovenia,2021-09-24,Oxford/AstraZeneca,326667
Slovenia,2021-09-24,Pfizer/BioNTech,1401849
Slovenia,2021-10-01,Johnson&Johnson,136421
Slovenia,2021-10-01,Moderna,193340
Slovenia,2021-10-01,Oxford/AstraZeneca,326780
Slovenia,2021-10-01,Pfizer/BioNTech,1433820
Slovenia,2021-10-08,Johnson&Johnson,136422
Slovenia,2021-10-08,Moderna,194227
Slovenia,2021-10-08,Oxford/AstraZeneca,326866
Slovenia,2021-10-08,Pfizer/BioNTech,1478360
Slovenia,2021-10-15,Johnson&Johnson,136433
Slovenia,2021-10-15,Moderna,195438
Slovenia,2021-10-15,Oxford/AstraZeneca,326897
Slovenia,2021-10-15,Pfizer/BioNTech,1509125
Slovenia,2021-10-22,Johnson&Johnson,136444
Slovenia,2021-10-22,Moderna,196525
Slovenia,2021-10-22,Oxford/AstraZeneca,326947
Slovenia,2021-10-22,Pfizer/BioNTech,1531452
Slovenia,2021-10-29,Johnson&Johnson,136455
Slovenia,2021-10-29,Moderna,197458
Slovenia,2021-10-29,Oxford/AstraZeneca,326984
Slovenia,2021-10-29,Pfizer/BioNTech,1553164
Slovenia,2021-11-05,Johnson&Johnson,136465
Slovenia,2021-11-05,Moderna,199844
Slovenia,2021-11-05,Oxford/AstraZeneca,327003
Slovenia,2021-11-05,Pfizer/BioNTech,1604969
Slovenia,2021-11-12,Johnson&Johnson,136467
Slovenia,2021-11-12,Moderna,204584
Slovenia,2021-11-12,Oxford/AstraZeneca,327020
Slovenia,2021-11-12,Pfizer/BioNTech,1698213
Slovenia,2021-11-19,Johnson&Johnson,136472
Slovenia,2021-11-19,Moderna,209296
Slovenia,2021-11-19,Oxford/AstraZeneca,327029
Slovenia,2021-11-19,Pfizer/BioNTech,1781277
Slovenia,2021-11-26,Johnson&Johnson,136474
Slovenia,2021-11-26,Moderna,213088
