location,date,vaccine,total_vaccinations
South Africa,2022-03-04,Johnson&Johnson,7833589
South Africa,2022-03-07,Johnson&Johnson,7863784
South Africa,2022-03-08,Johnson&Johnson,7863784
South Africa,2022-03-09,Johnson&Johnson,7885691
South Africa,2022-03-10,Johnson&Johnson,7908063
South Africa,2022-03-11,Johnson&Johnson,7951747
South Africa,2022-03-12,Johnson&Johnson,7951747
South Africa,2022-03-13,Johnson&Johnson,7955873
South Africa,2022-03-14,Johnson&Johnson,7957872
South Africa,2022-03-15,Johnson&Johnson,7975967
South Africa,2022-03-16,Johnson&Johnson,7996009
South Africa,2022-03-17,Johnson&Johnson,8017571
South Africa,2022-03-04,Pfizer/BioNTech,24156328
South Africa,2022-03-07,Pfizer/BioNTech,24262368
South Africa,2022-03-08,Pfizer/BioNTech,24262368
South Africa,2022-03-09,Pfizer/BioNTech,24339805
South Africa,2022-03-10,Pfizer/BioNTech,24414628
South Africa,2022-03-11,Pfizer/BioNTech,24566087
South Africa,2022-03-12,Pfizer/BioNTech,24566087
South Africa,2022-03-13,Pfizer/BioNTech,24585124
South Africa,2022-03-14,Pfizer/BioNTech,24590470
South Africa,2022-03-15,Pfizer/BioNTech,24654919
South Africa,2022-03-16,Pfizer/BioNTech,24726408
South Africa,2022-03-17,Pfizer/BioNTech,24799921
