location,date,vaccine,total_vaccinations
South Korea,2021-02-26,Johnson&Johnson,42
South Korea,2021-02-27,Johnson&Johnson,44
South Korea,2021-02-28,Johnson&Johnson,44
South Korea,2021-03-01,Johnson&Johnson,48
South Korea,2021-03-02,Johnson&Johnson,51
South Korea,2021-03-03,Johnson&Johnson,55
South Korea,2021-03-04,Johnson&Johnson,65
South Korea,2021-03-05,Johnson&Johnson,75
South Korea,2021-03-06,Johnson&Johnson,98
South Korea,2021-03-07,Johnson&Johnson,119
South Korea,2021-03-08,Johnson&Johnson,146
South Korea,2021-03-09,Johnson&Johnson,167
South Korea,2021-03-10,Johnson&Johnson,438
South Korea,2021-03-11,Johnson&Johnson,667
South Korea,2021-03-12,Johnson&Johnson,916
South Korea,2021-03-13,Johnson&Johnson,976
South Korea,2021-03-14,Johnson&Johnson,1030
South Korea,2021-03-15,Johnson&Johnson,1926
South Korea,2021-03-16,Johnson&Johnson,2611
South Korea,2021-03-17,Johnson&Johnson,3219
South Korea,2021-03-18,Johnson&Johnson,3593
South Korea,2021-03-19,Johnson&Johnson,4176
South Korea,2021-03-20,Johnson&Johnson,4203
South Korea,2021-03-21,Johnson&Johnson,4222
South Korea,2021-03-22,Johnson&Johnson,4379
South Korea,2021-03-23,Johnson&Johnson,4591
South Korea,2021-03-24,Johnson&Johnson,4616
South Korea,2021-03-25,Johnson&Johnson,4905
South Korea,2021-03-26,Johnson&Johnson,5154
South Korea,2021-03-27,Johnson&Johnson,5181
South Korea,2021-03-28,Johnson&Johnson,5190
South Korea,2021-03-29,Johnson&Johnson,5214
South Korea,2021-03-30,Johnson&Johnson,5255
South Korea,2021-03-31,Johnson&Johnson,5305
South Korea,2021-04-01,Johnson&Johnson,5424
South Korea,2021-04-02,Johnson&Johnson,5985
South Korea,2021-04-03,Johnson&Johnson,6070
South Korea,2021-04-04,Johnson&Johnson,6110
South Korea,2021-04-05,Johnson&Johnson,7160
South Korea,2021-04-06,Johnson&Johnson,8083
South Korea,2021-04-07,Johnson&Johnson,9426
South Korea,2021-04-08,Johnson&Johnson,10795
South Korea,2021-04-09,Johnson&Johnson,12395
South Korea,2021-04-10,Johnson&Johnson,13119
South Korea,2021-04-11,Johnson&Johnson,13202
South Korea,2021-04-12,Johnson&Johnson,14880
South Korea,2021-04-13,Johnson&Johnson,15901
South Korea,2021-04-14,Johnson&Johnson,15909
South Korea,2021-04-15,Johnson&Johnson,15913
South Korea,2021-04-16,Johnson&Johnson,15928
South Korea,2021-04-17,Johnson&Johnson,15932
South Korea,2021-04-18,Johnson&Johnson,15936
South Korea,2021-04-19,Johnson&Johnson,15940
South Korea,2021-04-20,Johnson&Johnson,15944
South Korea,2021-04-21,Johnson&Johnson,15970
South Korea,2021-04-22,Johnson&Johnson,15972
South Korea,2021-04-23,Johnson&Johnson,15982
South Korea,2021-04-24,Johnson&Johnson,15985
South Korea,2021-04-25,Johnson&Johnson,15991
South Korea,2021-04-26,Johnson&Johnson,16006
South Korea,2021-04-27,Johnson&Johnson,16042
South Korea,2021-04-28,Johnson&Johnson,16073
South Korea,2021-04-29,Johnson&Johnson,16121
South Korea,2021-04-30,Johnson&Johnson,17150
South Korea,2021-05-01,Johnson&Johnson,17269
South Korea,2021-05-02,Johnson&Johnson,17291
South Korea,2021-05-03,Johnson&Johnson,18055
South Korea,2021-05-04,Johnson&Johnson,18701
South Korea,2021-05-05,Johnson&Johnson,18858
South Korea,2021-05-06,Johnson&Johnson,19426
South Korea,2021-05-07,Johnson&Johnson,19963
South Korea,2021-05-08,Johnson&Johnson,20002
South Korea,2021-05-09,Johnson&Johnson,20028
South Korea,2021-05-10,Johnson&Johnson,20511
South Korea,2021-05-11,Johnson&Johnson,20906
South Korea,2021-05-12,Johnson&Johnson,21119
South Korea,2021-05-13,Johnson&Johnson,21523
South Korea,2021-05-14,Johnson&Johnson,21925
South Korea,2021-05-15,Johnson&Johnson,21986
South Korea,2021-05-16,Johnson&Johnson,22011
South Korea,2021-05-17,Johnson&Johnson,22227
South Korea,2021-05-18,Johnson&Johnson,22371
South Korea,2021-05-19,Johnson&Johnson,22422
South Korea,2021-05-20,Johnson&Johnson,22618
South Korea,2021-05-21,Johnson&Johnson,22974
South Korea,2021-05-22,Johnson&Johnson,23062
South Korea,2021-05-23,Johnson&Johnson,23077
South Korea,2021-05-24,Johnson&Johnson,23269
South Korea,2021-05-25,Johnson&Johnson,23485
South Korea,2021-05-26,Johnson&Johnson,23636
South Korea,2021-05-27,Johnson&Johnson,24023
South Korea,2021-05-28,Johnson&Johnson,24097
South Korea,2021-05-29,Johnson&Johnson,24144
South Korea,2021-05-30,Johnson&Johnson,24167
South Korea,2021-05-31,Johnson&Johnson,24221
South Korea,2021-06-01,Johnson&Johnson,24366
South Korea,2021-06-02,Johnson&Johnson,24492
South Korea,2021-06-03,Johnson&Johnson,24593
South Korea,2021-06-04,Johnson&Johnson,24829
South Korea,2021-06-05,Johnson&Johnson,24897
South Korea,2021-06-06,Johnson&Johnson,24924
South Korea,2021-06-07,Johnson&Johnson,25075
South Korea,2021-06-08,Johnson&Johnson,25184
South Korea,2021-06-09,Johnson&Johnson,25352
South Korea,2021-06-10,Johnson&Johnson,278479
South Korea,2021-06-11,Johnson&Johnson,481067
South Korea,2021-06-12,Johnson&Johnson,595358
South Korea,2021-06-13,Johnson&Johnson,607158
South Korea,2021-06-14,Johnson&Johnson,779652
South Korea,2021-06-15,Johnson&Johnson,892449
South Korea,2021-06-16,Johnson&Johnson,1070748
South Korea,2021-06-17,Johnson&Johnson,1097056
South Korea,2021-06-18,Johnson&Johnson,1128415
South Korea,2021-06-19,Johnson&Johnson,1147549
