location,date,vaccine,total_vaccinations
Spain,2021-01-08,Johnson&Johnson,0
Spain,2021-01-08,Moderna,1
Spain,2021-01-08,Oxford/AstraZeneca,0
Spain,2021-01-08,Pfizer/BioNTech,420044
Spain,2021-01-15,Johnson&Johnson,0
Spain,2021-01-15,Moderna,7267
Spain,2021-01-15,Oxford/AstraZeneca,0
Spain,2021-01-15,Pfizer/BioNTech,921581
Spain,2021-01-22,Johnson&Johnson,0
Spain,2021-01-22,Moderna,25722
Spain,2021-01-22,Oxford/AstraZeneca,0
Spain,2021-01-22,Pfizer/BioNTech,1244794
Spain,2021-01-29,Johnson&Johnson,0
Spain,2021-01-29,Moderna,29630
Spain,2021-01-29,Oxford/AstraZeneca,0
Spain,2021-01-29,Pfizer/BioNTech,1617145
Spain,2021-02-05,Johnson&Johnson,0
Spain,2021-02-05,Moderna,49921
Spain,2021-02-05,Oxford/AstraZeneca,0
Spain,2021-02-05,Pfizer/BioNTech,2117728
Spain,2021-02-12,Johnson&Johnson,0
Spain,2021-02-12,Moderna,99125
Spain,2021-02-12,Oxford/AstraZeneca,34943
Spain,2021-02-12,Pfizer/BioNTech,2513984
Spain,2021-02-19,Johnson&Johnson,0
Spain,2021-02-19,Moderna,139044
Spain,2021-02-19,Oxford/AstraZeneca,133780
Spain,2021-02-19,Pfizer/BioNTech,2899640
Spain,2021-02-26,Johnson&Johnson,0
Spain,2021-02-26,Moderna,153034
Spain,2021-02-26,Oxford/AstraZeneca,380912
Spain,2021-02-26,Pfizer/BioNTech,3406190
Spain,2021-03-05,Johnson&Johnson,0
Spain,2021-03-05,Moderna,200407
Spain,2021-03-05,Oxford/AstraZeneca,677372
Spain,2021-03-05,Pfizer/BioNTech,3969507
Spain,2021-03-12,Johnson&Johnson,0
Spain,2021-03-12,Moderna,258499
Spain,2021-03-12,Oxford/AstraZeneca,982379
Spain,2021-03-12,Pfizer/BioNTech,4537189
Spain,2021-03-19,Johnson&Johnson,0
Spain,2021-03-19,Moderna,346165
Spain,2021-03-19,Oxford/AstraZeneca,1020011
Spain,2021-03-19,Pfizer/BioNTech,5106688
Spain,2021-03-26,Johnson&Johnson,0
Spain,2021-03-26,Moderna,447643
Spain,2021-03-26,Oxford/AstraZeneca,1448029
Spain,2021-03-26,Pfizer/BioNTech,5804781
Spain,2021-04-02,Johnson&Johnson,0
Spain,2021-04-02,Moderna,550400
Spain,2021-04-02,Oxford/AstraZeneca,1964775
Spain,2021-04-02,Pfizer/BioNTech,6477801
Spain,2021-04-09,Johnson&Johnson,0
Spain,2021-04-09,Moderna,620134
Spain,2021-04-09,Oxford/AstraZeneca,2665149
Spain,2021-04-09,Pfizer/BioNTech,7711584
Spain,2021-04-16,Johnson&Johnson,0
Spain,2021-04-16,Moderna,794707
Spain,2021-04-16,Oxford/AstraZeneca,3200805
Spain,2021-04-16,Pfizer/BioNTech,8999613
Spain,2021-04-23,Johnson&Johnson,33995
Spain,2021-04-23,Moderna,966238
Spain,2021-04-23,Oxford/AstraZeneca,3598790
Spain,2021-04-23,Pfizer/BioNTech,10281861
Spain,2021-04-30,Johnson&Johnson,132222
Spain,2021-04-30,Moderna,1129267
Spain,2021-04-30,Oxford/AstraZeneca,3991612
Spain,2021-04-30,Pfizer/BioNTech,12054912
Spain,2021-05-07,Johnson&Johnson,194263
Spain,2021-05-07,Moderna,1342274
Spain,2021-05-07,Oxford/AstraZeneca,4628701
Spain,2021-05-07,Pfizer/BioNTech,13825620
Spain,2021-05-14,Johnson&Johnson,228785
Spain,2021-05-14,Moderna,1785634
Spain,2021-05-14,Oxford/AstraZeneca,4866940
Spain,2021-05-14,Pfizer/BioNTech,15600205
Spain,2021-05-21,Johnson&Johnson,326760
Spain,2021-05-21,Moderna,2154324
Spain,2021-05-21,Oxford/AstraZeneca,4977985
Spain,2021-05-21,Pfizer/BioNTech,17365297
Spain,2021-05-28,Johnson&Johnson,443543
Spain,2021-05-28,Moderna,2493160
Spain,2021-05-28,Oxford/AstraZeneca,5155272
Spain,2021-05-28,Pfizer/BioNTech,19024713
Spain,2021-06-04,Johnson&Johnson,630925
Spain,2021-06-04,Moderna,2762848
Spain,2021-06-04,Oxford/AstraZeneca,5531626
Spain,2021-06-04,Pfizer/BioNTech,21192329
Spain,2021-06-11,Johnson&Johnson,862690
Spain,2021-06-11,Moderna,3155244
Spain,2021-06-11,Oxford/AstraZeneca,5848966
Spain,2021-06-11,Pfizer/BioNTech,23648582
Spain,2021-06-18,Johnson&Johnson,1060124
Spain,2021-06-18,Moderna,3511128
Spain,2021-06-18,Oxford/AstraZeneca,6217617
Spain,2021-06-18,Pfizer/BioNTech,26013493
Spain,2021-06-25,Johnson&Johnson,1225270
Spain,2021-06-25,Moderna,3840153
Spain,2021-06-25,Oxford/AstraZeneca,6964290
Spain,2021-06-25,Pfizer/BioNTech,28522990
Spain,2021-07-02,Johnson&Johnson,1365410
Spain,2021-07-02,Moderna,4121536
Spain,2021-07-02,Oxford/AstraZeneca,7765121
Spain,2021-07-02,Pfizer/BioNTech,31298265
Spain,2021-07-09,Johnson&Johnson,1501124
Spain,2021-07-09,Moderna,4504617
Spain,2021-07-09,Oxford/AstraZeneca,8603819
Spain,2021-07-09,Pfizer/BioNTech,33670258
Spain,2021-07-16,Johnson&Johnson,1644957
Spain,2021-07-16,Moderna,5056650
Spain,2021-07-16,Oxford/AstraZeneca,9146126
Spain,2021-07-16,Pfizer/BioNTech,35708776
Spain,2021-07-23,Johnson&Johnson,1782478
Spain,2021-07-23,Moderna,5565389
Spain,2021-07-23,Oxford/AstraZeneca,9451029
Spain,2021-07-23,Pfizer/BioNTech,37669660
Spain,2021-07-30,Johnson&Johnson,1839886
Spain,2021-07-30,Moderna,6058517
Spain,2021-07-30,Oxford/AstraZeneca,9617918
Spain,2021-07-30,Pfizer/BioNTech,39376583
Spain,2021-08-06,Johnson&Johnson,1887327
Spain,2021-08-06,Moderna,6503447
Spain,2021-08-06,Oxford/AstraZeneca,9684831
Spain,2021-08-06,Pfizer/BioNTech,40821337
Spain,2021-08-13,Johnson&Johnson,1918544
Spain,2021-08-13,Moderna,6959240
Spain,2021-08-13,Oxford/AstraZeneca,9719861
Spain,2021-08-13,Pfizer/BioNTech,42098773
Spain,2021-08-20,Johnson&Johnson,1933234
Spain,2021-08-20,Moderna,7390871
Spain,2021-08-20,Oxford/AstraZeneca,9738922
Spain,2021-08-20,Pfizer/BioNTech,43146833
Spain,2021-08-27,Johnson&Johnson,1946107
Spain,2021-08-27,Moderna,7753743
Spain,2021-08-27,Oxford/AstraZeneca,9755827
Spain,2021-08-27,Pfizer/BioNTech,44005072
Spain,2021-09-03,Johnson&Johnson,1953959
Spain,2021-09-03,Moderna,8028258
Spain,2021-09-03,Oxford/AstraZeneca,9768428
Spain,2021-09-03,Pfizer/BioNTech,44761106
Spain,2021-09-10,Johnson&Johnson,1959207
Spain,2021-09-10,Moderna,8156265
Spain,2021-09-10,Oxford/AstraZeneca,9778470
Spain,2021-09-10,Pfizer/BioNTech,45232780
Spain,2021-09-17,Johnson&Johnson,1963735
Spain,2021-09-17,Moderna,8247290
Spain,2021-09-17,Oxford/AstraZeneca,9784833
Spain,2021-09-17,Pfizer/BioNTech,45564666
Spain,2021-09-24,Johnson&Johnson,1968241
Spain,2021-09-24,Moderna,8333475
Spain,2021-09-24,Oxford/AstraZeneca,9789941
Spain,2021-09-24,Pfizer/BioNTech,45926387
Spain,2021-10-01,Johnson&Johnson,1971698
Spain,2021-10-01,Moderna,8406487
Spain,2021-10-01,Oxford/AstraZeneca,9792593
Spain,2021-10-01,Pfizer/BioNTech,46224430
Spain,2021-10-08,Johnson&Johnson,1974632
Spain,2021-10-08,Moderna,8458427
Spain,2021-10-08,Oxford/AstraZeneca,9794104
Spain,2021-10-08,Pfizer/BioNTech,46430750
Spain,2021-10-15,Johnson&Johnson,1976837
Spain,2021-10-15,Moderna,8496919
Spain,2021-10-15,Oxford/AstraZeneca,9794884
Spain,2021-10-15,Pfizer/BioNTech,46576309
Spain,2021-10-22,Johnson&Johnson,1979377
Spain,2021-10-22,Moderna,8545272
Spain,2021-10-22,Oxford/AstraZeneca,9795595
Spain,2021-10-22,Pfizer/BioNTech,46834394
Spain,2021-10-29,Johnson&Johnson,1980985
Spain,2021-10-29,Moderna,8591986
Spain,2021-10-29,Oxford/AstraZeneca,9796364
Spain,2021-10-29,Pfizer/BioNTech,47395582
Spain,2021-11-05,Johnson&Johnson,1981573
Spain,2021-11-05,Moderna,8691180
Spain,2021-11-05,Oxford/AstraZeneca,9796379
Spain,2021-11-05,Pfizer/BioNTech,48069620
Spain,2021-11-12,Johnson&Johnson,1981918
Spain,2021-11-12,Moderna,8858169
Spain,2021-11-12,Oxford/AstraZeneca,9796382
Spain,2021-11-12,Pfizer/BioNTech,49046639
Spain,2021-11-19,Johnson&Johnson,1982090
Spain,2021-11-19,Moderna,9099186
Spain,2021-11-19,Oxford/AstraZeneca,9796384
Spain,2021-11-19,Pfizer/BioNTech,50073113
Spain,2021-11-26,Johnson&Johnson,1982284
Spain,2021-11-26,Moderna,9486671
Spain,2021-11-26,Oxford/AstraZeneca,9796389
Spain,2021-11-26,Pfizer/BioNTech,51148890
Spain,2021-12-03,Johnson&Johnson,1982365
Spain,2021-12-03,Moderna,10414831
Spain,2021-12-03,Oxford/AstraZeneca,9796407
Spain,2021-12-03,Pfizer/BioNTech,52409887
Spain,2021-12-10,Johnson&Johnson,1982425
Spain,2021-12-10,Moderna,11448002
Spain,2021-12-10,Oxford/AstraZeneca,9796412
Spain,2021-12-10,Pfizer/BioNTech,53009813
Spain,2021-12-17,Johnson&Johnson,1982501
Spain,2021-12-17,Moderna,13021768
Spain,2021-12-17,Oxford/AstraZeneca,9796421
