location,date,vaccine,total_vaccinations
United States,2021-03-08,Johnson&Johnson,208590
United States,2021-03-09,Johnson&Johnson,308181
United States,2021-03-10,Johnson&Johnson,458911
United States,2021-03-11,Johnson&Johnson,638469
United States,2021-03-12,Johnson&Johnson,873726
United States,2021-03-13,Johnson&Johnson,1189207
United States,2021-03-14,Johnson&Johnson,1273958
United States,2021-03-15,Johnson&Johnson,1428465
United States,2021-03-16,Johnson&Johnson,1569675
United States,2021-03-17,Johnson&Johnson,1766131
United States,2021-03-18,Johnson&Johnson,1911052
United States,2021-03-19,Johnson&Johnson,2025349
United States,2021-03-20,Johnson&Johnson,2163681
United States,2021-03-21,Johnson&Johnson,2298614
United States,2021-03-22,Johnson&Johnson,2406337
United States,2021-03-23,Johnson&Johnson,2489153
United States,2021-03-24,Johnson&Johnson,2622182
United States,2021-03-25,Johnson&Johnson,2734367
United States,2021-03-26,Johnson&Johnson,2863246
United States,2021-03-27,Johnson&Johnson,2982453
United States,2021-03-28,Johnson&Johnson,3090712
United States,2021-03-29,Johnson&Johnson,3155418
United States,2021-03-30,Johnson&Johnson,3215657
United States,2021-03-31,Johnson&Johnson,3307113
United States,2021-04-01,Johnson&Johnson,3429880
United States,2021-04-02,Johnson&Johnson,3617377
United States,2021-04-03,Johnson&Johnson,3840647
United States,2021-04-04,Johnson&Johnson,4054089
United States,2021-04-05,Johnson&Johnson,4204015
United States,2021-04-06,Johnson&Johnson,4299901
United States,2021-04-07,Johnson&Johnson,4544552
United States,2021-04-08,Johnson&Johnson,4917225
United States,2021-04-09,Johnson&Johnson,5382365
United States,2021-04-10,Johnson&Johnson,5972101
United States,2021-04-11,Johnson&Johnson,6453740
United States,2021-04-12,Johnson&Johnson,6859877
United States,2021-04-13,Johnson&Johnson,7233726
United States,2021-04-14,Johnson&Johnson,7517671
United States,2021-04-15,Johnson&Johnson,7736781
United States,2021-04-16,Johnson&Johnson,7848027
United States,2021-04-17,Johnson&Johnson,7902746
United States,2021-04-18,Johnson&Johnson,7935549
United States,2021-04-19,Johnson&Johnson,7949021
United States,2021-04-20,Johnson&Johnson,7961251
United States,2021-04-21,Johnson&Johnson,7993255
United States,2021-04-22,Johnson&Johnson,8018365
United States,2021-04-23,Johnson&Johnson,8040727
United States,2021-04-24,Johnson&Johnson,8058239
United States,2021-04-25,Johnson&Johnson,8079863
United States,2021-04-26,Johnson&Johnson,8087269
United States,2021-04-27,Johnson&Johnson,8097650
United States,2021-04-28,Johnson&Johnson,8124392
United States,2021-04-29,Johnson&Johnson,8166410
United States,2021-04-30,Johnson&Johnson,8231139
United States,2021-05-01,Johnson&Johnson,8318546
United States,2021-05-02,Johnson&Johnson,8374395
United States,2021-05-03,Johnson&Johnson,8409505
United States,2021-05-04,Johnson&Johnson,8449067
United States,2021-05-05,Johnson&Johnson,8516437
United States,2021-05-06,Johnson&Johnson,8627243
United States,2021-05-07,Johnson&Johnson,8739657
United States,2021-05-08,Johnson&Johnson,8844369
United States,2021-05-09,Johnson&Johnson,8933802
United States,2021-05-10,Johnson&Johnson,9038423
United States,2021-05-11,Johnson&Johnson,9188411
United States,2021-05-12,Johnson&Johnson,9266062
United States,2021-05-13,Johnson&Johnson,9352742
United States,2021-05-14,Johnson&Johnson,9431604
United States,2021-05-15,Johnson&Johnson,9558399
United States,2021-05-16,Johnson&Johnson,9637126
United States,2021-05-17,Johnson&Johnson,9697720
United States,2021-05-18,Johnson&Johnson,9751200
United States,2021-05-19,Johnson&Johnson,9836616
United States,2021-05-20,Johnson&Johnson,9944636
United States,2021-05-21,Johnson&Johnson,10051548
United States,2021-05-22,Johnson&Johnson,10163242
United States,2021-05-23,Johnson&Johnson,10265423
United States,2021-05-24,Johnson&Johnson,10323402
United States,2021-05-25,Johnson&Johnson,10381859
