location,date,vaccine,total_vaccinations
Uruguay,2021-02-27,Oxford/AstraZeneca,5
Uruguay,2021-02-28,Oxford/AstraZeneca,7
Uruguay,2021-03-01,Oxford/AstraZeneca,19
Uruguay,2021-03-02,Oxford/AstraZeneca,29
Uruguay,2021-03-03,Oxford/AstraZeneca,36
Uruguay,2021-03-04,Oxford/AstraZeneca,37
Uruguay,2021-03-05,Oxford/AstraZeneca,42
Uruguay,2021-03-06,Oxford/AstraZeneca,48
Uruguay,2021-03-07,Oxford/AstraZeneca,54
Uruguay,2021-03-08,Oxford/AstraZeneca,55
Uruguay,2021-03-09,Oxford/AstraZeneca,57
Uruguay,2021-03-10,Oxford/AstraZeneca,58
Uruguay,2021-03-11,Oxford/AstraZeneca,61
Uruguay,2021-03-12,Oxford/AstraZeneca,61
Uruguay,2021-03-13,Oxford/AstraZeneca,62
Uruguay,2021-03-14,Oxford/AstraZeneca,62
Uruguay,2021-03-15,Oxford/AstraZeneca,66
Uruguay,2021-03-16,Oxford/AstraZeneca,69
Uruguay,2021-03-17,Oxford/AstraZeneca,70
Uruguay,2021-03-18,Oxford/AstraZeneca,71
Uruguay,2021-03-19,Oxford/AstraZeneca,100
Uruguay,2021-03-20,Oxford/AstraZeneca,106
Uruguay,2021-03-21,Oxford/AstraZeneca,106
Uruguay,2021-03-22,Oxford/AstraZeneca,107
Uruguay,2021-03-23,Oxford/AstraZeneca,110
Uruguay,2021-03-24,Oxford/AstraZeneca,114
Uruguay,2021-03-25,Oxford/AstraZeneca,117
Uruguay,2021-03-26,Oxford/AstraZeneca,119
Uruguay,2021-03-27,Oxford/AstraZeneca,125
Uruguay,2021-03-28,Oxford/AstraZeneca,126
Uruguay,2021-03-29,Oxford/AstraZeneca,132
Uruguay,2021-03-30,Oxford/AstraZeneca,132
Uruguay,2021-03-31,Oxford/AstraZeneca,136
Uruguay,2021-04-01,Oxford/AstraZeneca,141
Uruguay,2021-04-02,Oxford/AstraZeneca,150
Uruguay,2021-04-03,Oxford/AstraZeneca,155
Uruguay,2021-04-04,Oxford/AstraZeneca,160
Uruguay,2021-04-05,Oxford/AstraZeneca,166
Uruguay,2021-04-06,Oxford/AstraZeneca,173
Uruguay,2021-04-07,Oxford/AstraZeneca,195
Uruguay,2021-04-08,Oxford/AstraZeneca,200
Uruguay,2021-04-09,Oxford/AstraZeneca,208
Uruguay,2021-04-10,Oxford/AstraZeneca,211
Uruguay,2021-04-11,Oxford/AstraZeneca,217
Uruguay,2021-04-12,Oxford/AstraZeneca,226
Uruguay,2021-04-13,Oxford/AstraZeneca,230
Uruguay,2021-04-14,Oxford/AstraZeneca,240
Uruguay,2021-04-15,Oxford/AstraZeneca,262
