location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Sweden,2021-01-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,2477,1887,0,
Sweden,2021-01-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,133293,113493,452,
Sweden,2021-01-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,250033,213087,9615,
Sweden,2021-01-31,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,341561,274843,31284,
Sweden,2021-02-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,442086,315722,82175,
Sweden,2021-02-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,560470,360001,148799,
Sweden,2021-02-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,715549,427346,229942,
Sweden,2021-02-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,872619,525568,282981,
Sweden,2021-03-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,1063130,674328,319241,
Sweden,2021-03-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,1285100,853169,356490,
