module,execution_time (sec),success,error
cowidev.vax.batch.australia,2.3,True,
cowidev.vax.batch.austria,,,
cowidev.vax.batch.belgium,4.58,True,
cowidev.vax.batch.bolivia,2.34,True,
cowidev.vax.batch.canada,1.61,True,
cowidev.vax.batch.chile,17.73,True,
cowidev.vax.batch.czechia,2.36,True,
cowidev.vax.batch.denmark,24.43,True,
cowidev.vax.batch.ecdc,52.78,True,
cowidev.vax.batch.ecuador,1.99,True,
cowidev.vax.batch.estonia,0.88,True,
cowidev.vax.batch.france,0.59,True,
cowidev.vax.batch.germany,1.09,True,
cowidev.vax.batch.greece,7.61,True,
cowidev.vax.batch.hong_kong,0.39,True,
cowidev.vax.batch.indonesia,7.44,True,
cowidev.vax.batch.ireland,1.86,True,
cowidev.vax.batch.israel,13.96,True,
cowidev.vax.batch.italy,3.65,True,
cowidev.vax.batch.jersey,0.55,True,
cowidev.vax.batch.latvia,23.46,True,
cowidev.vax.batch.lithuania,1.08,True,
cowidev.vax.batch.luxembourg,0.59,False,HTTP Error 404: NOT FOUND
cowidev.vax.batch.malaysia,2.0,True,
cowidev.vax.batch.malta,1.33,True,
cowidev.vax.batch.netherlands,0.96,True,
cowidev.vax.batch.new_zealand,22.05,True,
cowidev.vax.batch.norway,1.65,True,
cowidev.vax.batch.peru,3.75,True,
cowidev.vax.batch.portugal,1.17,True,
cowidev.vax.batch.romania,37.85,False,No columns to parse from file
cowidev.vax.batch.saudi_arabia,5.32,True,
cowidev.vax.batch.singapore,0.91,True,
cowidev.vax.batch.slovakia,47.44,True,
cowidev.vax.batch.slovenia,0.45,True,
cowidev.vax.batch.south_korea,48.33,True,
cowidev.vax.batch.spc,24.6,True,
cowidev.vax.batch.sweden,26.35,True,
cowidev.vax.batch.switzerland,45.6,True,
cowidev.vax.batch.trinidad_and_tobago,1.23,True,
cowidev.vax.batch.ukraine,,,
cowidev.vax.batch.united_kingdom,8.81,True,
cowidev.vax.batch.united_states,46.81,True,
cowidev.vax.batch.uruguay,4.52,True,
cowidev.vax.batch.zimbabwe,2.51,True,
cowidev.vax.incremental.africacdc,,,
cowidev.vax.incremental.albania,17.85,True,
cowidev.vax.incremental.antigua_barbuda,7.94,True,
cowidev.vax.incremental.argentina,2.41,True,
cowidev.vax.incremental.aruba,2.52,True,
cowidev.vax.incremental.azerbaijan,19.45,True,
cowidev.vax.incremental.bahrain,8.23,True,
cowidev.vax.incremental.bangladesh,24.26,True,
cowidev.vax.incremental.barbados,15.78,True,
cowidev.vax.incremental.brazil,1.2,True,
cowidev.vax.incremental.bulgaria,11.99,True,
cowidev.vax.incremental.china,301.66,False,"Message: TimedPromise timed out after 300000 ms
"
cowidev.vax.incremental.colombia,,,
cowidev.vax.incremental.costa_rica,11.76,True,
cowidev.vax.incremental.croatia,0.96,True,
cowidev.vax.incremental.cuba,9.25,True,
cowidev.vax.incremental.curacao,1.5,True,
cowidev.vax.incremental.cyprus,4.27,True,
cowidev.vax.incremental.dominican_republic,5.57,True,
cowidev.vax.incremental.el_salvador,3.64,True,
cowidev.vax.incremental.equatorial_guinea,7.13,True,
cowidev.vax.incremental.faeroe_islands,1.0,True,
cowidev.vax.incremental.fiji,0.01,True,
