iso3,owid,who,paho,acdc
ABW,Aruba,Aruba,Aruba,
AFG,Afghanistan,Afghanistan,,
AGO,Angola,Angola,,Angola
AIA,Anguilla,Anguilla,Anguilla,
ALA,Åland Islands,,,
ALB,Albania,Albania,,
AND,Andorra,Andorra,,
ARE,United Arab Emirates,United Arab Emirates,,
ARG,Argentina,Argentina,Argentina,
ARM,Armenia,Armenia,,
ASM,American Samoa,American Samoa,,
ATA,Antarctica,,,
ATF,French Southern Territories,,,
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,
AUS,Australia,Australia,,
AUT,Austria,Austria,,
AZE,Azerbaijan,Azerbaijan,,
BDI,Burundi,Burundi,,Burundi
BEL,Belgium,Belgium,,
BEN,Benin,Benin,,Benin
BES,Bonaire Sint Eustatius and Saba,"Bonaire, Sint Eustatius and Saba",,
BFA,Burkina Faso,Burkina Faso,,Burkina Faso
BGD,Bangladesh,Bangladesh,,
BGR,Bulgaria,Bulgaria,,
BHR,Bahrain,Bahrain,,
BHS,Bahamas,Bahamas,Bahamas,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,
BLM,Saint Barthélemy,,,
BLR,Belarus,Belarus,,
BLZ,Belize,Belize,Belize,
BMU,Bermuda,Bermuda,Bermuda,
BOL,Bolivia,Bolivia (Plurinational State of),Bolivia,
BON,,,Bonaire,
BRA,Brazil,Brazil,Brazil,
BRB,Barbados,Barbados,Barbados,
BRN,Brunei,Brunei Darussalam,,
BTN,Bhutan,Bhutan,,
BVT,Bouvet Island,,,
BWA,Botswana,Botswana,,Botswana
CAF,Central African Republic,Central African Republic,,Central African Republic
CAN,Canada,Canada,Canada,
CCK,Cocos (Keeling) Islands,,,
CHE,Switzerland,Switzerland,,
CHL,Chile,Chile,Chile,
CHN,China,China,,
CIV,Cote d'Ivoire,Côte d’Ivoire,,Cote d Ivoire
CMR,Cameroon,Cameroon,,Cameroon
COD,Democratic Republic of Congo,Democratic Republic of the Congo,,Democratic Republic of the Congo
COG,Congo,Congo,,Congo
COK,Cook Islands,Cook Islands,,
COL,Colombia,Colombia,Colombia,
COM,Comoros,Comoros,,Comoros
CPV,Cape Verde,Cabo Verde,,Cabo Verde
CRI,Costa Rica,Costa Rica,Costa Rica,
CUB,Cuba,Cuba,Cuba,
CUW,Curacao,Curaçao,Curaçao,
CXR,Christmas Island,,,
CYM,Cayman Islands,Cayman Islands,Cayman Islands,
CYP,Cyprus,Cyprus,,
CZE,Czechia,Czechia,,
DEU,Germany,Germany,,
DJI,Djibouti,Djibouti,,Djibouti
DMA,Dominica,Dominica,Dominica,
DNK,Denmark,Denmark,,
DOM,Dominican Republic,Dominican Republic,Dominican Republic,
DZA,Algeria,Algeria,,Algeria
ECU,Ecuador,Ecuador,Ecuador,
EGY,Egypt,Egypt,,Egypt
ERI,Eritrea,,,Eritrea
ESH,Western Sahara,,,Western Sahara
ESP,Spain,Spain,,
EST,Estonia,Estonia,,
ETH,Ethiopia,Ethiopia,,Ethiopia
FIN,Finland,Finland,,
FJI,Fiji,Fiji,,
FLK,Falkland Islands,Falkland Islands (Malvinas),,
FRA,France,France,,
FRO,Faeroe Islands,Faroe Islands,,
FSM,Micronesia (country),Micronesia (Federated States of),,
GAB,Gabon,Gabon,,Gabon
GBR,United Kingdom,The United Kingdom,,
GEO,Georgia,Georgia,,
GGY,Guernsey,Guernsey,,
GHA,Ghana,Ghana,,Ghana
GIB,Gibraltar,Gibraltar,,
GIN,Guinea,Guinea,,Guinea
GLP,Guadeloupe,Guadeloupe,Guadeloupe,
GMB,Gambia,Gambia,,Gambia
GNB,Guinea-Bissau,Guinea-Bissau,,Guinea-Bissau
GNQ,Equatorial Guinea,Equatorial Guinea,,Equatorial Guinea
GRC,Greece,Greece,,
GRD,Grenada,Grenada,Grenada,
GRL,Greenland,Greenland,,
GTM,Guatemala,Guatemala,Guatemala,
GUF,French Guiana,French Guiana,French Guiana,
GUM,Guam,Guam,,
GUY,Guyana,Guyana,Guyana,
HKG,Hong Kong,,,
HMD,Heard Island and McDonald Islands,,,
HND,Honduras,Honduras,Honduras,
HRV,Croatia,Croatia,,
HTI,Haiti,Haiti,Haiti,
HUN,Hungary,Hungary,,
IDN,Indonesia,Indonesia,,
IMN,Isle of Man,Isle of Man,,
IND,India,India,,
IOT,British Indian Ocean Territory,,,
IRL,Ireland,Ireland,,
IRN,Iran,Iran (Islamic Republic of),,
IRQ,Iraq,Iraq,,
ISL,Iceland,Iceland,,
ISR,Israel,Israel,,
ITA,Italy,Italy,,
JAM,Jamaica,Jamaica,Jamaica,
JEY,Jersey,Jersey,,
JOR,Jordan,Jordan,,
JPN,Japan,Japan,,
KAZ,Kazakhstan,Kazakhstan,,
KEN,Kenya,Kenya,,Kenya
KGZ,Kyrgyzstan,Kyrgyzstan,,
KHM,Cambodia,Cambodia,,
KIR,Kiribati,Kiribati,,
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,St Kitts & Nevis,
KOR,South Korea,Republic of Korea,,
KWT,Kuwait,Kuwait,,
LAO,Laos,Lao People's Democratic Republic,,
LBN,Lebanon,Lebanon,,
LBR,Liberia,Liberia,,Liberia
LBY,Libya,Libya,,Libya
LCA,Saint Lucia,Saint Lucia,St Lucia,
LIE,Liechtenstein,Liechtenstein,,
LKA,Sri Lanka,Sri Lanka,,
LSO,Lesotho,Lesotho,,Lesotho
LTU,Lithuania,Lithuania,,
LUX,Luxembourg,Luxembourg,,
LVA,Latvia,Latvia,,
MAC,Macao,,,
MAF,Saint Martin (French part),,,
MAR,Morocco,Morocco,,Morocco
MCO,Monaco,Monaco,,
MDA,Moldova,Republic of Moldova,,
MDG,Madagascar,Madagascar,,Madagascar
MDV,Maldives,Maldives,,
MEX,Mexico,Mexico,Mexico,
MHL,Marshall Islands,Marshall Islands,,
MKD,North Macedonia,North Macedonia,,
MLI,Mali,Mali,,Mali
MLT,Malta,Malta,,
MMR,Myanmar,Myanmar,,
MNE,Montenegro,Montenegro,,
MNG,Mongolia,Mongolia,,
MNP,Northern Mariana Islands,Northern Mariana Islands (Commonwealth of the),,
MOZ,Mozambique,Mozambique,,Mozambique
MRT,Mauritania,Mauritania,,Mauritania
MSR,Montserrat,Montserrat,Montserrat,
MTQ,Martinique,Martinique,Martinique,
MUS,Mauritius,Mauritius,,Mauritius
MWI,Malawi,Malawi,,Malawi
MYS,Malaysia,Malaysia,,
MYT,Mayotte,,,
NAM,Namibia,Namibia,,Namibia
NCL,New Caledonia,New Caledonia,,
NER,Niger,Niger,,Niger
NFK,Norfolk Island,,,
NGA,Nigeria,Nigeria,,Nigeria
NIC,Nicaragua,Nicaragua,Nicaragua,
NIU,Niue,Niue,,
NLD,Netherlands,Netherlands,,
NOR,Norway,Norway,,
NPL,Nepal,Nepal,,
NRU,Nauru,Nauru,,
NZL,New Zealand,New Zealand,,
OMN,Oman,Oman,,
PAK,Pakistan,Pakistan,,
PAN,Panama,Panama,Panama,
PCN,Pitcairn,Pitcairn Islands,,
